Wavenumber,Intensities
282.29,10681.2
284.39,10597.6
286.49,10554.4
288.59,10452.8
290.7,10333.4
292.79,10271.0
294.89,10148.4
296.99,10089.2
299.09,9988.2
301.18,9970.6
303.28,9912.2
305.37,9841.6
307.47,9828.6
309.56,9818.4
311.65,9768.0
313.74,9761.0
315.83,9688.8
317.92,9716.8
320.0,9694.6
322.09,9696.6
324.18,9709.6
326.26,9686.6
328.34,9666.8
330.43,9698.0
332.51,9618.0
334.59,9604.2
336.67,9633.6
338.75,9564.0
340.83,9547.4
342.9,9521.6
344.98,9520.8
347.05,9551.4
349.13,9541.0
351.2,9534.2
353.27,9465.6
355.35,9456.0
357.42,9443.8
359.49,9416.8
361.55,9462.6
363.62,9380.0
365.69,9379.8
367.75,9399.6
369.82,9420.8
371.88,9374.4
373.95,9354.8
376.01,9376.8
378.07,9405.6
380.13,9328.8
382.19,9315.8
384.25,9372.8
386.31,9351.2
388.36,9317.4
390.42,9357.8
392.47,9345.4
394.53,9348.6
396.58,9399.0
398.63,9433.0
400.68,9434.8
402.73,9531.8
404.78,9532.6
406.83,9525.4
408.87,9558.4
410.92,9570.2
412.97,9601.6
415.01,9628.8
417.05,9654.6
419.1,9666.6
421.14,9660.0
423.18,9681.8
425.22,9657.6
427.25,9693.0
429.29,9645.2
431.33,9670.6
433.36,9673.4
435.4,9658.2
437.43,9660.0
439.47,9629.2
441.5,9546.2
443.53,9563.8
445.56,9538.8
447.59,9587.2
449.62,9532.4
451.64,9511.8
453.67,9488.4
455.7,9505.2
457.72,9433.6
459.74,9466.0
461.77,9401.6
463.79,9376.8
465.81,9355.4
467.83,9361.6
469.85,9315.8
471.86,9308.2
473.88,9278.4
475.9,9233.4
477.91,9267.2
479.93,9301.2
481.94,9265.6
483.95,9235.4
485.96,9222.8
487.97,9288.0
489.98,9287.0
491.99,9250.8
494.0,9257.2
496.0,9278.2
498.01,9271.8
500.01,9268.6
502.02,9236.8
504.02,9296.8
506.02,9289.4
508.02,9182.4
510.02,9140.6
512.02,9056.4
514.02,9025.0
516.01,8907.6
518.01,8843.6
520.01,8789.4
522.0,8789.0
523.99,8775.0
525.99,8728.2
527.98,8685.6
529.97,8620.2
531.96,8642.6
533.94,8670.6
535.93,8613.2
537.92,8611.4
539.9,8628.8
541.89,8620.4
543.87,8597.0
545.85,8586.0
547.84,8593.0
549.82,8531.4
551.8,8537.4
553.78,8559.0
555.75,8499.4
557.73,8499.8
559.71,8415.2
561.68,8421.4
563.66,8397.0
565.63,8356.0
567.6,8354.2
569.57,8308.4
571.54,8216.4
573.51,8235.4
575.48,8195.8
577.45,8140.2
579.41,8091.0
581.38,8072.6
583.34,8037.6
585.31,8047.4
587.27,7966.8
589.23,7903.6
591.19,7850.0
593.15,7837.4
595.11,7823.6
597.07,7782.2
599.03,7745.0
600.98,7766.2
602.94,7672.0
604.89,7665.8
606.84,7631.8
608.8,7602.0
610.75,7580.8
612.7,7568.2
614.65,7570.2
616.6,7588.0
618.54,7638.6
620.49,7714.8
622.43,7733.4
624.38,7678.6
626.32,7546.0
628.27,7471.2
630.21,7472.2
632.15,7462.6
634.09,7475.8
636.03,7498.2
637.96,7530.0
639.9,7595.8
641.84,7669.4
643.77,7746.4
645.71,7680.0
647.64,7597.4
649.57,7610.0
651.5,7544.6
653.43,7581.6
655.36,7552.4
657.29,7557.8
659.22,7565.8
661.14,7565.6
663.07,7559.6
664.99,7552.6
666.92,7535.0
668.84,7552.6
670.76,7503.6
672.68,7487.6
674.6,7425.8
676.52,7435.0
678.44,7407.8
680.35,7372.0
682.27,7376.6
684.19,7325.8
686.1,7292.4
688.01,7284.6
689.92,7269.0
691.83,7257.2
693.74,7205.0
695.65,7214.2
697.56,7239.6
699.47,7180.4
701.38,7205.8
703.28,7144.8
705.19,7170.4
707.09,7132.0
708.99,7116.8
710.89,7092.4
712.79,7099.2
714.69,7105.0
716.59,7088.8
718.49,7073.4
720.39,7068.4
722.28,7049.2
724.18,7040.2
726.07,7057.6
727.96,7068.4
729.85,7076.0
731.74,7060.0
