Wavenumber,Intensities
282.29,15646.8
284.39,15473.2
286.49,15426.4
288.59,15279.0
290.7,15179.0
292.79,15113.0
294.89,14985.6
296.99,14859.6
299.09,14740.6
301.18,14696.0
303.28,14585.8
305.37,14542.6
307.47,14508.6
309.56,14519.6
311.65,14477.8
313.74,14504.6
315.83,14439.2
317.92,14417.4
320.0,14402.2
322.09,14367.2
324.18,14396.6
326.26,14340.8
328.34,14313.6
330.43,14326.4
332.51,14241.2
334.59,14200.2
336.67,14108.4
338.75,14129.4
340.83,14042.2
342.9,13974.8
344.98,13998.0
347.05,13942.2
349.13,13976.4
351.2,13902.8
353.27,13940.4
355.35,13844.8
357.42,13749.8
359.49,13740.0
361.55,13680.2
363.62,13682.6
365.69,13626.2
367.75,13651.8
369.82,13672.0
371.88,13668.8
373.95,13633.2
376.01,13612.6
378.07,13614.0
380.13,13534.0
382.19,13506.0
384.25,13530.0
386.31,13505.0
388.36,13477.4
390.42,13550.4
392.47,13525.8
394.53,13589.4
396.58,13647.0
398.63,13701.4
400.68,13826.0
402.73,13799.4
404.78,13877.8
406.83,13871.0
408.87,13943.0
410.92,13924.6
412.97,13954.2
415.01,13982.2
417.05,14024.6
419.1,14064.2
421.14,14035.0
423.18,14083.2
425.22,14072.8
427.25,14109.8
429.29,14068.0
431.33,14009.0
433.36,13961.6
435.4,13982.4
437.43,13967.0
439.47,13948.6
441.5,13942.2
443.53,13904.4
445.56,13905.0
447.59,13869.2
449.62,13889.8
451.64,13843.6
453.67,13812.2
455.7,13799.4
457.72,13788.0
459.74,13776.0
461.77,13677.8
463.79,13689.0
465.81,13629.2
467.83,13620.0
469.85,13625.4
471.86,13633.0
473.88,13635.6
475.9,13600.6
477.91,13589.0
479.93,13620.0
481.94,13646.2
483.95,13647.6
485.96,13668.8
487.97,13711.0
489.98,13778.4
491.99,13812.4
494.0,13857.0
496.0,13886.4
498.01,13978.0
500.01,14020.4
502.02,14157.8
504.02,14177.0
506.02,14238.6
508.02,14214.8
510.02,14156.2
512.02,14071.2
514.02,13879.6
516.01,13783.6
518.01,13671.0
520.01,13603.8
522.0,13505.0
523.99,13538.2
525.99,13477.2
527.98,13468.0
529.97,13433.6
531.96,13364.4
533.94,13359.4
535.93,13354.2
537.92,13336.8
539.9,13328.8
541.89,13266.6
543.87,13311.8
545.85,13313.4
547.84,13356.6
549.82,13302.6
551.8,13321.4
553.78,13302.4
555.75,13325.4
557.73,13277.6
559.71,13268.6
561.68,13193.6
563.66,13153.0
565.63,13075.6
567.6,12980.0
569.57,12943.6
571.54,12926.8
573.51,12809.8
575.48,12744.4
577.45,12704.0
579.41,12623.6
581.38,12537.8
583.34,12457.4
585.31,12398.6
587.27,12374.2
589.23,12279.0
591.19,12238.2
593.15,12136.4
595.11,12175.8
597.07,12060.2
599.03,11992.8
600.98,11967.0
602.94,11934.8
604.89,11891.8
606.84,11877.6
608.8,11841.0
610.75,11846.0
612.7,11808.6
614.65,11837.8
