Wavenumber,Intensities
282.29,3408.4
284.39,3345.53
286.49,3204.0
288.59,3464.2
290.7,3234.07
292.79,3303.4
294.89,3164.6
296.99,3550.6
299.09,3638.07
301.18,3285.73
303.28,3515.67
305.37,3490.47
307.47,3785.07
309.56,3708.8
311.65,3475.4
313.74,3297.93
315.83,3465.4
317.92,3610.27
320.0,3681.73
322.09,3618.53
324.18,3468.67
326.26,3959.6
328.34,3568.4
330.43,3853.4
332.51,3658.87
334.59,3562.13
336.67,3674.73
338.75,3674.2
340.83,3659.6
342.9,3831.6
344.98,3630.6
347.05,3668.53
349.13,3808.93
351.2,3909.8
353.27,3951.4
355.35,3844.73
357.42,3871.6
359.49,3900.13
361.55,4262.6
363.62,3868.6
365.69,4093.53
367.75,3968.87
369.82,4117.47
371.88,4123.2
373.95,4312.93
376.01,4092.07
378.07,4179.6
380.13,4177.4
382.19,3973.13
384.25,3867.6
386.31,4140.6
388.36,4402.73
390.42,3752.13
392.47,4354.87
394.53,4072.93
396.58,4240.47
398.63,4367.33
400.68,3895.2
402.73,3855.4
404.78,3941.67
406.83,4118.67
408.87,4097.0
410.92,4009.33
412.97,4245.0
415.01,4076.2
417.05,4189.33
419.1,3938.4
421.14,4245.0
423.18,4199.67
425.22,4170.6
427.25,4249.27
429.29,4150.13
431.33,4155.0
433.36,4267.8
435.4,4469.4
437.43,4273.87
439.47,4038.87
441.5,4266.0
443.53,3838.27
445.56,4120.53
447.59,4356.0
449.62,3915.4
451.64,4130.73
453.67,4120.53
455.7,4294.13
457.72,4181.53
459.74,4211.87
461.77,3761.13
463.79,4235.87
465.81,4333.0
467.83,4053.93
469.85,3996.0
471.86,3617.4
473.88,4048.6
475.9,4133.13
477.91,3964.67
479.93,3877.67
481.94,3921.13
483.95,4079.4
485.96,4006.8
487.97,4103.0
489.98,3777.73
491.99,3740.93
494.0,4058.33
496.0,3955.13
498.01,3491.8
500.01,3269.47
502.02,3455.2
504.02,3260.27
506.02,2939.33
508.02,2808.2
510.02,2973.53
512.02,2897.2
514.02,2706.47
516.01,3013.53
518.01,2921.6
520.01,2415.27
522.0,2747.47
523.99,2491.0
525.99,2368.33
527.98,2337.0
529.97,2473.93
531.96,2255.93
533.94,2131.33
535.93,2256.73
537.92,2119.67
539.9,2091.47
541.89,2338.33
543.87,2081.87
545.85,2162.6
547.84,2161.67
549.82,1898.47
551.8,2165.6
553.78,2201.53
555.75,2118.67
