Wavenumber,Intensities
282.29,3440.8
284.39,3431.6
286.49,3433.4
288.59,3379.0
290.7,3361.0
292.79,3382.0
294.89,3333.8
296.99,3321.0
299.09,3298.4
301.18,3308.8
303.28,3304.6
305.37,3265.2
307.47,3267.4
309.56,3271.4
311.65,3247.4
313.74,3254.6
315.83,3240.0
317.92,3224.2
320.0,3234.2
322.09,3235.6
324.18,3253.8
326.26,3239.0
328.34,3280.4
330.43,3287.6
332.51,3332.0
334.59,3350.4
336.67,3397.0
338.75,3450.4
340.83,3487.4
342.9,3561.6
344.98,3623.2
347.05,3700.4
349.13,3741.2
351.2,3781.0
353.27,3754.6
355.35,3778.0
357.42,3738.0
359.49,3663.6
361.55,3596.4
363.62,3481.8
365.69,3432.4
367.75,3404.2
369.82,3351.4
371.88,3264.8
373.95,3261.8
376.01,3260.0
378.07,3250.0
380.13,3239.8
382.19,3236.2
384.25,3232.4
386.31,3255.4
388.36,3264.2
390.42,3280.0
392.47,3247.8
394.53,3296.4
396.58,3308.0
398.63,3320.6
400.68,3355.6
402.73,3395.0
404.78,3380.0
406.83,3387.6
408.87,3411.0
410.92,3400.2
412.97,3395.2
415.01,3462.8
417.05,3489.2
419.1,3529.8
421.14,3552.0
423.18,3578.0
425.22,3597.2
427.25,3572.0
429.29,3613.2
431.33,3613.4
433.36,3630.6
435.4,3670.2
437.43,3666.2
439.47,3619.2
441.5,3637.8
443.53,3587.2
445.56,3587.8
447.59,3624.4
449.62,3596.8
451.64,3559.0
453.67,3548.4
455.7,3519.8
457.72,3483.2
459.74,3479.4
461.77,3440.0
463.79,3386.4
465.81,3383.2
467.83,3380.6
469.85,3346.6
471.86,3341.2
473.88,3308.2
475.9,3284.0
477.91,3237.0
479.93,3239.6
481.94,3204.4
483.95,3190.2
485.96,3173.2
487.97,3136.0
489.98,3097.4
491.99,3068.0
494.0,3015.8
496.0,2946.0
498.01,2934.2
500.01,2907.0
502.02,2874.4
504.02,2812.0
506.02,2786.0
508.02,2754.2
510.02,2762.6
512.02,2759.0
514.02,2726.8
516.01,2670.0
518.01,2692.6
520.01,2635.4
522.0,2622.8
523.99,2572.2
525.99,2584.2
527.98,2531.8
529.97,2520.2
531.96,2537.8
533.94,2518.8
535.93,2494.4
537.92,2495.2
539.9,2444.6
541.89,2451.0
543.87,2396.6
545.85,2395.0
547.84,2362.2
549.82,2354.0
551.8,2332.8
553.78,2325.8
555.75,2335.6
557.73,2332.6
559.71,2330.4
561.68,2289.6
563.66,2304.6
565.63,2299.4
567.6,2265.0
569.57,2292.6
571.54,2273.6
573.51,2258.4
575.48,2240.0
577.45,2243.0
579.41,2225.0
581.38,2248.6
583.34,2229.0
585.31,2222.4
587.27,2191.6
589.23,2230.0
591.19,2190.2
593.15,2197.4
595.11,2180.8
597.07,2184.2
599.03,2177.0
600.98,2151.8
602.94,2160.6
604.89,2135.0
606.84,2119.2
608.8,2110.6
610.75,2100.6
612.7,2085.6
614.65,2061.4
616.6,2064.8
618.54,2089.6
620.49,2067.8
622.43,2067.0
624.38,2043.6
626.32,2025.0
628.27,2034.0
630.21,2015.2
632.15,2013.8
634.09,2000.8
636.03,2005.4
637.96,2001.4
639.9,2048.8
641.84,2069.2
643.77,2088.8
645.71,2099.2
647.64,2070.8
649.57,2081.6
651.5,2050.4
653.43,2051.8
655.36,2025.2
657.29,2004.8
659.22,2000.8
661.14,1954.4
663.07,1955.2
664.99,1967.8
666.92,1935.4
668.84,1897.8
670.76,1936.4
672.68,1910.4
674.6,1890.6
676.52,1879.6
678.44,1893.2
680.35,1858.8
682.27,1905.4
684.19,1872.2
686.1,1848.6
688.01,1867.2
689.92,1852.6
691.83,1855.6
693.74,1843.8
695.65,1865.8
697.56,1881.0
699.47,1882.0
701.38,1867.6
703.28,1916.0
705.19,1908.6
707.09,1903.8
708.99,1897.8
710.89,1881.6
712.79,1870.4
714.69,1861.2
716.59,1841.4
718.49,1870.8
720.39,1838.6
722.28,1812.4
724.18,1828.6
726.07,1802.0
727.96,1795.8
729.85,1794.8
731.74,1773.0
733.63,1751.8
735.52,1776.0
737.41,1773.2
739.3,1756.4
741.18,1742.2
743.07,1755.8
744.95,1752.2
746.84,1744.6
748.72,1725.4
750.6,1763.4
752.48,1764.8
754.36,1755.0
756.24,1781.6
758.12,1795.0
759.99,1752.0
761.87,1784.6
763.74,1790.0
765.62,1760.0
767.49,1752.2
769.36,1752.2
771.23,1746.0
773.1,1743.8
774.97,1755.0
776.84,1764.2
778.7,1736.4
780.57,1752.0
782.44,1752.8
784.3,1758.6
786.16,1743.6
788.02,1732.6
789.89,1735.4
791.75,1719.2
793.6,1725.0
795.46,1732.8
797.32,1699.0
799.18,1726.2
801.03,1707.8
802.89,1701.0
804.74,1718.4
806.59,1696.4
808.44,1706.2
810.29,1677.4
812.14,1720.8
813.99,1686.8
815.84,1704.6
817.69,1706.8
819.53,1699.0
821.38,1713.8
823.22,1743.8
825.06,1731.2
826.9,1748.8
828.75,1773.2
830.59,1776.2
832.42,1809.0
834.26,1771.8
836.1,1798.8
837.93,1796.6
839.77,1822.6
841.6,1824.2
843.44,1843.8
845.27,1884.2
847.1,1890.0
848.93,1921.4
850.76,1921.8
852.59,1959.8
854.42,1956.0
856.24,1973.6
858.07,1953.8
859.89,1956.0
861.72,1934.0
863.54,1912.0
865.36,1931.8
867.18,1908.4
869.0,1912.6
870.82,1927.4
872.64,1948.6
874.45,1976.0
876.27,2007.0
878.08,2028.0
879.9,2029.6
881.71,2015.0
883.52,2025.4
885.33,1970.0
887.14,1949.6
888.95,1921.2
890.76,1884.2
892.57,1862.6
894.37,1836.8
896.18,1836.2
897.98,1813.6
899.79,1794.6
901.59,1761.0
903.39,1731.2
905.19,1718.8
906.99,1706.2
908.79,1681.8
910.58,1666.0
912.38,1634.4
914.18,1663.8
915.97,1663.4
917.76,1650.0
919.56,1631.8
921.35,1621.2
923.14,1625.0
924.93,1598.4
926.72,1594.8
928.51,1588.4
930.29,1598.4
932.08,1582.4
933.86,1587.4
935.65,1588.8
937.43,1584.0
939.21,1593.4
940.99,1632.4
942.77,1623.2
944.55,1670.0
946.33,1672.0
948.11,1669.6
949.88,1684.4
951.66,1664.6
953.43,1649.6
955.21,1638.0
956.98,1618.0
958.75,1575.6
960.52,1567.4
962.29,1552.0
964.06,1543.4
965.82,1510.2
967.59,1488.6
969.36,1472.4
971.12,1491.2
972.88,1467.4
974.65,1478.6
976.41,1486.2
978.17,1510.6
979.93,1522.6
981.69,1526.2
983.45,1533.2
985.2,1515.0
986.96,1532.6
988.71,1568.0
990.47,1571.8
992.22,1576.6
993.97,1562.4
995.72,1562.0
997.47,1619.0
999.22,1646.6
1000.97,1743.6
1002.72,1831.8
1004.46,1772.2
1006.21,1700.8
1007.95,1643.2
1009.7,1615.0
1011.44,1583.2
1013.18,1593.6
1014.92,1600.0
1016.66,1629.6
1018.4,1625.0
1020.13,1630.4
1021.87,1644.8
1023.61,1642.4
1025.34,1644.0
1027.07,1628.6
1028.81,1635.8
1030.54,1675.2
1032.27,1674.6
1034.0,1696.2
1035.73,1701.6
1037.46,1681.4
1039.18,1682.8
1040.91,1691.0
1042.63,1701.0
1044.36,1747.0
