Wavenumber,Intensities
282.29,3102.8
284.39,3120.2
286.49,3200.8
288.59,3067.2
290.7,3192.4
292.79,3113.6
294.89,3208.4
296.99,2944.8
299.09,2902.4
301.18,3130.2
303.28,2976.8
305.37,2993.4
307.47,2855.2
309.56,2900.0
311.65,3022.4
313.74,3144.6
315.83,3030.6
317.92,2955.4
320.0,2932.2
322.09,2961.4
324.18,3089.2
326.26,2837.0
328.34,3094.2
330.43,2936.6
332.51,3085.8
334.59,3244.8
336.67,3199.2
338.75,3315.8
340.83,3370.0
342.9,3428.6
344.98,3599.4
347.05,3712.4
349.13,3722.4
351.2,3718.4
353.27,3707.4
355.35,3743.4
357.42,3691.4
359.49,3587.4
361.55,3266.4
363.62,3387.6
365.69,3142.2
367.75,3161.4
369.82,2980.2
371.88,2960.8
373.95,2783.0
376.01,2867.4
378.07,2798.2
380.13,2846.0
382.19,2951.0
384.25,3019.2
386.31,2877.2
388.36,2724.6
390.42,3145.2
392.47,2774.6
394.53,2981.2
396.58,2892.8
398.63,2877.4
400.68,3170.6
402.73,3252.8
404.78,3202.8
406.83,3118.8
408.87,3151.6
410.92,3212.8
412.97,3122.4
415.01,3247.6
417.05,3220.8
419.1,3413.8
421.14,3292.0
423.18,3367.0
425.22,3399.0
427.25,3344.4
429.29,3443.4
431.33,3500.0
433.36,3440.4
435.4,3334.6
437.43,3466.4
439.47,3568.0
441.5,3465.8
443.53,3674.4
445.56,3472.4
447.59,3315.8
449.62,3542.6
451.64,3376.8
453.67,3347.4
455.7,3194.4
457.72,3195.6
459.74,3111.4
461.77,3370.8
463.79,3039.6
465.81,2944.8
467.83,3039.0
469.85,3036.8
471.86,3230.4
473.88,2897.2
475.9,2792.2
477.91,2890.0
479.93,2921.4
481.94,2891.6
483.95,2786.0
485.96,2778.8
487.97,2689.2
489.98,2813.8
491.99,2755.0
494.0,2452.2
496.0,2422.6
498.01,2588.0
500.01,2631.8
502.02,2401.8
504.02,2415.4
506.02,2490.6
508.02,2516.8
510.02,2346.2
512.02,2325.8
514.02,2411.2
516.01,2100.2
518.01,2140.8
520.01,2372.6
522.0,2093.4
523.99,2184.4
525.99,2211.2
527.98,2162.0
529.97,2074.0
531.96,2162.0
533.94,2204.2
535.93,2148.8
537.92,2184.0
539.9,2161.8
541.89,1976.8
543.87,2079.2
545.85,1972.6
547.84,1929.8
549.82,2080.6
551.8,1896.2
553.78,1841.6
555.75,1890.4
557.73,1905.4
559.71,1916.4
561.68,1798.2
563.66,1831.8
565.63,1714.4
567.6,1997.0
569.57,2043.4
571.54,1832.2
573.51,1813.4
575.48,1899.2
577.45,1790.0
579.41,1753.6
581.38,1789.8
583.34,1896.4
585.31,1776.0
587.27,1804.2
589.23,1730.6
591.19,1677.8
593.15,1743.8
595.11,1701.2
597.07,1778.4
599.03,1654.6
600.98,1663.8
602.94,1348.8
604.89,1641.2
606.84,1636.2
608.8,1622.8
610.75,1625.0
612.7,1486.0
614.65,1605.6
616.6,1640.2
618.54,1656.2
620.49,1547.6
622.43,1571.2
624.38,1635.4
626.32,1729.0
628.27,1618.2
630.21,1594.2
632.15,1685.2
634.09,1514.4
636.03,1486.6
637.96,1507.4
639.9,1453.6
641.84,1604.2
643.77,1657.8
645.71,1725.0
647.64,1603.6
649.57,1723.8
651.5,1572.6
653.43,1582.8
655.36,1448.6
657.29,1437.4
659.22,1475.0
661.14,1356.6
663.07,1562.8
664.99,1466.8
666.92,1482.6
668.84,1438.0
670.76,1610.4
672.68,1503.0
674.6,1471.0
676.52,1408.6
678.44,1442.0
680.35,1413.2
682.27,1464.4
684.19,1508.2
686.1,1236.4
688.01,1332.0
689.92,1335.0
691.83,1424.0
693.74,1366.8
695.65,1300.6
697.56,1513.4
699.47,1382.8
701.38,1283.2
703.28,1500.6
705.19,1327.8
707.09,1154.2
708.99,1478.4
710.89,1233.2
712.79,1411.8
714.69,1455.8
716.59,1436.6
718.49,1493.6
720.39,1295.8
722.28,1370.6
724.18,1246.4
726.07,1217.0
727.96,1326.2
729.85,1223.6
731.74,1304.4
733.63,1385.2
735.52,1394.4
737.41,1252.8
739.3,1272.0
741.18,1152.6
743.07,1240.0
744.95,1424.4
746.84,1166.8
748.72,1288.8
750.6,1408.8
752.48,1382.2
754.36,1302.8
756.24,1218.6
758.12,1276.6
759.99,1353.2
761.87,1326.2
763.74,1136.2
765.62,1228.8
767.49,1130.8
769.36,1354.4
771.23,1015.0
773.1,1318.2
774.97,1334.2
776.84,1204.4
778.7,1389.4
780.57,1271.4
782.44,1387.2
784.3,1153.4
786.16,1170.4
788.02,1320.4
789.89,1175.2
791.75,1327.4
793.6,1222.6
795.46,1226.4
797.32,1214.4
799.18,1207.2
801.03,1214.8
802.89,1227.2
804.74,1091.8
806.59,1214.2
808.44,1058.6
810.29,1156.0
812.14,1262.8
813.99,1199.8
815.84,1270.4
817.69,1183.8
819.53,1214.2
821.38,1111.0
823.22,1064.8
825.06,1266.8
826.9,1340.6
828.75,1397.8
830.59,1334.8
832.42,1405.4
834.26,1400.8
836.1,1314.8
837.93,1234.6
839.77,1361.2
841.6,1552.2
843.44,1500.6
845.27,1457.8
847.1,1473.2
848.93,1506.0
850.76,1511.0
852.59,1648.8
854.42,1581.4
856.24,1608.0
858.07,1785.2
859.89,1669.0
861.72,1738.4
863.54,1696.4
865.36,1587.4
867.18,1767.6
869.0,1553.0
870.82,1636.8
872.64,1674.0
874.45,1712.2
876.27,1803.8
878.08,1803.6
879.9,1764.0
881.71,1884.4
883.52,1889.8
885.33,1809.8
887.14,1808.8
888.95,1632.8
890.76,1740.4
892.57,1621.2
894.37,1556.2
896.18,1605.4
897.98,1411.2
899.79,1309.0
901.59,1450.2
903.39,1291.6
905.19,1332.6
906.99,1505.0
908.79,1356.8
910.58,1338.0
912.38,1354.8
914.18,724.4
915.97,1268.8
917.76,1314.6
919.56,1308.6
921.35,1382.8
923.14,1373.6
924.93,1330.6
926.72,1204.4
928.51,1185.4
