Wavenumber,Intensities
282.29,2895.4
284.39,2863.8
286.49,2866.4
288.59,2834.2
290.7,2805.2
292.79,2802.8
294.89,2770.2
296.99,2773.2
299.09,2710.4
301.18,2729.8
303.28,2706.6
305.37,2722.2
307.47,2683.6
309.56,2680.0
311.65,2689.2
313.74,2672.4
315.83,2650.4
317.92,2676.2
320.0,2643.4
322.09,2655.0
324.18,2675.2
326.26,2675.2
328.34,2706.8
330.43,2689.4
332.51,2692.8
334.59,2733.8
336.67,2767.2
338.75,2760.2
340.83,2788.2
342.9,2832.6
344.98,2866.2
347.05,2929.8
349.13,2959.8
351.2,2987.6
353.27,2979.2
355.35,2956.2
357.42,2950.4
359.49,2925.6
361.55,2837.6
363.62,2832.4
365.69,2798.6
367.75,2765.8
369.82,2749.8
371.88,2728.6
373.95,2705.8
376.01,2693.0
378.07,2688.8
380.13,2696.0
382.19,2714.4
384.25,2713.2
386.31,2721.6
388.36,2716.8
390.42,2715.0
392.47,2711.4
394.53,2738.8
396.58,2751.4
398.63,2770.8
400.68,2776.6
402.73,2777.8
404.78,2796.0
406.83,2799.6
408.87,2804.4
410.92,2823.4
412.97,2800.6
415.01,2823.6
417.05,2882.6
419.1,2895.8
421.14,2909.2
423.18,2915.2
425.22,2925.8
427.25,2919.8
429.29,2947.2
431.33,2931.2
433.36,2965.2
435.4,2970.0
437.43,2969.0
439.47,2969.2
441.5,2973.8
443.53,2933.4
445.56,2908.0
447.59,2924.2
449.62,2900.2
451.64,2881.8
453.67,2895.0
455.7,2886.2
457.72,2820.6
459.74,2819.6
461.77,2817.6
463.79,2811.0
465.81,2772.6
467.83,2773.0
469.85,2741.8
471.86,2709.6
473.88,2721.6
475.9,2680.8
477.91,2667.2
479.93,2679.6
481.94,2643.8
483.95,2632.0
485.96,2604.4
487.97,2621.0
489.98,2568.4
491.99,2581.0
494.0,2496.8
496.0,2461.4
498.01,2447.6
500.01,2386.4
502.02,2341.2
504.02,2340.4
506.02,2297.2
508.02,2296.4
510.02,2247.2
512.02,2218.2
514.02,2212.6
516.01,2161.6
518.01,2182.4
520.01,2141.6
522.0,2124.6
523.99,2072.2
525.99,2063.0
527.98,2073.0
529.97,2081.8
531.96,2047.0
533.94,2059.4
535.93,2029.0
537.92,2027.0
539.9,2006.8
541.89,1970.6
543.87,1949.4
545.85,1936.4
547.84,1921.0
549.82,1904.0
551.8,1913.0
553.78,1912.8
555.75,1880.6
557.73,1883.8
559.71,1867.2
561.68,1869.0
563.66,1867.4
565.63,1864.4
567.6,1872.0
569.57,1831.8
571.54,1848.4
573.51,1840.0
575.48,1825.0
577.45,1834.8
579.41,1813.8
581.38,1796.4
583.34,1785.4
585.31,1773.2
587.27,1792.4
589.23,1778.6
591.19,1785.2
593.15,1755.8
595.11,1769.8
597.07,1786.2
599.03,1774.0
600.98,1784.0
602.94,1769.2
604.89,1742.4
606.84,1723.0
608.8,1725.0
610.75,1720.8
612.7,1706.4
614.65,1689.0
616.6,1699.2
618.54,1676.6
620.49,1674.8
622.43,1667.8
624.38,1651.4
626.32,1659.2
628.27,1632.0
630.21,1648.0
632.15,1623.2
634.09,1628.0
636.03,1607.4
637.96,1601.8
639.9,1650.2
641.84,1644.0
643.77,1663.8
645.71,1673.0
647.64,1639.0
649.57,1670.4
651.5,1645.8
653.43,1625.0
655.36,1629.0
657.29,1583.4
659.22,1590.6
661.14,1579.8
663.07,1579.2
664.99,1570.4
666.92,1576.8
668.84,1542.2
670.76,1553.6
672.68,1556.6
674.6,1529.2
676.52,1521.0
678.44,1532.2
680.35,1502.2
682.27,1517.8
684.19,1495.2
686.1,1489.2
688.01,1505.0
689.92,1510.8
691.83,1540.0
693.74,1506.4
695.65,1486.8
697.56,1496.0
699.47,1537.6
701.38,1507.6
703.28,1519.8
705.19,1521.2
707.09,1514.0
708.99,1518.2
710.89,1514.8
712.79,1517.0
714.69,1501.4
716.59,1505.2
718.49,1473.8
720.39,1465.4
722.28,1462.6
724.18,1460.8
726.07,1447.8
727.96,1442.0
729.85,1428.6
731.74,1427.6
733.63,1438.4
735.52,1425.4
737.41,1424.2
739.3,1404.0
741.18,1408.6
743.07,1424.6
744.95,1433.0
746.84,1421.6
748.72,1414.8
750.6,1412.0
752.48,1410.6
754.36,1421.0
756.24,1407.2
758.12,1413.0
759.99,1405.6
761.87,1413.0
763.74,1393.0
765.62,1400.4
767.49,1394.8
769.36,1407.2
771.23,1398.6
773.1,1398.0
774.97,1408.6
776.84,1414.6
778.7,1404.2
780.57,1400.6
782.44,1418.6
784.3,1407.4
786.16,1395.0
788.02,1418.2
789.89,1411.2
791.75,1381.6
793.6,1396.2
795.46,1391.8
797.32,1380.2
799.18,1396.4
801.03,1387.0
802.89,1380.2
804.74,1376.2
806.59,1372.8
808.44,1353.2
810.29,1375.0
812.14,1348.4
813.99,1350.2
815.84,1372.4
817.69,1359.0
819.53,1354.8
821.38,1373.0
823.22,1355.6
825.06,1395.0
826.9,1376.0
828.75,1389.0
830.59,1383.4
832.42,1380.8
834.26,1377.2
836.1,1370.6
837.93,1379.8
839.77,1380.6
841.6,1382.8
843.44,1399.6
845.27,1390.6
847.1,1406.2
848.93,1419.6
850.76,1428.8
852.59,1456.8
854.42,1423.0
856.24,1433.2
858.07,1424.2
859.89,1426.8
861.72,1406.4
863.54,1409.0
865.36,1397.8
867.18,1388.2
869.0,1383.4
870.82,1381.4
872.64,1397.4
874.45,1397.0
876.27,1417.8
878.08,1427.0
879.9,1438.2
881.71,1431.2
883.52,1427.6
885.33,1403.2
887.14,1372.4
888.95,1355.4
890.76,1337.0
892.57,1328.2
894.37,1328.0
896.18,1307.2
897.98,1303.8
899.79,1286.6
