Wavenumber,Intensities
282.29,14117.4
284.39,13929.33
286.49,13616.1
288.59,13665.3
290.7,13313.27
292.79,13225.0
294.89,12942.6
296.99,13203.4
299.09,13161.07
301.18,12664.93
303.28,12779.57
305.37,12694.47
307.47,12870.57
309.56,12694.6
311.65,12412.4
313.74,12185.63
315.83,12328.2
317.92,12422.87
320.0,12395.33
322.09,12328.53
324.18,12114.07
326.26,12589.5
328.34,12162.7
330.43,12436.4
332.51,12205.67
334.59,12122.03
336.67,12227.73
338.75,12176.7
340.83,12186.4
342.9,12279.5
344.98,12153.9
347.05,12120.53
349.13,12257.43
351.2,12328.1
353.27,12409.1
355.35,12306.43
357.42,12294.6
359.49,12351.23
361.55,12712.7
363.62,12281.3
365.69,12516.33
367.75,12373.17
369.82,12541.87
371.88,12513.9
373.95,12690.63
376.01,12517.67
378.07,12570.8
380.13,12537.1
382.19,12323.73
384.25,12225.7
386.31,12488.7
388.36,12746.23
390.42,12112.43
392.47,12707.77
394.53,12426.43
396.58,12614.37
398.63,12742.33
400.68,12274.0
402.73,12269.1
404.78,12352.67
406.83,12558.27
408.87,12551.4
410.92,12471.03
412.97,12729.4
415.01,12606.8
417.05,12685.23
419.1,12471.2
421.14,12793.4
423.18,12737.17
425.22,12736.7
427.25,12789.57
429.29,12682.53
431.33,12650.6
433.36,12818.2
435.4,13021.6
437.43,12780.27
439.47,12564.87
441.5,12767.4
443.53,12379.87
445.56,12604.33
447.59,12815.8
449.62,12367.2
451.64,12565.63
453.67,12528.93
455.7,12656.83
457.72,12567.53
459.74,12612.77
461.77,12103.63
463.79,12533.37
465.81,12596.8
467.83,12309.63
469.85,12242.6
471.86,11867.8
473.88,12281.8
475.9,12337.63
477.91,12103.67
479.93,11991.97
481.94,12027.83
483.95,12134.7
485.96,12053.6
487.97,12147.7
489.98,11833.13
491.99,11745.43
494.0,12088.83
496.0,11946.83
498.01,11478.2
500.01,11268.47
502.02,11408.6
504.02,11210.07
506.02,10911.43
508.02,10733.4
510.02,10902.53
512.02,10792.1
514.02,10607.67
516.01,10886.13
518.01,10787.3
520.01,10316.37
522.0,10644.57
523.99,10391.0
525.99,10237.23
527.98,10202.8
529.97,10314.03
531.96,10123.43
533.94,9987.83
535.93,10113.43
537.92,9990.77
539.9,9951.67
541.89,10165.23
543.87,9931.67
545.85,9986.5
547.84,9929.57
549.82,9648.47
551.8,9916.9
553.78,9923.33
555.75,9757.57
557.73,9748.87
559.71,9686.1
561.68,9800.0
563.66,9682.33
565.63,9881.37
567.6,9321.0
569.57,9189.33
571.54,9481.9
573.51,9519.17
575.48,9316.53
577.45,9426.93
579.41,9423.57
581.38,9322.0
583.34,9093.3
585.31,9250.53
587.27,9133.73
589.23,9248.33
591.19,9295.2
593.15,9221.23
595.11,9237.53
597.07,9060.47
599.03,9247.67
600.98,9217.8
602.94,9677.6
604.89,9127.9
606.84,9116.37
608.8,9007.23
610.75,8897.53
612.7,9126.73
614.65,8853.47
616.6,8748.43
618.54,8736.37
620.49,8925.87
622.43,8839.9
624.38,8671.73
626.32,8390.57
628.27,8522.9
630.21,8513.27
632.15,8355.17
634.09,8597.0
636.03,8701.27
637.96,8684.6
639.9,8832.37
641.84,8699.13
643.77,8692.23
645.71,8568.97
647.64,8710.33
649.57,8435.43
651.5,8640.2
653.43,8476.27
655.36,8591.37
657.29,8505.43
659.22,8440.93
661.14,8634.07
663.07,8235.83
664.99,8398.9
666.92,8264.37
668.84,8328.33
670.76,7973.27
672.68,8112.0
674.6,8109.5
676.52,8197.13
678.44,8138.13
680.35,8074.87
682.27,7999.5
684.19,7828.33
686.1,8261.83
688.01,8122.4
689.92,8122.43
691.83,7928.3
693.74,8048.93
695.65,8161.03
697.56,7845.6
699.47,8008.93
701.38,8184.57
703.28,7866.87
705.19,8087.73
707.09,8410.87
708.99,7751.6
710.89,8297.3
712.79,7862.47
714.69,7740.57
716.59,7681.1
718.49,7578.27
720.39,7802.13
722.28,7659.2
724.18,7774.27
726.07,7744.27
727.96,7513.2
729.85,7708.7
731.74,7518.97
733.63,7427.93
735.52,7348.37
737.41,7581.4
739.3,7529.03
741.18,7747.07
743.07,7620.03
744.95,7283.9
746.84,7717.33
748.72,7465.03
750.6,7307.1
752.48,7349.0
754.36,7481.87
756.24,7671.87
758.12,7586.2
759.99,7469.1
761.87,7431.7
763.74,7671.33
765.62,7410.33
767.49,7615.8
769.36,7155.03
771.23,7709.2
773.1,7154.77
774.97,7096.97
776.84,7274.3
778.7,6988.97
780.57,7175.93
782.44,6989.77
784.3,7367.2
786.16,7332.37
788.02,7057.23
789.89,7297.8
791.75,7020.7
793.6,7161.77
795.46,7092.4
797.32,7085.17
799.18,7081.3
801.03,7095.67
802.89,7073.43
804.74,7256.1
806.59,7021.67
808.44,7288.83
810.29,7092.8
812.14,6908.4
813.99,6969.83
815.84,6849.47
817.69,7004.93
819.53,6932.63
821.38,7124.3
823.22,7229.3
825.06,6905.7
826.9,6832.63
828.75,6787.4
830.59,6834.73
832.42,6673.53
834.26,6688.5
836.1,6780.5
837.93,6994.83
839.77,6722.0
841.6,6468.43
843.44,6554.8
845.27,6675.9
847.1,6649.47
848.93,6579.83
850.76,6590.8
852.59,6441.03
854.42,6656.63
856.24,6638.87
858.07,6261.73
859.89,6410.23
861.72,6179.23
863.54,6190.2
865.36,6278.07
867.18,5947.87
869.0,6208.43
870.82,6104.93
872.64,6132.57
874.45,6103.3
876.27,6067.33
878.08,6069.8
879.9,6157.37
881.71,5952.57
883.52,5872.4
885.33,5907.27
887.14,5808.4
888.95,6030.67
890.76,5796.23
892.57,5874.13
894.37,5940.3
896.18,5785.2
897.98,6073.97
899.79,6192.8
901.59,5840.67
903.39,5940.7
905.19,5769.43
906.99,5429.07
908.79,5611.47
910.58,5612.8
912.38,5498.87
914.18,6588.33
915.97,5566.83
917.76,5547.2
919.56,5496.53
921.35,5433.07
923.14,5435.17
924.93,5508.57
926.72,5708.43
928.51,5709.13
930.29,5387.03
932.08,5874.57
933.86,5535.07
935.65,5318.63
937.43,5400.57
939.21,5057.97
940.99,5358.8
942.77,5309.57
944.55,4946.33
946.33,5194.5
948.11,5546.03
949.88,5373.3
951.66,5093.33
953.43,5367.47
955.21,5259.7
956.98,5304.53
958.75,5230.67
960.52,5051.5
962.29,5644.63
964.06,4955.57
965.82,5089.4
967.59,4974.07
969.36,4738.47
971.12,5263.97
972.88,4938.1
974.65,4994.57
976.41,4943.27
978.17,4733.3
979.93,4923.9
981.69,5096.47
983.45,4961.4
985.2,5050.0
986.96,4975.13
988.71,5084.47
990.47,4875.8
992.22,4935.13
993.97,4990.23
995.72,5025.6
997.47,5070.43
999.22,5346.63
1000.97,5282.03
1002.72,5563.2
1004.46,5560.23
1006.21,4861.7
1007.95,5162.2
1009.7,5079.7
1011.44,5102.47
1013.18,4978.5
1014.92,5072.57
1016.66,4913.6
1018.4,4897.07
1020.13,5062.9
1021.87,4834.6
1023.61,5173.0
1025.34,4996.73
1027.07,4828.87
1028.81,4917.93
1030.54,4884.77
1032.27,4531.53
1034.0,5043.1
1035.73,4739.87
1037.46,4670.07
1039.18,5071.5
1040.91,4757.6
1042.63,4634.0
1044.36,4941.7
1046.08,4779.93
1047.8,4656.03
1049.52,4779.17
1051.24,4912.63
1052.96,4758.87
1054.68,4800.7
1056.4,4650.23
1058.11,4774.9
1059.83,4933.17
1061.54,4681.17
1063.26,5190.07
1064.97,4689.7
1066.68,4963.83
1068.39,4583.4
1070.1,4610.43
1071.81,4643.83
1073.51,4494.17
1075.22,4542.3
1076.93,4425.1
1078.63,4711.07
1080.33,4886.97
1082.04,4606.2
1083.74,4583.77
1085.44,4510.87
1087.14,4655.47
1088.84,4659.5
1090.53,4541.67
1092.23,4461.8
1093.93,4303.8
1095.62,4343.3
1097.32,4488.23
1099.01,4618.77
1100.7,4387.43
1102.39,4443.9
1104.08,4497.93
1105.77,4640.17
1107.46,4381.1
1109.15,4361.33
1110.83,4453.67
1112.52,4407.43
1114.2,4568.57
1115.88,4542.77
1117.57,4460.27
1119.25,4177.1
1120.93,4380.1
1122.61,4487.03
1124.28,4686.7
1125.96,4317.87
1127.64,4452.03
1129.31,4509.9
1130.99,4322.33
1132.66,4172.67
1134.33,4166.37
1136.01,4192.6
1137.68,4090.77
1139.35,4544.93
1141.01,4930.17
1142.68,4097.37
1144.35,4345.27
1146.01,4202.47
1147.68,4496.37
1149.34,4388.97
1151.01,4302.97
1152.67,4059.37
1154.33,4434.7
1155.99,4594.43
1157.65,4191.67
1159.3,4386.07
1160.96,4320.83
1162.62,4289.47
1164.27,4373.87
1165.93,4355.0
1167.58,4303.37
1169.23,4322.0
1170.88,4019.47
1172.53,4314.07
1174.18,4347.77
1175.83,4180.63
1177.48,4225.43
1179.12,4097.27
1180.77,3886.57
1182.41,3938.3
1184.06,4309.0
1185.7,4274.27
1187.34,4032.07
1188.98,4228.17
1190.62,4300.2
1192.26,4322.1
1193.9,4190.7
1195.53,4023.03
1197.17,4185.03
1198.8,4061.3
1200.44,4398.27
1202.07,4317.13
1203.7,4380.57
1205.33,4484.1
1206.96,4225.03
1208.59,4398.7
1210.22,4302.6
1211.85,4141.67
1213.47,3979.0
1215.1,4218.0
1216.72,4291.83
1218.34,4147.37
1219.96,4153.77
1221.59,4294.0
1223.21,4414.03
1224.83,4371.87
1226.44,3924.43
1228.06,4283.63
1229.68,4258.9
1231.29,4319.93
1232.91,4304.93
1234.52,4555.23
1236.13,4381.0
1237.74,4269.67
1239.35,4141.27
1240.96,4405.77
1242.57,4093.27
1244.18,4306.0
1245.78,4341.77
1247.39,4388.43
1248.99,4116.67
1250.6,4275.8
1252.2,4355.27
1253.8,4276.7
1255.4,4281.73
1257.0,4132.9
1258.6,4501.83
1260.2,4298.57
1261.8,4143.4
1263.39,4030.37
1264.99,4008.57
1266.58,4066.53
1268.17,4109.77
1269.77,4226.1
1271.36,4156.8
1272.95,4167.1
1274.54,4270.33
1276.12,4097.97
1277.71,3839.47
1279.3,3960.7
1280.88,4055.13
1282.47,4001.4
1284.05,4171.3
1285.63,3871.5
1287.21,3973.4
1288.79,3954.83
1290.37,4022.77
1291.95,4087.33
1293.53,3766.8
1295.1,3997.73
1296.68,3830.1
1298.25,3930.17
1299.83,4136.87
1301.4,3770.27
1302.97,4217.03
1304.54,3707.83
1306.11,3995.6
1307.68,3956.13
1309.25,3595.53
1310.81,4241.03
1312.38,3819.07
1313.94,4115.27
1315.51,3661.43
1317.07,3873.27
1318.63,4075.73
1320.19,4039.63
1321.75,4014.8
1323.31,3984.93
1324.87,3978.13
1326.43,3806.63
1327.98,3910.37
1329.54,3852.1
1331.09,4144.47
1332.64,3960.27
1334.2,3912.93
1335.75,4004.5
1337.3,3802.87
1338.85,3983.43
1340.4,3860.9
1341.94,3780.6
1343.49,3875.03
1345.03,3740.77
1346.58,3571.67
1348.12,3737.47
1349.66,3385.7
1351.21,3830.23
1352.75,3560.5
1354.29,3614.47
1355.82,3416.37
1357.36,3630.87
1358.9,3726.47
1360.43,3540.7
1361.97,3786.17
1363.5,3507.63
1365.03,3537.0
1366.57,3730.87
1368.1,3674.23
1369.63,3287.57
1371.16,3498.73
1372.68,3463.87
1374.21,3385.23
1375.74,3202.4
1377.26,3465.13
1378.78,3355.07
1380.31,3621.37
1381.83,3535.8
1383.35,3794.53
1384.87,3531.63
1386.39,3399.83
1387.91,3606.17
1389.42,3445.37
1390.94,3440.17
1392.46,3452.23
1393.97,3308.33
1395.48,3286.47
1397.0,3546.03
1398.51,3565.27
1400.02,3384.2
1401.53,3256.9
1403.04,3719.0
1404.54,3275.47
1406.05,3276.9
1407.55,3428.23
1409.06,3496.23
1410.56,3310.87
1412.06,3431.1
1413.57,3394.87
1415.07,3184.6
1416.57,3304.97
1418.07,3614.4
1419.56,3568.53
1421.06,3478.3
1422.56,3475.47
1424.05,3318.8
1425.54,3341.07
1427.04,3394.67
1428.53,3123.67
1430.02,3663.07
1431.51,3467.57
1433.0,3409.27
1434.49,3349.23
1435.97,3441.5
1437.46,3431.03
1438.94,3416.7
1440.43,3609.07
1441.91,3425.97
1443.39,3406.7
1444.88,3448.47
1446.36,3432.17
1447.83,3535.87
1449.31,3381.33
1450.79,3472.03
1452.27,3835.1
1453.74,3358.03
1455.22,3662.17
1456.69,3253.37
1458.16,3378.37
1459.63,3267.4
1461.1,3409.23
1462.57,3463.67
1464.04,3653.1
1465.51,3505.7
1466.98,3208.2
1468.44,3270.2
1469.91,3482.23
1471.37,3218.67
1472.83,3197.27
1474.3,3334.0
1475.76,3184.0
1477.22,3412.8
1478.67,3094.33
1480.13,3149.4
1481.59,3132.77
1483.05,3062.63
1484.5,3266.43
1485.95,3116.47
1487.41,3083.73
1488.86,3444.23
1490.31,2861.67
1491.76,3070.5
1493.21,3249.8
1494.66,2896.3
1496.11,2859.0
1497.55,2965.5
1499.0,2818.27
1500.44,2705.23
1501.88,2685.6
1503.33,2908.83
1504.77,3128.8
1506.21,3064.1
1507.65,3120.93
1509.09,2931.83
1510.52,2867.0
1511.96,3028.33
1513.4,3090.2
1514.83,3063.47
1516.26,3146.47
1517.7,3045.83
1519.13,2901.4
1520.56,2967.57
1521.99,2914.13
1523.42,3077.7
1524.85,2977.93
1526.27,3260.07
1527.7,2948.5
1529.12,2896.6
1530.55,3171.4
1531.97,3112.9
1533.39,3189.8
1534.81,2927.57
1536.23,2907.6
1537.65,3133.23
1539.07,3007.9
1540.49,2952.93
1541.9,3028.0
1543.32,3362.9
1544.73,3087.77
1546.15,3109.37
1547.56,3086.03
1548.97,3207.8
1550.38,3332.5
1551.79,3342.87
1553.2,3184.27
1554.61,3362.4
1556.01,3181.37
1557.42,3275.87
1558.82,3143.77
1560.22,3214.03
1561.63,3086.3
1563.03,3186.3
1564.43,3084.23
1565.83,3093.07
1567.23,3495.5
1568.63,2931.83
1570.02,3234.43
1571.42,3325.53
1572.81,3274.33
1574.21,3351.37
1575.6,3583.03
1576.99,3498.57
1578.38,3398.67
1579.77,3309.53
1581.16,3641.1
1582.55,3703.6
1583.94,3222.13
1585.32,3469.93
1586.71,3454.73
1588.09,3233.27
1589.47,3877.53
1590.86,3475.73
1592.24,3666.3
1593.62,3594.3
1595.0,3729.07
1596.38,3451.23
1597.75,4383.03
1599.13,3701.33
1600.51,3583.43
1601.88,3971.4
1603.25,3931.1
1604.63,3852.83
1606.0,3573.7
1607.37,3666.43
1608.74,3860.03
1610.11,3927.43
1611.47,3845.27
1612.84,4186.9
1614.21,4200.57
1615.57,3924.8
1616.93,3838.83
1618.3,4327.8
1619.66,4058.23
1621.02,3803.43
1622.38,3980.2
1623.74,4184.8
1625.1,4244.07
1626.45,3880.17
1627.81,4043.97
1629.16,3801.83
1630.52,4074.73
1631.87,3905.23
1633.22,4050.53
1634.57,4146.13
1635.92,4016.8
1637.27,4209.77
1638.62,4428.13
1639.97,4146.8
1641.32,4258.77
1642.66,4148.9
1644.01,3903.07
1645.35,4174.73
1646.69,3871.03
1648.03,4086.83
1649.37,4149.63
1650.71,4164.33
1652.05,4287.53
1653.39,4216.23
1654.73,4178.63
1656.06,4047.07
1657.4,4041.1
1658.73,3880.6
1660.06,4177.47
1661.39,3934.13
1662.72,4252.67
1664.05,3937.87
1665.38,4147.7
1666.71,3933.6
1668.04,3563.93
1669.36,3720.0
1670.69,4083.27
1672.01,3798.03
1673.34,3820.8
1674.66,3734.0
1675.98,3596.67
1677.3,3826.0
1678.62,3395.73
1679.94,3518.17
1681.25,3473.13
1682.57,3377.07
1683.88,3501.47
1685.2,3133.37
1686.51,3352.3
1687.82,3284.47
1689.14,2845.93
1690.45,3420.37
1691.76,3052.13
1693.06,3109.03
1694.37,3073.6
1695.68,2908.67
1696.98,3111.5
1698.29,3312.47
1699.59,2899.47
1700.89,2796.37
1702.2,2787.43
1703.5,2880.4
1704.8,2609.47
1706.1,2740.8
1707.39,2719.8
1708.69,2834.63
1709.99,2351.83
1711.28,2584.97
1712.57,2575.73
1713.87,2747.03
1715.16,2473.63
1716.45,2329.27
1717.74,2357.17
1719.03,2622.03
1720.32,2768.57
1721.6,2422.7
1722.89,2656.73
1724.18,2283.8
1725.46,2234.63
1726.74,2413.4
1728.03,2478.87
1729.31,2255.2
1730.59,2505.97
1731.87,2296.6
1733.15,2249.47
1734.42,2102.53
1735.7,2219.1
1736.97,2243.57
1738.25,2315.47
1739.52,2166.17
1740.79,2251.33
1742.07,2225.87
1743.34,2282.1
1744.61,2124.7
1745.88,2110.43
1747.14,2161.97
1748.41,2187.73
1749.68,2181.2
1750.94,2300.1
1752.2,2109.47
1753.47,2181.83
1754.73,1864.93
1755.99,1960.37
1757.25,2018.27
1758.51,1962.4
1759.77,2223.63
1761.02,1971.23
1762.28,2291.77
1763.54,2112.37
1764.79,2155.2
1766.04,2053.87
1767.29,1921.67
1768.55,2071.63
1769.8,1995.2
1771.05,2284.87
1772.29,1870.4
1773.54,1987.07
1774.79,2011.1
1776.03,2186.7
1777.28,2152.93
1778.52,2080.47
1779.76,1764.23
1781.01,2114.5
1782.25,1834.27
1783.49,1771.17
1784.72,2058.6
1785.96,1971.77
1787.2,1984.53
1788.43,1783.03
1789.67,2207.2
1790.9,1953.83
1792.14,2002.7
1793.37,2202.4
1794.6,2126.13
1795.83,2026.87
1797.06,1835.67
1798.28,1846.77
1799.51,1926.93
1800.74,1983.5
1801.96,1883.6
1803.19,1929.27
1804.41,1845.37
1805.63,2274.47
1806.85,2126.07
1808.07,1988.77
1809.29,2033.2
1810.51,1939.53
1811.73,1884.57
1812.94,1512.5
1814.16,1910.9
1815.37,1725.57
1816.59,1806.67
1817.8,1944.23
1819.01,1981.83
1820.22,1782.33
1821.43,1950.03
1822.64,1955.63
1823.85,1798.4
1825.05,1702.63
1826.26,1905.53
1827.46,1896.57
1828.67,1707.67
1829.87,1774.23
1831.07,1810.1
1832.27,1802.4
1833.47,1764.43
1834.67,1922.03
1835.87,1721.33
1837.07,1832.07
1838.26,1952.13
1839.46,2102.07
1840.65,1914.83
1841.85,1844.27
1843.04,1947.17
1844.23,2176.5
1845.42,1859.63
1846.61,1916.8
1847.8,1932.63
1848.98,1845.17
1850.17,1705.6
1851.35,1966.6
1852.54,1809.2
1853.72,1919.27
1854.9,1854.07
1856.09,2060.0
1857.27,1958.83
1858.45,1706.6
1859.62,1806.1
1860.8,1899.97
1861.98,2175.93
1863.15,1799.97
1864.33,1850.53
1865.5,1940.9
1866.68,1663.2
1867.85,1817.53
1869.02,1660.27
1870.19,2184.1
1871.36,1726.27
1872.52,1706.6
1873.69,1655.57
1874.86,1681.9
1876.02,1852.93
1877.19,1658.6
1878.35,1605.0
1879.51,1711.9
1880.67,1870.87
1881.83,1745.97
1882.99,1832.97
1884.15,1566.97
