Wavenumber,Intensities
282.29,15258.4
284.39,15104.73
286.49,14776.0
288.59,14875.6
290.7,14463.67
292.79,14374.0
294.89,14062.4
296.99,14306.0
299.09,14259.27
301.18,13786.93
303.28,13961.47
305.37,13805.07
307.47,13998.67
309.56,13818.4
311.65,13518.6
313.74,13308.93
315.83,13401.8
317.92,13499.07
320.0,13451.93
322.09,13419.13
324.18,13211.47
326.26,13715.2
328.34,13331.4
330.43,13553.8
332.51,13355.87
334.59,13248.73
336.67,13361.93
338.75,13314.8
340.83,13299.6
342.9,13468.6
344.98,13273.2
347.05,13299.73
349.13,13425.93
351.2,13493.0
353.27,13479.8
355.35,13390.13
357.42,13435.4
359.49,13464.33
361.55,13860.2
363.62,13439.6
365.69,13603.73
367.75,13499.07
369.82,13625.47
371.88,13608.4
373.95,13785.53
376.01,13560.67
378.07,13605.8
380.13,13571.2
382.19,13399.33
384.25,13314.2
386.31,13566.6
388.36,13835.93
390.42,13177.93
392.47,13859.87
394.53,13542.33
396.58,13678.87
398.63,13798.93
400.68,13373.8
402.73,13343.8
404.78,13438.47
406.83,13650.47
408.87,13620.4
410.92,13607.13
412.97,13853.2
415.01,13662.0
417.05,13775.53
419.1,13594.0
421.14,13888.2
423.18,13873.67
425.22,13850.2
427.25,13904.87
429.29,13802.53
431.33,13791.6
433.36,13952.2
435.4,14137.8
437.43,13868.67
439.47,13708.67
441.5,13895.4
443.53,13454.87
445.56,13763.93
447.59,13887.0
449.62,13406.2
451.64,13660.13
453.67,13581.53
455.7,13676.93
457.72,13586.33
459.74,13621.07
461.77,13167.53
463.79,13573.07
465.81,13621.0
467.83,13365.33
469.85,13265.4
471.86,12843.0
473.88,13270.4
475.9,13301.33
477.91,13093.67
479.93,12986.47
481.94,12997.33
483.95,13107.2
485.96,13050.4
487.97,13120.0
489.98,12785.53
491.99,12741.33
494.0,13024.53
496.0,12823.93
498.01,12336.2
500.01,12133.67
502.02,12298.4
504.02,12121.27
506.02,11771.73
508.02,11620.8
510.02,11811.93
512.02,11663.4
514.02,11438.27
516.01,11729.13
518.01,11660.8
520.01,11177.47
522.0,11505.87
523.99,11217.0
525.99,11121.93
527.98,11088.0
529.97,11245.93
531.96,10991.13
533.94,10855.53
535.93,10923.93
537.92,10845.07
539.9,10777.27
541.89,11021.93
543.87,10724.47
545.85,10783.8
547.84,10743.47
549.82,10424.07
551.8,10707.8
553.78,10756.73
555.75,10592.07
557.73,10527.67
559.71,10511.6
561.68,10579.2
563.66,10469.13
565.63,10662.27
567.6,10101.4
569.57,9979.53
571.54,10280.4
573.51,10294.67
575.48,10050.53
577.45,10159.13
579.41,10150.27
581.38,10038.2
583.34,9812.0
585.31,10042.33
587.27,9849.93
589.23,9989.73
591.19,10006.6
593.15,9945.13
595.11,9974.73
597.07,9757.47
599.03,9940.27
600.98,9952.6
602.94,10378.4
604.89,9802.2
606.84,9818.67
608.8,9683.73
610.75,9588.53
612.7,9820.13
614.65,9484.87
616.6,9405.53
618.54,9386.07
620.49,9639.07
622.43,9552.0
624.38,9340.93
626.32,9077.47
