Wavenumber,Intensities
282.29,10519.0
284.39,10428.2
286.49,10220.0
288.59,10447.2
290.69,10194.0
292.79,10219.0
294.89,10017.2
296.99,10438.6
299.08,10466.0
301.18,10101.4
303.28,10295.6
305.37,10243.4
307.46,10543.4
309.55,10385.4
311.65,10117.4
313.74,9964.0
315.83,10125.2
317.91,10248.8
320.0,10293.4
322.09,10250.2
324.17,10018.6
326.26,10630.8
328.34,10236.6
330.42,10570.0
332.51,10432.0
334.59,10393.8
336.67,10631.4
338.75,10773.6
340.82,10872.2
342.9,11294.4
344.98,11366.4
347.05,11563.2
349.13,11877.0
351.2,12159.2
353.27,12227.0
355.34,12032.6
357.41,11924.6
359.48,11701.4
361.55,11878.6
363.62,11116.0
365.69,11126.8
367.75,10742.8
369.82,10732.4
371.88,10522.8
373.94,10647.4
376.01,10350.2
378.07,10352.2
380.13,10314.2
382.19,10079.4
384.24,9933.0
386.3,10276.0
388.36,10595.0
390.41,9825.8
392.47,10577.6
394.52,10283.8
396.58,10519.8
398.63,10691.4
400.68,10180.8
402.73,10225.2
404.78,10392.2
406.82,10615.8
408.87,10628.2
410.92,10510.6
412.96,10794.0
415.01,10651.4
417.05,10845.0
419.09,10639.8
421.13,11095.0
423.17,11123.0
425.21,11143.2
427.25,11261.0
429.29,11208.8
431.33,11239.6
433.36,11508.0
435.4,11767.6
437.43,11534.6
439.46,11292.8
441.5,11483.4
443.53,11021.0
445.56,11303.0
447.59,11530.4
449.61,11010.6
451.64,11286.8
453.67,11220.2
455.69,11342.4
457.72,11167.0
459.74,11155.4
461.76,10607.4
463.78,11073.4
465.81,11135.8
467.82,10844.8
469.84,10746.8
471.86,10274.0
473.88,10813.2
475.89,10774.2
477.91,10477.4
479.92,10290.6
481.94,10202.0
483.95,10198.0
485.96,9991.2
487.97,10042.2
489.98,9622.2
491.99,9558.6
493.99,9991.8
496.0,9826.6
498.01,9361.2
500.01,9171.4
502.01,9426.4
504.02,9264.4
506.02,9071.8
508.02,8979.2
510.02,9269.2
512.02,9264.6
514.02,9095.8
516.01,9487.0
518.01,9421.8
520.0,8825.6
522.0,9207.8
523.99,8856.6
525.98,8676.0
527.97,8621.4
529.96,8761.0
531.95,8542.6
533.94,8437.0
535.93,8553.2
537.92,8391.2
539.9,8267.0
541.89,8525.0
543.87,8166.6
545.85,8210.6
547.83,8151.6
549.81,7823.6
551.79,8147.4
553.77,8121.2
555.75,8016.0
557.73,7982.8
559.7,7939.4
561.68,8144.4
563.65,8057.2
565.63,8339.6
567.6,7769.4
569.57,7617.0
571.54,8003.2
573.51,8015.4
575.48,7802.0
577.44,7954.6
579.41,7952.8
581.38,7800.4
583.34,7583.4
585.3,7798.4
587.27,7658.6
589.23,7805.8
591.19,7892.4
593.15,7804.4
595.11,7782.4
597.07,7653.4
599.02,7857.4
600.98,7826.2
602.93,8355.0
604.89,7762.0
606.84,7728.2
608.79,7606.8
610.74,7451.4
612.7,7735.4
614.64,7456.0
616.59,7326.8
618.54,7341.2
620.49,7666.8
622.43,7617.6
624.38,7411.0
626.32,7129.0
628.26,7301.0
630.2,7228.0
632.15,7022.4
634.08,7308.4
636.02,7453.4
637.96,7436.8
639.9,7701.0
641.83,7540.4
643.77,7677.6
645.7,7604.6
647.64,7783.2
649.57,7508.2
651.5,7720.2
653.43,7562.8
655.36,7644.2
657.29,7578.2
659.21,7468.6
661.14,7570.4
663.07,7091.4
664.99,7284.2
666.91,7072.6
668.84,7175.6
670.76,6809.6
672.68,6904.6
674.6,6969.8
676.52,7042.0
678.43,6995.2
680.35,6890.2
682.27,6805.8
684.18,6590.8
686.1,7156.0
688.01,6974.6
689.92,6959.2
691.83,6837.0
693.74,7032.0
695.65,7128.4
697.56,6847.6
699.47,7126.2
701.37,7329.0
703.28,7020.8
705.18,7360.2
707.09,7702.4
708.99,7058.8
710.89,7625.8
712.79,7149.8
714.69,7065.4
716.59,6975.8
718.49,6847.4
720.38,7106.6
722.28,6925.6
724.17,7011.4
726.07,6983.6
727.96,6683.4
729.85,6887.0
731.74,6709.4
733.63,6533.4
735.52,6509.6
737.41,6727.4
739.3,6704.0
741.18,6994.2
743.07,6800.4
744.95,6452.2
746.83,6933.4
748.72,6649.4
750.6,6461.0
752.48,6567.6
754.36,6749.8
756.24,6967.6
758.11,6907.4
759.99,6886.2
761.87,6828.4
763.74,7140.8
765.61,6915.0
767.49,7172.0
769.36,6690.2
771.23,7310.0
773.1,6679.0
774.97,6599.2
776.83,6805.8
778.7,6466.2
780.57,6658.4
782.43,6445.8
784.3,6901.6
786.16,6858.2
788.02,6520.4
789.88,6785.2
791.74,6445.2
793.6,6594.6
795.46,6553.8
797.32,6542.4
799.17,6588.6
801.03,6576.4
802.88,6553.6
804.74,6763.4
806.59,6498.2
808.44,6879.4
810.29,6658.2
812.14,6503.0
813.99,6576.4
815.84,6505.4
817.68,6745.8
819.53,6722.4
821.37,7015.4
823.22,7234.2
825.06,6902.2
826.9,6862.2
828.74,6836.2
830.58,7002.6
832.42,6870.2
834.26,6961.4
836.1,7166.6
837.93,7501.2
839.77,7281.2
841.6,7072.8
843.43,7291.0
845.27,7559.8
847.1,7623.4
848.93,7681.4
850.76,7825.4
852.59,7761.0
854.41,7991.4
856.24,7973.0
858.06,7622.2
859.89,7837.0
861.71,7617.6
863.54,7704.8
865.36,7762.4
867.18,7455.8
869.0,7822.4
870.82,7767.2
872.63,7887.2
874.45,7964.8
876.27,8046.4
878.08,8173.4
879.89,8328.6
881.71,8096.6
883.52,7944.2
885.33,7914.4
887.14,7690.4
888.95,7881.8
890.76,7491.8
892.56,7572.8
894.37,7598.4
896.18,7461.2
897.98,7785.4
899.78,7834.8
901.59,7436.0
903.39,7509.0
905.19,7313.8
906.99,6876.2
908.78,7062.6
910.58,7054.0
912.38,6931.2
914.17,8130.8
915.97,6990.8
917.76,6947.8
919.55,6900.0
921.35,6745.8
923.14,6721.4
924.93,6769.6
926.71,6922.8
928.5,6903.6
930.29,6549.4
932.08,7165.6
933.86,6804.8
935.64,6672.2
937.43,6821.8
939.21,6578.0
940.99,6966.2
942.77,6976.0
944.55,6659.2
946.33,7011.0
948.1,7441.4
949.88,7306.4
951.66,6918.8
953.43,7237.0
955.2,7006.2
956.98,7030.4
958.75,6915.0
960.52,6676.6
962.29,7286.0
964.05,6460.4
965.82,6553.6
967.59,6388.8
969.35,6142.0
971.12,6757.2
972.88,6371.4
974.64,6492.4
976.41,6485.2
978.17,6324.4
979.93,6613.0
981.69,6826.2
983.44,6679.8
985.2,6834.4
986.96,6764.8
988.71,6901.2
990.46,6682.0
992.22,6709.4
993.97,6825.6
995.72,6843.0
997.47,6926.4
999.22,7365.4
1000.97,7490.0
1002.71,7912.4
1004.46,7952.4
1006.21,7029.0
1007.95,7154.4
1009.69,6987.2
1011.44,7038.2
1013.18,6942.4
1014.92,7168.6
1016.66,7046.4
1018.39,7177.2
1020.13,7435.6
1021.87,7193.8
1023.6,7562.0
1025.34,7368.2
1027.07,7176.4
1028.8,7246.8
1030.54,7316.0
1032.27,7001.0
1034.0,7580.4
1035.73,7257.0
1037.45,7246.2
1039.18,7683.0
1040.91,7408.8
1042.63,7334.4
1044.35,7682.2
1046.08,7546.8
1047.8,7411.8
1049.52,7603.8
1051.24,7729.2
1052.96,7596.4
1054.68,7673.8
1056.39,7537.8
1058.11,7687.4
1059.83,7932.0
1061.54,7642.8
1063.25,8298.0
1064.97,7767.0
1066.68,8118.6
1068.39,7779.2
1070.1,7915.4
1071.8,8074.8
1073.51,8071.0
1075.22,8260.8
1076.92,8253.2
1078.63,8683.0
1080.33,8999.6
1082.03,8733.2
1083.74,8708.6
1085.44,8562.0
1087.14,8653.6
1088.83,8555.4
1090.53,8265.4
1092.23,8047.4
1093.92,7767.8
1095.62,7735.4
1097.31,7818.8
1099.01,7928.8
1100.7,7634.2
1102.39,7651.6
1104.08,7663.4
1105.77,7841.6
1107.46,7589.4
