Wavenumber,Intensities
282.29,10778.0
284.39,10666.6
286.49,10435.6
288.59,10721.2
290.7,10431.0
292.79,10419.8
294.89,10258.8
296.99,10608.0
299.09,10707.2
301.18,10299.6
303.28,10537.6
305.37,10499.6
307.47,10780.2
309.56,10622.6
311.65,10336.0
313.74,10091.8
315.83,10338.4
317.92,10448.6
320.0,10500.8
322.09,10455.0
324.18,10238.4
326.26,10810.6
328.34,10415.2
330.43,10805.2
332.51,10629.2
334.59,10579.2
336.67,10801.0
338.75,10930.0
340.83,11099.4
342.9,11431.2
344.98,11527.4
347.05,11719.8
349.13,11981.6
351.2,12238.4
353.27,12296.2
355.35,12096.4
357.42,11991.4
359.49,11801.6
361.55,11965.0
363.62,11203.4
365.69,11198.2
367.75,10867.0
369.82,10886.0
371.88,10708.8
373.95,10818.6
376.01,10510.6
378.07,10521.6
380.13,10477.4
382.19,10265.4
384.25,10169.2
386.31,10435.8
388.36,10745.6
390.42,10060.4
392.47,10762.0
394.53,10441.8
396.58,10700.8
398.63,10858.4
400.68,10404.6
402.73,10416.0
404.78,10619.4
406.83,10784.0
408.87,10800.0
410.92,10700.6
412.97,10972.2
415.01,10873.8
417.05,11017.2
419.1,10853.2
421.14,11264.0
423.18,11283.8
425.22,11256.4
427.25,11415.8
429.29,11355.2
431.33,11346.2
433.36,11620.2
435.4,11878.4
437.43,11650.0
439.47,11428.2
441.5,11619.6
443.53,11186.2
445.56,11405.4
447.59,11662.0
449.62,11182.0
451.64,11362.8
453.67,11340.8
455.7,11448.0
457.72,11323.2
459.74,11287.4
461.77,10731.0
463.79,11210.2
465.81,11228.4
467.83,10983.4
469.85,10882.2
471.86,10433.4
473.88,10888.8
475.9,10931.8
477.91,10642.2
479.93,10425.8
481.94,10302.0
483.95,10323.8
485.96,10172.6
487.97,10232.0
489.98,9792.2
491.99,9734.6
494.0,10135.0
496.0,9940.4
498.01,9503.0
500.01,9332.2
502.02,9601.8
504.02,9449.2
506.02,9197.2
508.02,9111.4
510.02,9397.8
512.02,9390.8
514.02,9177.4
516.01,9617.8
518.01,9510.8
520.01,8939.0
522.0,9339.0
523.99,8938.8
525.99,8796.2
527.98,8744.4
529.97,8884.8
531.96,8653.4
533.94,8575.2
535.93,8700.2
537.92,8517.4
539.9,8420.4
541.89,8621.4
543.87,8307.0
545.85,8308.6
547.84,8295.8
549.82,7973.6
551.8,8257.8
553.78,8262.4
555.75,8200.0
557.73,8112.6
559.71,8054.4
561.68,8288.0
563.66,8184.2
565.63,8467.2
567.6,7864.2
569.57,7733.8
571.54,8086.8
573.51,8150.8
575.48,7949.4
577.45,8070.0
579.41,8058.8
581.38,7943.4
583.34,7700.2
585.31,7919.6
587.27,7800.6
589.23,7922.0
591.19,7985.4
593.15,7914.4
595.11,7917.4
597.07,7764.0
599.03,7940.4
600.98,7992.0
602.94,8433.8
604.89,7857.6
606.84,7826.2
608.8,7727.8
610.75,7611.6
612.7,7859.8
614.65,7576.6
616.6,7448.8
618.54,7480.2
620.49,7781.8
622.43,7717.2
624.38,7525.6
626.32,7234.6
628.27,7367.6
630.21,7363.6
632.15,7189.4
634.09,7424.8
636.03,7595.6
637.96,7554.6
639.9,7791.4
641.84,7692.4
643.77,7739.8
645.71,7734.4
647.64,7880.2
649.57,7567.6
651.5,7802.0
653.43,7625.8
655.36,7768.8
657.29,7711.8
659.22,7523.4
661.14,7645.0
663.07,7158.2
664.99,7364.6
666.92,7202.2
668.84,7294.0
670.76,6944.2
672.68,7033.4
674.6,7062.4
676.52,7155.0
678.44,7075.2
680.35,6973.8
682.27,6939.4
684.19,6738.0
686.1,7254.0
688.01,7062.6
689.92,7092.0
691.83,6958.6
693.74,7117.0
695.65,7250.8
697.56,6900.8
699.47,7225.0
701.38,7388.8
703.28,7104.4
705.19,7424.8
707.09,7784.8
708.99,7117.6
710.89,7691.2
712.79,7194.6
714.69,7095.0
716.59,7051.8
718.49,6924.8
720.39,7196.6
722.28,6987.4
724.18,7082.8
726.07,7066.8
727.96,6764.8
729.85,6951.6
731.74,6772.4
733.63,6637.2
735.52,6568.2
737.41,6874.8
739.3,6797.6
741.18,7046.6
743.07,6898.4
744.95,6514.2
746.84,7006.2
748.72,6744.4
750.6,6554.4
752.48,6642.4
754.36,6812.6
756.24,7041.2
758.12,6985.8
759.99,6923.6
761.87,6894.8
763.74,7241.8
765.62,6985.0
767.49,7206.0
769.36,6736.0
771.23,7342.6
773.1,6759.6
774.97,6676.8
776.84,6879.4
778.7,6500.6
780.57,6752.0
782.44,6514.4
784.3,6987.2
786.16,6951.6
788.02,6607.6
789.89,6863.6
791.75,6521.2
793.6,6677.4
795.46,6621.8
797.32,6588.0
799.18,6655.4
801.03,6636.4
802.89,6590.8
804.74,6855.0
806.59,6553.8
808.44,6968.0
810.29,6729.0
812.14,6585.0
813.99,6629.6
815.84,6574.8
817.69,6762.4
819.53,6787.0
821.38,7063.2
823.22,7274.4
825.06,6935.8
826.9,6914.4
828.75,6963.6
830.59,7032.0
832.42,6903.6
834.26,7026.8
836.1,7167.0
837.93,7482.6
839.77,7300.0
841.6,7096.0
843.44,7320.6
845.27,7580.0
847.1,7625.8
848.93,7662.4
850.76,7845.2
852.59,7710.0
854.42,7976.0
856.24,7953.4
858.07,7586.2
859.89,7775.4
861.72,7577.8
863.54,7599.4
865.36,7730.6
867.18,7408.2
869.0,7740.6
870.82,7704.6
872.64,7856.8
874.45,7918.4
876.27,8017.6
878.08,8108.2
879.9,8172.0
881.71,7980.6
883.52,7830.0
885.33,7783.2
887.14,7616.8
888.95,7763.6
890.76,7400.4
892.57,7475.6
894.37,7499.8
896.18,7363.8
897.98,7681.4
899.79,7747.6
901.59,7326.8
903.39,7474.2
905.19,7251.6
906.99,6833.0
908.79,6997.2
910.58,7011.8
912.38,6850.6
914.18,8085.4
915.97,7004.0
917.76,6907.0
919.56,6836.0
921.35,6685.4
923.14,6655.6
924.93,6701.8
926.72,6852.2
928.51,6826.4
930.29,6541.8
932.08,7129.2
933.86,6799.2
935.65,6597.8
937.43,6802.2
939.21,6544.8
940.99,6921.2
942.77,6952.4
944.55,6610.0
946.33,6952.8
948.11,7426.8
949.88,7212.8
951.66,6843.0
953.43,7137.0
955.21,6944.8
956.98,6974.4
958.75,6854.6
960.52,6614.2
962.29,7227.2
964.06,6405.8
965.82,6529.6
967.59,6377.4
969.36,6125.4
971.12,6720.6
972.88,6328.0
974.65,6423.0
976.41,6450.4
978.17,6270.0
979.93,6583.2
981.69,6782.2
983.45,6651.6
985.2,6748.8
986.96,6716.2
988.71,6846.8
990.47,6622.8
992.22,6655.2
993.97,6740.6
995.72,6796.2
997.47,6901.4
999.22,7351.6
1000.97,7413.4
1002.72,7832.4
1004.46,7831.0
1006.21,6850.4
1007.95,7027.6
1009.7,6884.8
1011.44,6959.8
1013.18,6861.8
1014.92,7074.2
1016.66,6954.6
1018.4,7093.6
1020.13,7351.8
1021.87,7088.2
1023.61,7461.2
1025.34,7258.0
1027.07,7070.8
1028.81,7129.2
1030.54,7183.0
1032.27,6873.2
1034.0,7455.8
1035.73,7145.2
1037.46,7109.6
1039.18,7597.2
1040.91,7312.0
1042.63,7226.0
1044.36,7583.2
1046.08,7423.6
1047.8,7314.6
1049.52,7446.0
1051.24,7619.0
1052.96,7493.0
1054.68,7566.0
1056.4,7383.8
1058.11,7549.0
1059.83,7793.0
1061.54,7522.0
1063.26,8155.2
1064.97,7605.2
1066.68,7994.2
1068.39,7649.4
1070.1,7759.6
1071.81,7935.0
1073.51,7917.4
1075.22,8108.8
1076.93,8090.8
1078.63,8532.0
1080.33,8806.6
1082.04,8494.0
1083.74,8467.2
1085.44,8336.0
1087.14,8438.6
1088.84,8341.2
1090.53,8058.4
1092.23,7857.6
1093.93,7618.2
1095.62,7566.4
1097.32,7665.6
1099.01,7850.2
1100.7,7490.8
1102.39,7540.2
1104.08,7555.0
1105.77,7695.8
1107.46,7446.0
1109.15,7499.2
1110.83,7697.2
1112.52,7745.0
1114.2,8121.8
1115.88,8152.8
1117.57,8144.6
1119.25,7881.0
1120.93,8149.8
1122.61,8221.2
1124.28,8351.6
1125.96,7835.4
1127.64,7874.4
1129.31,7846.0
1130.99,7455.8
1132.66,7077.4
1134.33,6977.4
1136.01,6872.4
1137.68,6600.6
1139.35,7128.6
1141.01,7476.2
1142.68,6508.8
1144.35,6769.2
1146.01,6596.2
1147.68,6925.2
1149.34,6868.0
1151.01,6765.4
1152.67,6455.0
1154.33,6803.8
1155.99,6957.6
1157.65,6413.0
1159.3,6584.2
1160.96,6335.8
1162.62,6253.8
1164.27,6261.4
1165.93,6158.4
1167.58,6002.2
1169.23,5989.4
1170.88,5537.0
1172.53,5856.8
1174.18,5841.4
1175.83,5639.0
1177.48,5569.6
1179.12,5435.2
1180.77,5158.0
1182.41,5186.0
1184.06,5589.2
1185.7,5559.4
1187.34,5272.6
1188.98,5476.8
1190.62,5573.6
1192.26,5555.4
1193.9,5440.0
1195.53,5298.4
1197.17,5466.2
1198.8,5331.2
1200.44,5734.2
1202.07,5649.4
1203.7,5775.2
1205.33,5877.8
1206.96,5609.8
1208.59,5829.4
1210.22,5676.4
1211.85,5546.0
1213.47,5330.4
1215.1,5602.8
1216.72,5662.0
1218.34,5555.2
1219.96,5548.2
1221.59,5794.4
1223.21,5924.2
1224.83,5871.6
1226.44,5447.2
1228.06,5830.6
1229.68,5870.2
1231.29,6001.6
1232.91,6001.4
1234.52,6326.0
1236.13,6198.4
1237.74,6107.0
1239.35,6018.4
1240.96,6398.0
1242.57,6098.6
1244.18,6360.0
1245.78,6486.8
1247.39,6594.2
1248.99,6384.4
1250.6,6591.8
1252.2,6749.8
1253.8,6699.8
1255.4,6737.2
1257.0,6649.4
1258.6,7122.0
1260.2,6894.0
1261.8,6775.4
1263.39,6675.8
1264.99,6631.8
1266.58,6675.8
1268.17,6689.4
1269.77,6747.2
1271.36,6593.0
1272.95,6528.0
1274.54,6568.8
1276.12,6288.8
1277.71,5949.2
1279.3,6082.8
1280.88,6095.0
1282.47,5997.0
1284.05,6178.6
1285.63,5819.4
1287.21,5898.8
1288.79,5836.8
1290.37,5937.0
1291.95,5977.2
1293.53,5634.8
1295.1,5918.8
1296.68,5742.4
1298.25,5878.6
1299.83,6141.2
1301.4,5779.2
1302.97,6323.8
1304.54,5801.2
1306.11,6148.2
1307.68,6134.2
1309.25,5753.4
1310.81,6538.2
1312.38,6092.6
1313.94,6457.8
1315.51,5943.8
1317.07,6194.4
1318.63,6439.2
1320.19,6423.8
1321.75,6431.4
1323.31,6393.4
1324.87,6373.0
1326.43,6161.0
1327.98,6344.2
1329.54,6241.0
1331.09,6646.2
1332.64,6408.8
1334.2,6368.2
1335.75,6476.4
1337.3,6270.4
1338.85,6461.2
1340.4,6338.6
1341.94,6251.0
1343.49,6354.6
1345.03,6180.0
1346.58,5972.6
1348.12,6122.4
