Wavenumber,Intensities
282.29,9357.2
284.39,9294.8
286.49,9083.2
288.59,9317.0
290.7,9053.0
292.79,9076.2
294.89,8926.6
296.99,9289.6
299.09,9371.0
301.18,8973.8
303.28,9197.6
305.37,9156.2
307.47,9409.6
309.56,9291.8
311.65,9039.8
313.74,8810.6
315.83,9053.2
317.92,9174.2
320.0,9180.4
322.09,9138.6
324.18,8929.0
326.26,9505.2
328.34,9051.0
330.43,9457.6
332.51,9292.0
334.59,9226.6
336.67,9421.0
338.75,9531.2
340.83,9636.0
342.9,9974.6
344.98,9960.2
347.05,10106.8
349.13,10350.8
351.2,10600.4
353.27,10620.8
355.35,10451.6
357.42,10354.6
359.49,10200.2
361.55,10431.0
363.62,9762.0
365.69,9857.6
367.75,9524.2
369.82,9538.0
371.88,9417.0
373.95,9608.6
376.01,9281.2
378.07,9300.8
380.13,9265.0
382.19,9035.4
384.25,8933.6
386.31,9213.8
388.36,9566.8
390.42,8808.2
392.47,9567.0
394.53,9189.0
396.58,9454.0
398.63,9613.4
400.68,9152.2
402.73,9149.8
404.78,9284.2
406.83,9483.4
408.87,9436.4
410.92,9373.2
412.97,9702.0
415.01,9517.6
417.05,9686.8
419.1,9496.4
421.14,9910.2
423.18,9873.8
425.22,9856.0
427.25,10044.6
429.29,9932.0
431.33,9934.4
433.36,10163.8
435.4,10419.0
437.43,10187.2
439.47,9968.0
441.5,10092.4
443.53,9673.0
445.56,9957.2
447.59,10224.6
449.62,9686.8
451.64,9906.2
453.67,9883.6
455.7,10011.2
457.72,9911.6
459.74,9888.2
461.77,9311.6
463.79,9834.8
465.81,9933.0
467.83,9641.4
469.85,9524.2
471.86,9109.6
473.88,9595.0
475.9,9642.2
477.91,9356.6
479.93,9159.2
481.94,9073.2
483.95,9128.6
485.96,8974.6
487.97,9078.6
489.98,8638.6
491.99,8562.2
494.0,8997.6
496.0,8851.6
498.01,8396.0
500.01,8184.8
502.02,8487.2
504.02,8326.0
506.02,8092.0
508.02,7976.0
510.02,8286.8
512.02,8234.4
514.02,8035.8
516.01,8493.2
518.01,8396.0
520.01,7813.4
522.0,8162.2
523.99,7860.4
525.99,7655.4
527.98,7642.6
529.97,7804.4
531.96,7586.4
533.94,7454.2
535.93,7587.8
537.92,7436.0
539.9,7343.4
541.89,7562.8
543.87,7214.2
545.85,7329.8
547.84,7260.6
549.82,6932.6
551.8,7240.0
553.78,7280.4
555.75,7166.4
557.73,7145.2
559.71,7096.6
561.68,7328.8
563.66,7178.6
565.63,7445.2
567.6,6858.0
569.57,6711.4
571.54,7136.2
573.51,7129.0
575.48,6942.6
577.45,7099.8
579.41,7091.0
581.38,6977.4
583.34,6757.2
585.31,6976.0
587.27,6851.0
589.23,6988.8
591.19,7033.0
593.15,6964.4
595.11,7023.6
597.07,6825.4
599.03,7020.4
600.98,7014.0
602.94,7534.0
604.89,6940.2
606.84,6923.2
608.8,6819.2
610.75,6687.4
612.7,6941.6
614.65,6682.0
616.6,6579.0
618.54,6576.6
620.49,6916.2
622.43,6831.6
624.38,6629.4
626.32,6367.6
628.27,6535.4
630.21,6484.8
632.15,6284.0
634.09,6584.6
636.03,6699.4
637.96,6691.2
639.9,6891.4
641.84,6756.6
643.77,6837.6
645.71,6790.0
647.64,6897.6
649.57,6638.0
651.5,6833.2
653.43,6693.6
655.36,6838.4
657.29,6792.0
659.22,6650.0
661.14,6796.0
663.07,6330.4
664.99,6525.0
666.92,6378.4
668.84,6421.4
670.76,6049.6
672.68,6198.0
674.6,6224.8
676.52,6334.2
678.44,6265.2
680.35,6174.0
682.27,6089.6
684.19,5926.4
686.1,6470.2
688.01,6251.4
689.92,6305.4
691.83,6114.6
693.74,6304.0
695.65,6402.4
697.56,6092.0
699.47,6339.4
701.38,6584.8
703.28,6270.4
705.19,6572.8
707.09,6959.8
708.99,6258.2
710.89,6830.8
712.79,6376.6
714.69,6268.2
716.59,6211.8
718.49,6089.6
720.39,6373.0
722.28,6178.8
724.18,6306.0
726.07,6284.2
727.96,6015.2
729.85,6194.6
731.74,5989.4
733.63,5857.6
735.52,5807.0
737.41,6103.6
739.3,6024.4
741.18,6283.2
743.07,6160.2
744.95,5754.0
746.84,6237.8
748.72,5959.0
750.6,5795.0
752.48,5867.8
754.36,6045.8
756.24,6276.0
758.12,6182.0
759.99,6118.4
761.87,6126.2
763.74,6426.8
765.62,6226.6
767.49,6433.0
769.36,5958.2
771.23,6599.0
773.1,5992.0
774.97,5905.0
776.84,6167.4
778.7,5784.6
780.57,6033.6
782.44,5782.0
784.3,6240.0
786.16,6215.6
788.02,5873.2
789.89,6169.2
791.75,5842.0
793.6,5952.4
795.46,5928.0
797.32,5896.8
799.18,5985.8
801.03,5933.8
802.89,5914.2
804.74,6129.0
806.59,5881.6
808.44,6256.6
810.29,6033.6
812.14,5873.2
813.99,5937.8
815.84,5863.4
817.69,6040.6
819.53,6034.2
821.38,6315.6
823.22,6512.8
825.06,6186.2
826.9,6143.4
828.75,6134.4
830.59,6196.6
832.42,6083.6
834.26,6190.8
836.1,6347.2
837.93,6665.4
839.77,6467.8
841.6,6266.0
843.44,6427.6
845.27,6676.8
847.1,6704.2
848.93,6730.6
850.76,6870.4
852.59,6741.2
854.42,6951.6
856.24,6938.0
858.07,6547.8
859.89,6784.4
861.72,6549.0
863.54,6599.8
865.36,6744.0
867.18,6362.2
869.0,6734.6
870.82,6657.6
872.64,6810.4
874.45,6843.4
876.27,6902.2
878.08,6972.2
879.9,7090.4
881.71,6922.0
883.52,6746.0
885.33,6728.4
887.14,6574.2
888.95,6764.8
890.76,6378.8
892.57,6481.6
894.37,6520.2
896.18,6432.0
897.98,6742.0
899.79,6813.2
901.59,6408.6
903.39,6552.2
905.19,6324.4
906.99,5937.8
908.79,6137.2
910.58,6089.6
912.38,6021.2
914.18,7234.0
915.97,6136.0
917.76,6049.6
919.56,5992.6
921.35,5851.8
923.14,5841.4
924.93,5846.0
926.72,6038.2
928.51,5994.0
930.29,5675.2
932.08,6306.8
933.86,5979.0
935.65,5826.2
937.43,5976.8
939.21,5685.8
940.99,6090.6
942.77,6085.2
944.55,5725.6
946.33,6105.6
948.11,6488.4
949.88,6335.8
951.66,5993.2
953.43,6299.2
955.21,6103.4
956.98,6119.8
958.75,6001.8
960.52,5772.6
962.29,6439.6
964.06,5611.2
965.82,5734.2
967.59,5596.8
969.36,5345.0
971.12,5946.8
972.88,5574.2
974.65,5671.8
976.41,5668.2
978.17,5479.0
979.93,5768.6
981.69,6003.0
983.45,5828.4
985.2,5960.6
986.96,5863.4
988.71,6045.6
990.47,5784.8
992.22,5842.2
993.97,5933.8
995.72,5974.2
997.47,5989.4
999.22,6412.4
1000.97,6424.6
1002.72,6828.0
1004.46,6778.6
1006.21,5900.6
1007.95,6149.0
1009.7,6004.0
1011.44,6060.0
1013.18,5998.8
1014.92,6187.0
1016.66,6070.8
1018.4,6180.0
1020.13,6416.8
1021.87,6187.0
1023.61,6554.6
1025.34,6366.0
1027.07,6152.0
1028.81,6226.4
1030.54,6261.4
1032.27,5938.0
1034.0,6539.8
1035.73,6204.4
1037.46,6184.0
1039.18,6654.8
1040.91,6379.8
1042.63,6272.0
1044.36,6600.0
1046.08,6496.6
1047.8,6316.2
1049.52,6469.4
1051.24,6660.6
1052.96,6508.2
1054.68,6573.4
1056.4,6434.4
1058.11,6583.4
1059.83,6807.2
1061.54,6524.0
1063.26,7138.2
1064.97,6623.4
1066.68,6930.2
1068.39,6596.6
1070.1,6688.8
1071.81,6819.6
1073.51,6780.0
1075.22,6908.2
1076.93,6940.2
1078.63,7317.6
1080.33,7598.6
1082.04,7271.4
1083.74,7264.0
1085.44,7187.0
1087.14,7267.0
1088.84,7217.8
1090.53,6964.4
1092.23,6787.0
1093.93,6505.0
1095.62,6545.4
1097.32,6618.8
1099.01,6796.0
1100.7,6441.2
1102.39,6520.4
1104.08,6549.4
1105.77,6693.4
1107.46,6426.2
1109.15,6461.6
1110.83,6661.6
1112.52,6682.8
1114.2,6989.6
1115.88,7044.2
1117.57,7025.2
1119.25,6755.0
1120.93,6994.0
1122.61,7094.4
1124.28,7225.2
1125.96,6742.0
1127.64,6771.0
1129.31,6773.2
1130.99,6421.6
1132.66,6123.0
1134.33,6052.8
1136.01,5962.8
1137.68,5752.6
1139.35,6285.0
1141.01,6655.4
1142.68,5689.6
1144.35,5949.0
1146.01,5778.2
1147.68,6122.0
1149.34,6016.2
1151.01,5943.8
1152.67,5615.0
1154.33,5985.6
1155.99,6139.2
1157.65,5597.4
1159.3,5770.6
1160.96,5612.6
1162.62,5524.0
1164.27,5543.8
1165.93,5478.6
1167.58,5340.8
1169.23,5313.0
1170.88,4936.4
1172.53,5221.0
1174.18,5244.6
1175.83,5027.6
1177.48,5014.6
1179.12,4834.4
1180.77,4606.0
1182.41,4624.0
1184.06,5039.6
1185.7,5001.6
1187.34,4693.0
1188.98,4926.8
1190.62,5019.8
1192.26,5035.0
1193.9,4881.4
1195.53,4726.4
1197.17,4910.4
1198.8,4780.8
1200.44,5164.8
1202.07,5057.8
1203.7,5163.2
1205.33,5260.4
1206.96,4980.4
1208.59,5196.6
1210.22,5075.8
1211.85,4908.2
1213.47,4728.0
1215.1,4990.0
1216.72,5076.0
1218.34,4957.4
1219.96,4962.2
1221.59,5148.2
1223.21,5278.0
1224.83,5256.0
1226.44,4767.8
1228.06,5203.6
1229.68,5207.4
1231.29,5306.8
1232.91,5305.4
1234.52,5608.2
1236.13,5500.6
1237.74,5385.0
1239.35,5278.2
1240.96,5624.0
1242.57,5294.4
1244.18,5591.6
1245.78,5731.6
1247.39,5804.4
1248.99,5571.2
1250.6,5796.6
1252.2,5940.8
1253.8,5895.2
1255.4,5942.2
1257.0,5792.2
1258.6,6253.8
1260.2,6043.2
1261.8,5912.4
