Wavenumber,Intensities
282.29,5880.8
284.39,5855.2
286.49,5624.4
288.59,5915.8
290.7,5670.4
292.79,5722.2
294.89,5525.4
296.99,5983.4
299.09,6063.0
301.18,5647.2
303.28,5887.0
305.37,5854.0
307.47,6163.2
309.56,6053.2
311.65,5785.2
313.74,5618.8
315.83,5805.0
317.92,5940.4
320.0,5988.0
322.09,5911.4
324.18,5708.4
326.26,6276.6
328.34,5833.2
330.43,6211.0
332.51,5992.6
334.59,5898.4
336.67,6022.2
338.75,6053.2
340.83,6085.8
342.9,6273.6
344.98,6177.0
347.05,6220.4
349.13,6388.0
351.2,6538.4
353.27,6581.0
355.35,6408.6
357.42,6412.4
359.49,6417.8
361.55,6761.2
363.62,6282.6
365.69,6421.0
367.75,6248.4
369.82,6385.8
371.88,6330.8
373.95,6538.4
376.01,6292.4
378.07,6344.2
380.13,6298.6
382.19,6098.0
384.25,5981.2
386.31,6283.4
388.36,6604.4
390.42,5832.2
392.47,6552.8
394.53,6230.2
396.58,6435.4
398.63,6583.4
400.68,6064.6
402.73,6010.8
404.78,6113.2
406.83,6309.8
408.87,6324.2
410.92,6209.0
412.97,6457.8
415.01,6279.8
417.05,6416.0
419.1,6176.4
421.14,6544.6
423.18,6471.0
425.22,6467.2
427.25,6571.0
429.29,6467.2
431.33,6407.2
433.36,6614.6
435.4,6851.4
437.43,6646.0
439.47,6366.8
441.5,6569.8
443.53,6128.6
445.56,6429.6
447.59,6685.6
449.62,6204.4
451.64,6472.4
453.67,6456.6
455.7,6623.4
457.72,6512.6
459.74,6548.4
461.77,6004.6
463.79,6509.6
465.81,6612.2
467.83,6343.4
469.85,6265.8
471.86,5827.8
473.88,6338.2
475.9,6432.0
477.91,6193.0
479.93,6079.2
481.94,6073.0
483.95,6152.0
485.96,6076.0
487.97,6189.0
489.98,5842.0
491.99,5796.6
494.0,6242.2
496.0,6070.6
498.01,5613.6
500.01,5404.0
502.02,5676.6
504.02,5468.8
506.02,5183.8
508.02,5050.2
510.02,5307.6
512.02,5260.4
514.02,5012.2
516.01,5420.6
518.01,5334.0
520.01,4756.4
522.0,5163.2
523.99,4863.2
525.99,4740.2
527.98,4702.2
529.97,4834.4
531.96,4598.4
533.94,4486.0
535.93,4616.6
537.92,4479.0
539.9,4426.6
541.89,4664.4
543.87,4387.0
545.85,4478.4
547.84,4457.6
549.82,4197.8
551.8,4491.2
553.78,4504.2
555.75,4370.6
557.73,4367.4
559.71,4307.4
561.68,4518.4
563.66,4419.2
565.63,4709.8
567.6,4106.8
569.57,3991.6
571.54,4364.4
573.51,4413.8
575.48,4232.4
577.45,4384.2
579.41,4376.4
581.38,4268.0
583.34,4070.6
585.31,4314.4
587.27,4190.2
589.23,4334.8
591.19,4441.8
593.15,4349.2
595.11,4385.0
597.07,4225.4
599.03,4430.6
600.98,4463.6
602.94,4965.0
604.89,4412.8
606.84,4375.0
608.8,4336.4
610.75,4211.6
612.7,4462.4
614.65,4201.2
616.6,4095.6
618.54,4080.6
620.49,4352.2
622.43,4315.2
624.38,4141.0
626.32,3870.0
628.27,4044.8
630.21,3996.2
632.15,3829.0
634.09,4110.8
636.03,4251.2
637.96,4185.2
639.9,4394.2
641.84,4156.2
643.77,4181.4
645.71,4094.0
647.64,4252.6
649.57,4000.8
651.5,4220.8
653.43,4064.4
655.36,4193.4
657.29,4129.8
659.22,4011.4
661.14,4285.6
663.07,3831.4
664.99,4081.0
666.92,3959.8
668.84,4022.8
670.76,3659.0
672.68,3849.4
674.6,3871.4
676.52,3971.0
678.44,3934.6
680.35,3866.2
682.27,3794.2
684.19,3618.8
686.1,4157.2
688.01,3971.0
689.92,3988.6
691.83,3830.8
693.74,3990.0
695.65,4107.6
697.56,3744.0
699.47,4006.2
701.38,4213.2
703.28,3871.0
705.19,4196.2
