Wavenumber,Intensities
282.29,9554.6
284.39,9429.4
286.49,9195.6
288.59,9454.2
290.7,9156.8
292.79,9222.0
294.89,9001.2
296.99,9432.0
299.09,9517.6
301.18,9102.8
303.28,9291.8
305.37,9286.8
307.47,9552.2
309.56,9437.8
311.65,9177.4
313.74,8948.6
315.83,9170.4
317.92,9282.2
320.0,9284.4
322.09,9244.2
324.18,9027.6
326.26,9598.0
328.34,9197.2
330.43,9570.0
332.51,9370.4
334.59,9347.4
336.67,9534.2
338.75,9683.8
340.83,9785.4
342.9,10089.2
344.98,10078.8
347.05,10261.0
349.13,10506.2
351.2,10782.6
353.27,10831.4
355.35,10571.4
357.42,10487.2
359.49,10314.2
361.55,10554.8
363.62,9854.6
365.69,9921.0
367.75,9581.2
369.82,9657.0
371.88,9504.6
373.95,9649.8
376.01,9334.8
378.07,9403.0
380.13,9339.2
382.19,9139.4
384.25,8963.4
386.31,9320.8
388.36,9620.6
390.42,8877.4
392.47,9592.8
394.53,9338.4
396.58,9533.4
398.63,9696.0
400.68,9214.6
402.73,9206.2
404.78,9351.8
406.83,9553.2
408.87,9515.2
410.92,9475.0
412.97,9755.2
415.01,9648.8
417.05,9737.6
419.1,9570.6
421.14,9979.2
423.18,9976.0
425.22,9958.0
427.25,10103.0
429.29,9973.2
431.33,9997.6
433.36,10232.2
435.4,10488.8
437.43,10273.2
439.47,10044.6
441.5,10237.4
443.53,9802.8
445.56,10072.8
447.59,10350.6
449.62,9817.4
451.64,10010.4
453.67,10018.8
455.7,10128.8
457.72,9989.0
459.74,9993.8
461.77,9390.6
463.79,9905.6
465.81,9989.0
467.83,9690.8
469.85,9641.4
471.86,9175.0
473.88,9661.0
475.9,9671.6
477.91,9439.4
479.93,9261.6
481.94,9176.0
483.95,9170.2
485.96,9047.4
487.97,9125.8
489.98,8686.2
491.99,8611.6
494.0,9092.8
496.0,8922.2
498.01,8457.4
500.01,8279.6
502.02,8535.0
504.02,8369.4
506.02,8154.4
508.02,8041.4
510.02,8301.0
512.02,8276.8
514.02,8089.8
516.01,8528.8
518.01,8420.8
520.01,7891.2
522.0,8238.6
523.99,7922.0
525.99,7761.2
527.98,7706.6
529.97,7852.6
531.96,7609.2
533.94,7487.6
535.93,7641.8
537.92,7479.0
539.9,7392.6
541.89,7617.6
543.87,7265.0
545.85,7398.8
547.84,7320.4
549.82,7024.4
551.8,7304.8
553.78,7336.0
555.75,7177.2
557.73,7181.6
559.71,7122.8
561.68,7340.2
563.66,7205.4
565.63,7493.0
567.6,6913.8
569.57,6808.8
571.54,7146.0
573.51,7174.8
575.48,6946.8
577.45,7120.8
579.41,7149.0
581.38,7009.6
583.34,6786.8
585.31,6993.4
587.27,6892.4
589.23,7008.2
591.19,7057.2
593.15,7006.4
595.11,7020.2
597.07,6867.8
599.03,7054.8
600.98,7074.4
602.94,7574.8
604.89,6964.6
606.84,6951.4
608.8,6843.0
610.75,6733.0
612.7,6972.0
614.65,6715.4
616.6,6563.4
618.54,6617.6
620.49,6874.2
622.43,6872.6
624.38,6674.4
626.32,6367.4
628.27,6539.4
630.21,6511.0
632.15,6288.0
634.09,6574.8
636.03,6742.0
637.96,6712.6
639.9,6918.8
641.84,6756.4
643.77,6822.4
645.71,6789.0
647.64,6966.6
649.57,6663.0
651.5,6884.6
653.43,6743.0
655.36,6840.0
657.29,6792.8
659.22,6621.2
661.14,6802.0
663.07,6334.8
664.99,6511.8
666.92,6384.8
668.84,6430.0
670.76,6075.2
672.68,6244.6
674.6,6244.6
676.52,6312.4
678.44,6261.4
680.35,6199.2
682.27,6104.2
684.19,5954.6
686.1,6449.8
688.01,6287.2
689.92,6281.0
691.83,6116.2
693.74,6307.8
695.65,6445.2
697.56,6118.2
699.47,6406.2
701.38,6589.4
703.28,6268.2
705.19,6593.8
707.09,6972.0
708.99,6297.0
710.89,6852.2
712.79,6433.8
714.69,6310.0
716.59,6245.4
718.49,6111.6
720.39,6370.6
722.28,6194.6
724.18,6284.4
726.07,6291.2
727.96,6019.8
729.85,6193.0
731.74,5979.6
733.63,5870.2
735.52,5797.4
737.41,6087.4
739.3,6043.4
741.18,6288.8
743.07,6137.6
744.95,5770.0
746.84,6251.6
748.72,5967.4
750.6,5789.8
752.48,5890.2
754.36,6048.6
756.24,6246.8
758.12,6201.2
759.99,6144.2
761.87,6143.0
763.74,6458.0
765.62,6223.4
767.49,6437.4
769.36,5962.2
771.23,6595.4
773.1,5965.8
774.97,5916.6
776.84,6126.2
778.7,5776.0
780.57,5968.8
782.44,5749.8
784.3,6242.4
786.16,6218.8
788.02,5857.4
789.89,6113.0
791.75,5767.0
793.6,5940.8
795.46,5900.4
797.32,5905.8
799.18,5937.8
801.03,5918.8
802.89,5932.4
804.74,6131.4
806.59,5880.6
808.44,6248.4
810.29,6015.2
812.14,5870.0
813.99,5920.6
815.84,5849.0
817.69,6047.0
819.53,6050.2
821.38,6341.8
823.22,6515.8
825.06,6200.0
826.9,6146.6
828.75,6138.2
830.59,6256.0
832.42,6125.6
834.26,6215.0
836.1,6362.2
837.93,6699.6
839.77,6488.6
841.6,6276.6
843.44,6432.2
845.27,6722.2
847.1,6761.2
848.93,6780.6
850.76,6881.6
852.59,6779.2
854.42,7004.8
856.24,6989.6
858.07,6587.8
859.89,6840.6
861.72,6593.0
863.54,6662.2
865.36,6812.0
867.18,6444.4
869.0,6791.4
870.82,6747.4
872.64,6858.2
874.45,6926.6
876.27,6980.6
878.08,7024.6
879.9,7161.0
881.71,6941.0
883.52,6792.8
885.33,6775.4
887.14,6617.6
888.95,6816.4
890.76,6447.4
892.57,6541.4
894.37,6575.2
896.18,6450.6
897.98,6793.8
899.79,6881.0
901.59,6459.2
903.39,6568.8
905.19,6404.8
906.99,5966.0
908.79,6201.2
910.58,6144.4
912.38,6039.0
914.18,7294.0
915.97,6173.0
917.76,6114.6
919.56,6052.6
921.35,5880.6
923.14,5884.8
924.93,5909.0
926.72,6090.6
928.51,6077.4
930.29,5732.4
932.08,6375.2
933.86,6030.4
935.65,5862.8
937.43,6022.4
939.21,5716.6
940.99,6124.6
942.77,6123.8
944.55,5748.2
946.33,6148.8
948.11,6568.0
949.88,6376.8
951.66,6020.8
953.43,6326.6
955.21,6143.6
956.98,6164.2
958.75,6043.4
960.52,5816.8
962.29,6492.8
964.06,5661.4
965.82,5771.4
967.59,5629.4
969.36,5374.8
971.12,5987.0
972.88,5642.4
974.65,5701.8
976.41,5699.4
978.17,5495.2
979.93,5801.2
981.69,6016.8
983.45,5897.6
985.2,5987.8
986.96,5928.8
988.71,6074.4
990.47,5832.8
992.22,5897.4
993.97,5963.0
995.72,6001.8
997.47,6088.0
999.22,6491.4
1000.97,6496.0
1002.72,6893.0
1004.46,6845.4
1006.21,5967.4
1007.95,6195.4
1009.7,6085.8
1011.44,6124.6
1013.18,6058.6
1014.92,6257.6
1016.66,6152.8
1018.4,6258.2
1020.13,6455.6
1021.87,6256.8
1023.61,6614.6
1025.34,6424.8
1027.07,6226.2
1028.81,6315.8
1030.54,6312.2
1032.27,6020.0
1034.0,6596.0
1035.73,6288.0
1037.46,6239.6
1039.18,6687.4
1040.91,6413.0
1042.63,6331.8
1044.36,6686.4
1046.08,6543.0
1047.8,6382.6
1049.52,6564.8
1051.24,6731.4
1052.96,6565.8
1054.68,6688.0
1056.4,6462.4
1058.11,6650.2
1059.83,6861.0
1061.54,6599.2
1063.26,7219.6
1064.97,6671.6
1066.68,7055.6
1068.39,6690.4
1070.1,6802.0
1071.81,6933.2
1073.51,6877.2
1075.22,7056.4
1076.93,7018.4
1078.63,7392.6
1080.33,7698.2
1082.04,7389.6
1083.74,7347.0
1085.44,7238.0
1087.14,7338.4
1088.84,7266.8
1090.53,7023.6
1092.23,6878.0
1093.93,6604.4
1095.62,6618.6
1097.32,6702.6
1099.01,6854.4
1100.7,6506.0
1102.39,6564.2
1104.08,6617.4
1105.77,6780.8
1107.46,6531.8
1109.15,6569.8
1110.83,6755.8
1112.52,6801.2
1114.2,7105.6
1115.88,7147.4
1117.57,7131.0
1119.25,6876.4
1120.93,7105.4
1122.61,7206.2
1124.28,7344.8
1125.96,6843.6
1127.64,6918.2
1129.31,6867.0
1130.99,6513.2
1132.66,6194.6
1134.33,6123.2
1136.01,6038.4
1137.68,5824.0
1139.35,6303.2
1141.01,6708.4
1142.68,5725.0
1144.35,5982.4
1146.01,5829.4
1147.68,6173.2
1149.34,6026.4
1151.01,6001.4
1152.67,5659.0
1154.33,6025.2
1155.99,6189.0
1157.65,5647.8
1159.3,5821.6
1160.96,5625.8
1162.62,5560.4
1164.27,5560.4
1165.93,5525.4
1167.58,5365.4
1169.23,5338.0
1170.88,4921.8
1172.53,5222.0
1174.18,5261.4
1175.83,5083.6
1177.48,5041.8
1179.12,4865.6
1180.77,4624.6
1182.41,4624.0
1184.06,5062.4
1185.7,5027.6
1187.34,4730.4
1188.98,4944.6
1190.62,5021.4
1192.26,5019.8
1193.9,4889.0
1195.53,4728.2
1197.17,4923.8
1198.8,4784.4
1200.44,5181.6
1202.07,5101.2
1203.7,5171.6
1205.33,5297.0
1206.96,5013.8
1208.59,5251.4
1210.22,5103.2
1211.85,4939.2
1213.47,4726.6
1215.1,5027.4
1216.72,5133.0
1218.34,5000.8
1219.96,5007.0
1221.59,5183.6
1223.21,5318.0
1224.83,5304.6
1226.44,4840.4
1228.06,5205.8
1229.68,5246.6
1231.29,5343.2
1232.91,5368.4
1234.52,5662.0
1236.13,5512.4
1237.74,5430.6
1239.35,5341.0
1240.96,5730.6
1242.57,5378.0
1244.18,5638.6
1245.78,5769.8
1247.39,5861.0
1248.99,5605.0
1250.6,5837.6
1252.2,5969.0
1253.8,5946.2
1255.4,5976.4
1257.0,5829.2
1258.6,6360.0
1260.2,6100.4
1261.8,5970.4
1263.39,5877.0
1264.99,5795.6
1266.58,5880.8
1268.17,5909.6
1269.77,5980.2
1271.36,5879.2
1272.95,5792.0
1274.54,5870.2
1276.12,5598.2
1277.71,5256.0
1279.3,5395.4
1280.88,5451.0
1282.47,5349.2
1284.05,5532.6
1285.63,5155.8
1287.21,5262.0
1288.79,5218.0
1290.37,5306.8
1291.95,5363.0
1293.53,5019.0
1295.1,5305.4
1296.68,5123.8
1298.25,5236.4
1299.83,5505.6
1301.4,5132.2
1302.97,5676.4
1304.54,5160.0
1306.11,5486.8
1307.68,5477.6
1309.25,5102.4
1310.81,5845.2
1312.38,5388.8
1313.94,5770.0
1315.51,5241.6
1317.07,5534.6
1318.63,5755.8
1320.19,5716.0
1321.75,5742.0
1323.31,5680.4
1324.87,5673.4
1326.43,5499.6
1327.98,5643.2
1329.54,5549.2
1331.09,5934.0
1332.64,5730.4
1334.2,5660.6
1335.75,5752.6
1337.3,5571.8
1338.85,5779.0
1340.4,5619.0
1341.94,5529.4
1343.49,5652.2
1345.03,5479.2
1346.58,5277.2
1348.12,5467.6
1349.66,4992.2
1351.21,5525.4
1352.75,5201.2
1354.29,5244.4
1355.82,5020.6
1357.36,5235.4
1358.9,5347.2
1360.43,5161.6
1361.97,5438.2
1363.5,5144.8
1365.03,5210.4
1366.57,5429.6
1368.1,5374.4
1369.63,4951.4
1371.16,5185.2
1372.68,5167.6
1374.21,5079.0
1375.74,4811.8
1377.26,5109.4
1378.78,4977.8
1380.31,5240.8
1381.83,5126.8
1383.35,5392.4
1384.87,5139.2
1386.39,4953.0
1387.91,5155.0
1389.42,5009.0
1390.94,4937.6
1392.46,4902.8
1393.97,4726.0
1395.48,4693.8
1397.0,4980.2
1398.51,4956.8
1400.02,4771.6
1401.53,4605.4
1403.04,5136.2
1404.54,4582.4
1406.05,4616.4
1407.55,4758.4
1409.06,4849.0
1410.56,4607.4
1412.06,4772.2
1413.57,4685.4
1415.07,4406.4
1416.57,4576.4
1418.07,4963.6
1419.56,4908.0
1421.06,4790.4
1422.56,4791.2
1424.05,4614.2
1425.54,4645.2
1427.04,4684.8
1428.53,4380.4
1430.02,4983.4
1431.51,4770.8
1433.0,4720.6
1434.49,4657.6
1435.97,4777.4
1437.46,4763.8
1438.94,4763.0
1440.43,5003.0
1441.91,4829.8
1443.39,4870.8
1444.88,4942.2
1446.36,4971.0
1447.83,5098.8
1449.31,4958.0
1450.79,5078.4
1452.27,5521.0
1453.74,5028.2
1455.22,5392.6
1456.69,4916.4
1458.16,5119.2
1459.63,4984.0
1461.1,5151.2
1462.57,5229.4
1464.04,5425.2
1465.51,5234.8
1466.98,4852.8
1468.44,4868.8
1469.91,5022.2
1471.37,4642.4
1472.83,4529.8
1474.3,4600.6
1475.76,4359.8
1477.22,4501.2
1478.67,4108.6
1480.13,4101.4
1481.59,4043.4
1483.05,3914.0
1484.5,4081.2
1485.95,3875.6
1487.41,3814.4
1488.86,4193.0
1490.31,3523.8
1491.76,3715.8
1493.21,3949.8
1494.66,3501.0
1496.11,3434.8
1497.55,3576.0
1499.0,3390.2
1500.44,3215.0
1501.88,3251.0
1503.33,3465.4
1504.77,3718.8
1506.21,3621.6
1507.65,3702.0
1509.09,3474.4
1510.52,3415.2
1511.96,3571.6
1513.4,3612.8
1514.83,3588.4
1516.26,3686.2
1517.7,3579.4
1519.13,3393.2
1520.56,3472.0
1521.99,3433.2
1523.42,3592.8
1524.85,3466.8
1526.27,3819.8
1527.7,3416.0
1529.12,3375.2
1530.55,3679.4
1531.97,3591.4
1533.39,3716.6
1534.81,3367.4
1536.23,3344.6
1537.65,3636.2
1539.07,3491.0
1540.49,3401.0
1541.9,3490.4
1543.32,3864.6
1544.73,3558.6
1546.15,3561.0
1547.56,3514.0
1548.97,3650.0
1550.38,3781.2
1551.79,3797.8
1553.2,3608.0
1554.61,3739.4
1556.01,3557.2
1557.42,3652.0
1558.82,3523.6
1560.22,3559.4
1561.63,3463.6
1563.03,3568.4
1564.43,3439.4
1565.83,3422.0
1567.23,3871.0
1568.63,3210.2
1570.02,3557.2
1571.42,3658.6
1572.81,3599.0
1574.21,3720.2
1575.6,3976.2
1576.99,3828.4
1578.38,3707.4
1579.77,3611.2
1581.16,3949.8
1582.55,4022.0
1583.94,3477.4
1585.32,3748.4
1586.71,3724.8
1588.09,3465.2
1589.47,4154.8
1590.86,3679.4
1592.24,3913.2
1593.62,3804.6
1595.0,3942.0
1596.38,3612.0
1597.75,4636.8
1599.13,3847.4
1600.51,3745.6
1601.88,4164.8
1603.25,4127.4
1604.63,4042.4
1606.0,3705.0
1607.37,3791.8
1608.74,3966.4
1610.11,4031.0
1611.47,3882.2
1612.84,4275.8
1614.21,4263.2
1615.57,3949.2
1616.93,3836.0
1618.3,4375.8
1619.66,4038.0
1621.02,3725.0
1622.38,3929.0
1623.74,4151.0
1625.1,4184.4
1626.45,3741.6
1627.81,3951.6
1629.16,3667.4
1630.52,3944.6
1631.87,3777.4
1633.22,3926.2
1634.57,4053.6
1635.92,3914.0
1637.27,4142.6
1638.62,4376.0
1639.97,4066.8
1641.32,4199.0
1642.66,4087.0
1644.01,3811.0
1645.35,4148.2
1646.69,3820.8
1648.03,4053.0
1649.37,4169.2
1650.71,4195.6
1652.05,4291.4
1653.39,4285.2
1654.73,4281.6
1656.06,4107.0
1657.4,4110.8
1658.73,3961.8
1660.06,4305.4
1661.39,4066.0
1662.72,4390.0
1664.05,4054.4
1665.38,4307.4
1666.71,4028.0
1668.04,3649.8
1669.36,3868.6
1670.69,4297.4
1672.01,3968.8
1673.34,4034.2
1674.66,3936.2
1675.98,3818.4
1677.3,4134.2
1678.62,3664.2
1679.94,3829.2
1681.25,3802.4
1682.57,3747.6
1683.88,3872.4
1685.2,3476.8
1686.51,3737.0
1687.82,3682.4
1689.14,3189.4
1690.45,3888.2
1691.76,3481.2
1693.06,3529.8
1694.37,3513.0
1695.68,3331.0
1696.98,3575.4
1698.29,3839.6
1699.59,3361.8
1700.89,3263.4
1702.2,3274.6
1703.5,3384.8
1704.8,3086.6
1706.1,3252.6
1707.39,3257.4
1708.69,3394.6
1709.99,2874.4
1711.28,3137.4
1712.57,3148.0
1713.87,3365.0
1715.16,3066.0
1716.45,2902.8
1717.74,2950.4
1719.03,3267.0
1720.32,3432.6
1721.6,3048.2
1722.89,3338.4
1724.18,2936.6
1725.46,2890.6
1726.74,3110.2
1728.03,3186.8
1729.31,2964.6
1730.59,3236.0
1731.87,3028.6
1733.15,2967.8
1734.42,2828.2
1735.7,2946.6
1736.97,3002.8
1738.25,3063.8
1739.52,2893.6
1740.79,3048.4
1742.07,3019.6
1743.34,3069.6
1744.61,2902.0
1745.88,2896.8
1747.14,2980.2
1748.41,2983.8
1749.68,2957.8
1750.94,3152.4
1752.2,2914.0
1753.47,2979.0
1754.73,2654.4
1755.99,2775.8
1757.25,2839.6
1758.51,2768.2
1759.77,3096.2
1761.02,2778.0
1762.28,3186.6
1763.54,2973.2
1764.79,3046.2
1766.04,2928.6
1767.29,2765.8
1768.55,2952.0
1769.8,2872.4
1771.05,3180.6
1772.29,2738.4
1773.54,2848.8
1774.79,2893.4
1776.03,3085.0
1777.28,3083.2
1778.52,2999.8
1779.76,2652.2
1781.01,3044.6
1782.25,2715.6
1783.49,2657.4
1784.72,3005.2
1785.96,2904.2
1787.2,2888.4
1788.43,2681.4
1789.67,3135.0
1790.9,2900.2
1792.14,2936.6
1793.37,3162.6
1794.6,3072.8
1795.83,2977.2
1797.06,2788.8
1798.28,2781.6
1799.51,2861.4
1800.74,2926.8
1801.96,2821.4
1803.19,2871.6
1804.41,2757.6
1805.63,3260.2
1806.85,3094.0
1808.07,2952.0
1809.29,3012.2
1810.51,2910.2
1811.73,2842.6
1812.94,2399.2
1814.16,2892.0
1815.37,2652.0
1816.59,2743.0
1817.8,2889.0
1819.01,2953.4
1820.22,2737.8
1821.43,2923.6
1822.64,2937.4
1823.85,2763.6
1825.05,2640.0
1826.26,2864.8
1827.46,2855.0
1828.67,2662.0
1829.87,2729.4
1831.07,2749.2
1832.27,2741.6
1833.47,2711.8
