Wavenumber,Intensities
282.29,7908.7
284.39,7960.4
286.49,7981.8
288.59,8003.9
290.7,8006.3
292.79,8041.3
294.89,8066.0
296.99,8069.8
299.09,8068.1
301.18,8116.8
303.28,8108.3
305.37,8147.0
307.47,8138.0
309.56,8136.6
311.65,8132.7
313.74,8122.8
315.83,8163.4
317.92,8133.1
320.0,8136.0
322.09,8129.2
324.18,8132.2
326.26,8162.6
328.34,8207.6
330.43,8207.0
332.51,8277.1
334.59,8385.2
336.67,8494.8
338.75,8626.4
340.83,8752.6
342.9,8942.8
344.98,9184.9
347.05,9340.1
349.13,9532.4
351.2,9627.2
353.27,9689.9
355.35,9620.4
357.42,9523.0
359.49,9342.8
361.55,9159.5
363.62,8949.6
365.69,8727.1
367.75,8559.9
369.82,8374.1
371.88,8227.4
373.95,8198.3
376.01,8301.5
378.07,8487.5
380.13,8499.7
382.19,8341.8
384.25,8118.9
386.31,8016.0
388.36,7965.1
390.42,7960.2
392.47,7951.8
394.53,7981.3
396.58,8050.1
398.63,8105.9
400.68,8186.6
402.73,8258.6
404.78,8333.0
406.83,8412.4
408.87,8509.4
410.92,8752.4
412.97,9275.3
415.01,10419.1
417.05,11649.6
419.1,11705.4
421.14,10789.7
423.18,9833.6
425.22,9355.7
427.25,9239.3
429.29,9271.1
431.33,9277.6
433.36,9191.6
435.4,9101.4
437.43,9040.2
439.47,9025.2
441.5,9006.2
443.53,8972.2
445.56,9037.6
447.59,9083.4
449.62,9129.8
451.64,9045.3
453.67,8869.5
455.7,8772.6
457.72,8660.0
459.74,8554.9
461.77,8484.6
463.79,8414.2
465.81,8388.7
467.83,8327.0
469.85,8292.3
471.86,8277.3
473.88,8202.8
475.9,8152.7
477.91,8120.8
479.93,8024.3
481.94,7915.5
483.95,7852.8
485.96,7758.3
487.97,7660.1
489.98,7603.8
491.99,7543.9
494.0,7477.8
496.0,7459.6
498.01,7458.7
500.01,7433.9
502.02,7432.9
504.02,7461.1
506.02,7524.5
508.02,7524.1
510.02,7569.4
512.02,7604.4
514.02,7587.7
516.01,7587.1
518.01,7562.6
520.01,7505.9
522.0,7433.7
523.99,7384.5
525.99,7307.1
527.98,7291.3
529.97,7280.6
531.96,7280.3
533.94,7285.9
535.93,7324.6
537.92,7310.2
539.9,7265.0
541.89,7205.0
543.87,7154.3
545.85,7122.6
547.84,7074.4
549.82,7014.0
551.8,7003.0
553.78,6961.9
555.75,6980.1
557.73,6963.1
559.71,6969.6
561.68,6985.1
563.66,7001.0
565.63,7027.5
567.6,7049.1
569.57,7062.4
571.54,7125.6
573.51,7260.6
575.48,7464.5
577.45,7568.2
579.41,7466.6
581.38,7228.8
583.34,7074.4
585.31,6957.3
587.27,6880.1
589.23,6860.2
591.19,6822.6
593.15,6767.4
595.11,6779.9
597.07,6778.7
599.03,6742.0
600.98,6709.0
602.94,6654.1
604.89,6630.0
606.84,6556.0
608.8,6523.5
610.75,6493.3
612.7,6452.6
614.65,6442.2
616.6,6452.0
618.54,6492.3
620.49,6576.5
622.43,6598.5
624.38,6531.5
626.32,6496.6
628.27,6471.0
630.21,6414.1
632.15,6402.4
634.09,6384.0
636.03,6400.0
637.96,6463.2
639.9,6539.5
641.84,6687.3
643.77,6803.2
645.71,6823.1
647.64,6780.2
649.57,6682.5
651.5,6640.6
653.43,6574.6
655.36,6499.7
657.29,6462.7
659.22,6382.2
661.14,6361.9
663.07,6311.3
664.99,6289.2
666.92,6250.4
668.84,6252.6
670.76,6218.2
672.68,6173.5
674.6,6168.3
676.52,6153.3
678.44,6089.3
680.35,6069.4
682.27,6064.7
684.19,6063.4
686.1,6018.5
688.01,6003.9
689.92,6070.4
691.83,6049.6
693.74,6105.2
695.65,6139.9
697.56,6180.6
699.47,6218.1
701.38,6239.9
703.28,6292.3
705.19,6308.1
707.09,6323.6
708.99,6310.8
710.89,6299.0
712.79,6246.9
714.69,6230.7
716.59,6189.4
718.49,6143.5
720.39,6111.9
722.28,6070.2
724.18,6046.9
726.07,5980.7
727.96,5992.5
729.85,5975.0
731.74,6022.2
733.63,6038.1
735.52,6080.2
737.41,6177.8
739.3,6244.5
741.18,6403.3
743.07,6588.9
744.95,6797.1
746.84,7042.6
748.72,7282.4
750.6,7374.8
752.48,7307.1
754.36,7150.1
756.24,6918.9
758.12,6734.1
759.99,6564.9
761.87,6413.8
763.74,6295.6
765.62,6224.9
767.49,6136.9
769.36,6071.1
771.23,6023.9
773.1,5969.6
774.97,5928.8
776.84,5867.5
778.7,5795.0
780.57,5765.9
782.44,5759.9
784.3,5738.1
786.16,5711.2
788.02,5684.3
789.89,5658.5
791.75,5642.1
793.6,5627.9
795.46,5568.0
797.32,5580.2
799.18,5568.1
801.03,5536.4
802.89,5557.2
804.74,5539.2
806.59,5539.8
808.44,5535.9
810.29,5553.4
812.14,5536.1
813.99,5548.8
815.84,5591.2
817.69,5582.7
819.53,5631.4
821.38,5697.2
823.22,5777.4
825.06,5819.8
826.9,5878.6
828.75,5929.2
830.59,5990.7
832.42,6026.5
834.26,6046.5
836.1,6125.8
837.93,6162.3
839.77,6269.1
841.6,6348.4
843.44,6405.8
845.27,6526.5
847.1,6628.7
848.93,6753.5
850.76,6860.3
852.59,6933.4
854.42,6984.7
856.24,6973.9
858.07,6981.4
859.89,6949.0
861.72,6946.2
863.54,6907.4
865.36,6855.8
867.18,6914.8
869.0,6907.9
870.82,6955.1
872.64,7024.3
874.45,7055.1
876.27,7109.0
878.08,7110.9
879.9,7076.7
881.71,7051.2
883.52,6966.8
885.33,6873.9
887.14,6817.2
888.95,6755.2
890.76,6726.6
892.57,6703.0
894.37,6688.5
