Wavenumber,Intensities
282.29,28445.0
284.39,28526.2
286.49,28503.2
288.59,28713.0
290.7,28704.8
292.79,28854.8
294.89,28835.8
296.99,29123.8
299.09,29193.8
301.18,29061.0
303.28,29206.6
305.37,29256.0
307.47,29388.8
309.56,29356.2
311.65,29257.6
313.74,29161.2
315.83,29237.0
317.92,29301.6
320.0,29348.2
322.09,29284.8
324.18,29284.4
326.26,29645.6
328.34,29496.6
330.43,29878.4
332.51,29975.4
334.59,30200.6
336.67,30636.6
338.75,31216.0
340.83,31759.6
342.9,32600.6
344.98,33225.2
347.05,33972.4
349.13,34617.0
351.2,35042.4
353.27,35287.8
355.35,35083.6
357.42,34678.4
359.49,34098.6
361.55,33513.0
363.62,32515.0
365.69,31747.4
367.75,30859.2
369.82,30222.6
371.88,29682.6
373.95,29304.4
376.01,28907.4
378.07,28712.2
380.13,28631.8
382.19,28562.6
384.25,28558.2
386.31,28757.0
388.36,28986.0
390.42,28663.4
392.47,29013.8
394.53,28919.6
396.58,29183.8
398.63,29485.8
400.68,29545.8
402.73,29788.4
404.78,29976.0
406.83,30105.6
408.87,30106.6
410.92,30043.6
412.97,30244.6
415.01,30313.2
417.05,30721.6
419.1,31010.2
421.14,31504.4
423.18,31812.8
425.22,31963.8
427.25,32127.6
429.29,32077.8
431.33,32141.4
433.36,32292.2
435.4,32724.2
437.43,32651.0
439.47,32668.6
441.5,32811.4
443.53,32535.6
445.56,32725.6
447.59,32823.2
449.62,32466.4
451.64,32445.2
453.67,32244.2
455.7,32165.8
457.72,31847.0
459.74,31533.2
461.77,30998.4
463.79,31055.0
465.81,30841.2
467.83,30584.0
469.85,30410.0
471.86,30071.4
473.88,30218.0
475.9,30023.6
477.91,29695.0
479.93,29373.8
481.94,29064.4
483.95,28821.4
485.96,28424.4
487.97,28232.2
489.98,27719.0
491.99,27522.0
494.0,27553.4
496.0,27419.0
498.01,27126.8
500.01,27147.2
502.02,27367.6
504.02,27342.2
506.02,27298.2
508.02,27449.6
510.02,27685.6
512.02,27756.8
514.02,27598.4
516.01,27748.0
518.01,27592.2
520.01,27114.4
522.0,27022.6
523.99,26594.2
525.99,26400.8
527.98,26200.0
529.97,26260.2
531.96,26221.4
533.94,26230.6
535.93,26343.0
537.92,26175.2
539.9,26088.4
541.89,26063.4
543.87,25649.8
545.85,25520.8
547.84,25278.2
549.82,25000.4
551.8,25134.8
553.78,25139.6
555.75,25050.4
557.73,25033.0
559.71,24967.0
561.68,25140.2
563.66,25130.4
565.63,25297.2
567.6,24946.4
569.57,24910.0
571.54,25002.8
573.51,24948.8
575.48,24771.8
577.45,24793.0
579.41,24778.0
581.38,24719.0
583.34,24561.6
585.31,24678.4
587.27,24567.4
589.23,24639.0
591.19,24612.0
593.15,24535.8
595.11,24483.2
597.07,24307.8
599.03,24351.0
600.98,24258.6
602.94,24389.2
604.89,24001.8
606.84,23797.6
608.8,23568.2
610.75,23387.6
612.7,23433.2
614.65,23273.4
616.6,23283.6
618.54,23455.2
620.49,23860.6
622.43,23957.8
624.38,23753.6
626.32,23320.0
628.27,23192.4
630.21,23103.4
632.15,23000.8
634.09,23079.2
636.03,23199.2
637.96,23368.4
639.9,23819.6
641.84,24198.6
643.77,24544.0
645.71,24538.6
647.64,24446.0
649.57,24153.8
651.5,24030.6
653.43,23801.6
655.36,23705.8
657.29,23497.4
659.22,23264.6
661.14,23153.0
663.07,22862.0
664.99,22801.2
666.92,22760.4
668.84,22697.2
670.76,22454.2
672.68,22403.2
674.6,22281.0
676.52,22239.8
678.44,22117.0
680.35,22044.0
682.27,21905.2
684.19,21789.2
686.1,21991.8
688.01,21903.6
689.92,21931.8
691.83,21935.0
693.74,22113.0
695.65,22352.4
697.56,22337.8
699.47,22562.0
701.38,22814.0
703.28,22783.2
705.19,23054.0
707.09,23225.2
708.99,22903.0
710.89,23101.8
712.79,22680.6
714.69,22499.8
716.59,22370.8
718.49,22080.8
720.39,22124.0
722.28,21823.2
724.18,21649.2
726.07,21527.0
727.96,21324.4
729.85,21283.4
731.74,21136.8
733.63,21088.8
735.52,20981.0
737.41,21125.6
739.3,21168.0
741.18,21284.8
743.07,21196.0
744.95,21114.2
746.84,21334.2
748.72,21227.8
750.6,21133.8
752.48,21226.4
754.36,21415.6
756.24,21700.0
758.12,21791.4
759.99,21804.2
761.87,21828.6
763.74,21942.6
765.62,21725.8
767.49,21862.6
769.36,21572.6
771.23,21725.8
773.1,21330.4
774.97,21195.2
776.84,21249.8
778.7,21000.8
780.57,20952.8
782.44,20813.8
784.3,20960.6
786.16,20900.6
788.02,20710.8
789.89,20736.4
791.75,20486.2
793.6,20467.6
795.46,20390.4
797.32,20337.6
799.18,20328.4
801.03,20312.8
802.89,20280.8
804.74,20482.8
806.59,20351.6
808.44,20519.2
810.29,20404.0
812.14,20442.0
813.99,20460.2
815.84,20509.4
817.69,20766.8
819.53,20938.6
821.38,21269.0
823.22,21597.6
825.06,21653.2
826.9,21872.6
828.75,22115.4
830.59,22370.8
832.42,22365.2
834.26,22588.6
836.1,22851.2
837.93,23242.6
839.77,23400.4
841.6,23711.2
843.44,24149.8
845.27,24613.8
847.1,24984.6
848.93,25427.8
850.76,25846.2
852.59,26083.8
854.42,26355.4
856.24,26302.6
858.07,26116.0
859.89,26143.2
861.72,25939.6
863.54,25909.4
865.36,25949.8
867.18,25823.8
869.0,26091.6
870.82,26185.8
872.64,26413.0
874.45,26593.0
876.27,26678.6
878.08,26602.0
879.9,26577.0
881.71,26258.6
883.52,25933.0
885.33,25656.4
887.14,25321.0
888.95,25366.6
890.76,25037.6
892.57,25050.4
894.37,24979.4
896.18,24807.6
897.98,24923.8
899.79,24853.2
901.59,24538.0
903.39,24401.2
905.19,24134.8
906.99,23906.2
908.79,23868.2
910.58,23776.2
912.38,23678.4
914.18,24214.0
915.97,23635.0
917.76,23563.8
919.56,23442.2
921.35,23301.0
923.14,23106.6
924.93,23007.6
926.72,23005.6
928.51,22853.6
930.29,22629.6
932.08,22993.4
933.86,22772.4
935.65,22780.8
937.43,23033.6
939.21,23023.0
940.99,23372.2
942.77,23556.0
944.55,23490.2
946.33,23741.4
948.11,24017.8
949.88,23893.0
951.66,23496.8
953.43,23510.6
955.21,23266.8
956.98,23136.2
958.75,22891.6
960.52,22604.6
962.29,22706.4
964.06,22180.2
965.82,22043.6
967.59,21844.6
969.36,21694.8
971.12,21916.8
972.88,21816.6
974.65,21811.8
976.41,21842.6
978.17,21810.6
979.93,21943.8
981.69,22102.6
983.45,22028.8
985.2,22205.8
986.96,22186.2
988.71,22306.2
990.47,22323.4
992.22,22392.6
993.97,22547.0
995.72,22726.2
997.47,23227.0
999.22,24104.6
1000.97,25088.6
1002.72,26050.6
1004.46,26056.6
1006.21,24944.2
1007.95,24385.2
1009.7,23967.4
1011.44,23952.6
1013.18,23945.6
1014.92,23970.0
1016.66,23931.4
1018.4,23901.6
1020.13,24033.8
1021.87,23789.2
1023.61,23946.2
1025.34,23809.8
1027.07,23810.4
1028.81,23984.4
1030.54,24125.0
1032.27,24166.8
1034.0,24446.8
1035.73,24223.6
1037.46,24147.0
1039.18,24389.6
1040.91,24335.8
1042.63,24372.4
1044.36,24625.2
1046.08,24679.2
1047.8,24683.8
1049.52,24913.2
1051.24,25094.8
1052.96,25212.4
1054.68,25416.6
1056.4,25368.0
1058.11,25641.4
1059.83,25874.4
1061.54,25906.4
1063.26,26351.4
1064.97,26259.4
1066.68,26657.0
1068.39,26721.8
1070.1,27005.2
1071.81,27263.2
1073.51,27587.8
1075.22,27833.6
1076.93,28016.0
1078.63,28460.2
1080.33,28612.8
1082.04,28552.0
1083.74,28381.0
1085.44,28245.8
1087.14,27961.2
1088.84,27668.8
1090.53,27313.6
1092.23,27019.6
1093.93,26727.4
1095.62,26548.6
1097.32,26426.0
1099.01,26506.2
1100.7,26201.6
1102.39,26239.6
1104.08,26258.0
1105.77,26406.8
1107.46,26407.0
1109.15,26692.4
1110.83,27012.0
1112.52,27375.0
1114.2,27749.2
1115.88,27965.8
1117.57,28036.2
1119.25,27814.6
1120.93,27871.0
1122.61,27680.2
1124.28,27529.0
1125.96,26952.8
1127.64,26554.8
1129.31,25978.6
1130.99,25283.0
1132.66,24619.2
1134.33,24085.4
1136.01,23659.4
1137.68,23236.4
1139.35,23223.4
1141.01,23231.0
1142.68,22729.8
1144.35,22795.2
1146.01,22656.2
1147.68,22804.2
1149.34,22667.0
1151.01,22497.6
1152.67,22216.6
1154.33,22161.0
1155.99,22000.0
1157.65,21346.2
1159.3,21102.6
1160.96,20528.2
1162.62,20104.8
1164.27,19699.8
1165.93,19352.8
1167.58,19022.4
1169.23,18820.6
1170.88,18424.2
1172.53,18392.4
1174.18,18213.6
1175.83,17821.2
1177.48,17574.4
1179.12,17357.4
1180.77,17080.0
1182.41,16974.4
1184.06,17072.4
1185.7,16999.0
1187.34,16879.4
1188.98,16998.8
1190.62,17089.0
1192.26,17153.8
1193.9,17140.2
1195.53,17140.4
1197.17,17393.2
1198.8,17422.8
1200.44,17758.4
1202.07,17899.6
1203.7,18063.6
1205.33,18231.6
1206.96,18218.6
1208.59,18327.8
1210.22,18337.6
1211.85,18213.0
1213.47,18069.0
1215.1,18188.8
1216.72,18273.0
1218.34,18350.6
1219.96,18408.2
1221.59,18647.4
1223.21,18891.4
1224.83,19011.2
1226.44,18895.8
1228.06,19268.8
1229.68,19424.2
1231.29,19684.8
1232.91,19839.0
1234.52,20039.6
1236.13,20236.8
1237.74,20279.4
1239.35,20474.4
1240.96,20768.2
1242.57,20811.6
1244.18,21076.8
1245.78,21316.0
1247.39,21492.8
1248.99,21493.0
1250.6,21739.0
1252.2,21893.0
1253.8,22027.4
1255.4,22132.2
1257.0,22195.8
1258.6,22467.0
1260.2,22354.4
1261.8,22277.4
1263.39,22160.2
1264.99,22041.6
1266.58,21973.4
1268.17,21788.4
1269.77,21625.2
1271.36,21343.4
1272.95,21025.8
1274.54,20827.6
1276.12,20495.0
1277.71,20098.8
1279.3,19913.4
1280.88,19785.2
1282.47,19583.8
1284.05,19526.0
1285.63,19171.4
1287.21,19080.6
1288.79,18974.0
1290.37,18948.8
1291.95,18976.2
1293.53,18826.4
1295.1,18981.2
1296.68,18991.2
1298.25,19116.2
1299.83,19409.2
1301.4,19319.6
1302.97,19786.6
1304.54,19628.8
1306.11,19956.0
1307.68,20173.2
1309.25,20051.4
1310.81,20552.0
1312.38,20470.0
1313.94,20765.8
1315.51,20607.6
1317.07,20765.4
1318.63,20972.6
1320.19,21030.4
1321.75,20993.8
1323.31,21011.4
1324.87,20942.2
1326.43,20888.4
1327.98,20968.2
1329.54,20981.6
1331.09,21172.4
1332.64,21084.4
1334.2,21071.4
1335.75,21139.6
1337.3,21024.4
1338.85,21084.0
1340.4,20946.2
1341.94,20869.4
1343.49,20777.4
1345.03,20537.4
1346.58,20173.8
1348.12,20028.6
1349.66,19599.0
1351.21,19626.2
1352.75,19299.6
1354.29,19227.6
1355.82,18965.6
1357.36,18964.8
1358.9,18913.0
1360.43,18757.6
1361.97,18858.6
1363.5,18682.4
1365.03,18606.6
1366.57,18655.2
1368.1,18579.0
1369.63,18327.8
1371.16,18302.0
1372.68,18198.6
1374.21,18077.2
1375.74,17804.2
1377.26,17858.4
1378.78,17694.4
1380.31,17721.0
1381.83,17615.4
1383.35,17652.8
1384.87,17448.6
1386.39,17206.2
1387.91,17242.6
1389.42,17001.8
1390.94,16883.4
1392.46,16754.4
1393.97,16560.0
1395.48,16408.2
1397.0,16438.6
1398.51,16364.8
1400.02,16158.4
1401.53,16017.8
1403.04,16144.0
1404.54,15909.2
1406.05,15787.6
1407.55,15821.0
1409.06,15831.2
1410.56,15690.2
1412.06,15727.0
1413.57,15747.6
1415.07,15601.8
1416.57,15661.8
1418.07,15835.0
1419.56,15789.4
1421.06,15718.2
1422.56,15579.2
1424.05,15518.0
1425.54,15500.6
1427.04,15490.6
1428.53,15286.2
1430.02,15625.8
1431.51,15584.0
1433.0,15674.6
1434.49,15793.0
1435.97,16042.8
1437.46,16254.8
1438.94,16495.6
1440.43,16806.6
1441.91,17046.0
1443.39,17300.0
1444.88,17534.2
1446.36,17845.6
1447.83,18050.4
1449.31,18155.6
1450.79,18241.2
1452.27,18453.0
1453.74,18172.8
1455.22,18222.8
1456.69,17959.6
1458.16,17938.8
1459.63,17854.6
1461.1,17889.6
1462.57,17786.0
1464.04,17673.2
1465.51,17259.8
1466.98,16709.4
1468.44,16351.2
1469.91,15966.2
1471.37,15325.8
1472.83,14758.0
