Wavenumber,Intensities
282.29,8083.4
284.39,8103.4
286.49,8175.6
288.59,8164.8
290.7,8134.0
292.79,8212.8
294.89,8207.2
296.99,8233.4
299.09,8270.2
301.18,8267.4
303.28,8309.4
305.37,8279.4
307.47,8268.8
309.56,8303.2
311.65,8303.6
313.74,8288.8
315.83,8339.6
317.92,8288.6
320.0,8283.6
322.09,8292.6
324.18,8319.2
326.26,8313.6
328.34,8348.4
330.43,8398.2
332.51,8493.4
334.59,8562.8
336.67,8614.4
338.75,8754.8
340.83,8961.4
342.9,9129.6
344.98,9291.0
347.05,9502.4
349.13,9653.6
351.2,9762.0
353.27,9798.8
355.35,9768.0
357.42,9672.0
359.49,9483.2
361.55,9319.8
363.62,9069.2
365.69,8894.6
367.75,8676.6
369.82,8490.8
371.88,8416.0
373.95,8394.8
376.01,8467.6
378.07,8670.8
380.13,8622.4
382.19,8464.8
384.25,8277.8
386.31,8173.8
388.36,8116.0
390.42,8142.0
392.47,8099.2
394.53,8113.2
396.58,8212.6
398.63,8265.0
400.68,8329.8
402.73,8407.6
404.78,8476.2
406.83,8515.8
408.87,8629.6
410.92,8872.4
412.97,9435.6
415.01,10576.0
417.05,11742.8
419.1,11841.6
421.14,10885.0
423.18,9984.6
425.22,9496.2
427.25,9365.6
429.29,9416.4
431.33,9385.8
433.36,9341.6
435.4,9283.6
437.43,9188.4
439.47,9110.2
441.5,9103.4
443.53,9091.6
445.56,9140.0
447.59,9263.0
449.62,9237.8
451.64,9166.8
453.67,8979.6
455.7,8886.8
457.72,8807.8
459.74,8685.0
461.77,8673.0
463.79,8565.8
465.81,8502.4
467.83,8434.0
469.85,8448.8
471.86,8425.2
473.88,8327.2
475.9,8357.6
477.91,8236.2
479.93,8189.0
481.94,8103.6
483.95,8007.0
485.96,7931.8
487.97,7812.4
489.98,7776.0
491.99,7670.0
494.0,7657.4
496.0,7609.8
498.01,7586.2
500.01,7561.2
502.02,7603.2
504.02,7608.2
506.02,7620.6
508.02,7689.4
510.02,7713.8
512.02,7740.4
514.02,7743.2
516.01,7710.4
518.01,7694.6
520.01,7662.2
522.0,7580.0
523.99,7517.0
525.99,7449.4
527.98,7438.4
529.97,7414.8
531.96,7436.2
533.94,7429.0
535.93,7448.2
537.92,7400.0
539.9,7414.4
541.89,7371.6
543.87,7330.4
545.85,7245.2
547.84,7189.4
549.82,7174.0
551.8,7171.6
