Wavenumber,Intensities
282.29,806.33
284.39,812.67
286.49,824.33
288.59,678.0
290.7,755.33
292.79,708.0
294.89,763.33
296.99,561.0
299.09,506.33
301.18,644.0
303.28,562.33
305.37,531.0
307.47,423.33
309.56,506.67
311.65,571.0
313.74,628.0
315.83,586.33
317.92,543.67
320.0,523.0
322.09,571.67
324.18,649.0
326.26,470.33
328.34,606.67
330.43,502.33
332.51,586.0
334.59,635.67
336.67,593.67
338.75,584.0
340.83,597.67
342.9,538.33
344.98,580.0
347.05,564.67
349.13,520.33
351.2,474.0
353.27,477.33
355.35,510.67
357.42,473.0
359.49,448.0
361.55,373.67
363.62,502.33
365.69,435.67
367.75,482.0
369.82,445.33
371.88,488.67
373.95,467.33
376.01,565.33
378.07,555.33
380.13,609.33
382.19,712.67
384.25,765.33
386.31,698.33
388.36,645.0
390.42,894.0
392.47,690.0
394.53,814.0
396.58,780.67
398.63,791.0
400.68,1011.67
402.73,1065.0
404.78,1080.0
406.83,1070.67
408.87,1029.33
410.92,1017.67
412.97,865.0
415.01,900.67
417.05,787.67
419.1,866.67
421.14,709.67
423.18,708.0
425.22,703.0
427.25,647.67
429.29,647.0
431.33,637.67
433.36,546.0
435.4,504.67
437.43,581.33
439.47,640.0
441.5,536.67
443.53,664.0
445.56,542.33
447.59,404.67
449.62,568.33
451.64,469.0
453.67,458.67
455.7,364.33
457.72,347.33
459.74,300.0
461.77,499.0
463.79,317.67
465.81,233.0
467.83,284.33
469.85,289.33
471.86,416.0
473.88,269.33
475.9,229.33
477.91,270.0
479.93,313.67
481.94,329.67
483.95,297.67
485.96,329.0
487.97,264.33
489.98,362.0
491.99,336.33
494.0,177.0
496.0,178.0
498.01,321.0
500.01,342.67
502.02,198.67
504.02,269.67
506.02,301.67
508.02,336.0
510.02,199.67
512.02,208.33
514.02,306.67
516.01,105.33
518.01,182.0
520.01,324.33
522.0,119.67
523.99,278.67
525.99,288.67
527.98,321.67
529.97,303.67
531.96,400.33
533.94,491.33
535.93,472.33
537.92,515.67
539.9,528.0
541.89,464.67
543.87,527.67
545.85,517.33
547.84,477.67
549.82,534.0
551.8,431.33
553.78,399.67
555.75,453.33
557.73,423.67
559.71,391.67
561.68,346.67
563.66,401.67
565.63,251.0
567.6,464.67
569.57,471.0
571.54,339.33
573.51,337.67
575.48,359.67
577.45,278.67
579.41,258.0
581.38,285.33
583.34,357.0
585.31,249.33
587.27,303.33
589.23,236.0
591.19,222.33
593.15,226.0
595.11,236.0
597.07,268.0
599.03,204.67
600.98,226.0
602.94,53.0
604.89,231.67
606.84,238.33
608.8,309.67
610.75,463.0
612.7,559.0
614.65,965.33
616.6,1620.33
618.54,2504.0
620.49,3054.33
622.43,2983.0
624.38,2252.0
626.32,1522.33
628.27,925.33
630.21,614.0
632.15,522.67
634.09,351.67
636.03,229.33
637.96,189.33
639.9,68.67
641.84,137.67
643.77,76.33
645.71,119.33
647.64,49.0
649.57,130.33
651.5,28.0
653.43,66.33
655.36,9.67
657.29,-15.0
659.22,39.0
661.14,-41.0
663.07,96.33
664.99,-10.0
666.92,39.33
668.84,27.33
670.76,145.33
672.68,70.67
674.6,53.0
676.52,29.67
678.44,29.33
680.35,67.0
682.27,94.67
684.19,150.67
686.1,-52.0
688.01,29.67
689.92,-6.67
691.83,59.33
693.74,76.0
695.65,17.33
697.56,165.33
699.47,77.0
701.38,76.0
703.28,166.0
705.19,47.67
