Wavenumber,Intensities
282.29,-51.0
284.39,-53.33
286.49,-3.33
288.59,-108.0
290.7,-38.33
292.79,-83.0
294.89,-1.0
296.99,-156.0
299.09,-194.0
301.18,-66.67
303.28,-141.67
305.37,-164.0
307.47,-253.67
309.56,-212.67
311.65,-128.67
313.74,-87.67
315.83,-114.67
317.92,-159.67
320.0,-165.67
322.09,-119.67
324.18,-47.0
326.26,-252.33
328.34,-114.67
330.43,-189.67
332.51,-117.67
334.59,-83.33
336.67,-121.67
338.75,-118.0
340.83,-114.0
342.9,-156.33
344.98,-100.67
347.05,-116.67
349.13,-157.0
351.2,-200.33
353.27,-186.0
355.35,-155.0
357.42,-186.33
359.49,-205.67
361.55,-294.33
363.62,-153.0
365.69,-227.67
367.75,-174.33
369.82,-225.67
371.88,-217.67
373.95,-254.0
376.01,-179.0
378.07,-180.0
380.13,-173.33
382.19,-49.33
384.25,-21.67
386.31,-128.33
388.36,-196.67
390.42,42.0
392.47,-178.33
394.53,-54.67
396.58,-127.33
398.63,-148.0
400.68,56.67
402.73,88.0
404.78,69.0
406.83,36.33
408.87,11.67
410.92,40.33
412.97,-58.67
415.01,-18.33
417.05,-103.33
419.1,43.33
421.14,-134.0
423.18,-99.33
425.22,-85.67
427.25,-114.0
429.29,-111.0
431.33,-94.0
433.36,-194.67
435.4,-221.67
437.43,-136.67
439.47,-87.67
441.5,-173.33
443.53,-26.67
445.56,-135.0
447.59,-247.33
449.62,-82.67
451.64,-175.0
453.67,-180.67
455.7,-241.67
457.72,-244.67
459.74,-284.67
461.77,-89.33
463.79,-269.67
465.81,-343.33
467.83,-272.67
469.85,-263.33
471.86,-142.33
473.88,-291.33
475.9,-354.67
477.91,-278.0
479.93,-234.0
481.94,-230.0
483.95,-239.0
485.96,-201.33
487.97,-291.0
489.98,-170.0
491.99,-179.67
494.0,-353.67
496.0,-326.0
498.01,-200.33
500.01,-176.0
502.02,-321.67
504.02,-268.0
506.02,-202.33
508.02,-162.33
510.02,-299.67
512.02,-306.0
514.02,-206.0
516.01,-405.33
518.01,-327.33
520.01,-195.67
522.0,-383.33
523.99,-241.67
525.99,-229.33
527.98,-244.0
529.97,-256.0
531.96,-202.0
533.94,-139.0
535.93,-149.0
537.92,-126.33
539.9,-136.0
541.89,-197.33
543.87,-140.67
545.85,-121.33
547.84,-169.0
549.82,-84.0
551.8,-180.33
553.78,-212.67
555.75,-167.0
557.73,-158.67
559.71,-193.0
561.68,-237.67
563.66,-209.67
565.63,-335.33
567.6,-101.0
569.57,-70.67
571.54,-206.33
573.51,-234.33
575.48,-192.0
577.45,-239.33
579.41,-264.67
581.38,-227.33
583.34,-147.0
585.31,-259.0
587.27,-210.33
589.23,-254.0
591.19,-278.33
593.15,-266.33
595.11,-271.33
597.07,-228.0
599.03,-290.33
600.98,-285.33
602.94,-454.33
604.89,-289.67
606.84,-273.0
608.8,-239.67
610.75,-180.0
612.7,-193.33
614.65,-14.0
616.6,236.67
618.54,512.0
620.49,628.33
622.43,589.67
624.38,411.67
626.32,229.0
628.27,-20.0
630.21,-131.0
632.15,-104.0
634.09,-233.67
636.03,-287.67
637.96,-301.33
639.9,-372.33
641.84,-295.67
643.77,-341.67
645.71,-292.67
647.64,-333.33
649.57,-246.0
651.5,-354.33
653.43,-327.0
655.36,-378.33
657.29,-365.0
659.22,-319.67
661.14,-389.67
663.07,-265.67
664.99,-356.33
666.92,-314.0
668.84,-323.0
670.76,-195.0
672.68,-281.0
674.6,-282.33
676.52,-329.0
678.44,-332.33
680.35,-290.33
682.27,-255.67
684.19,-203.0
686.1,-387.67
688.01,-335.0
689.92,-338.33
691.83,-281.33
693.74,-297.0
695.65,-362.0
697.56,-235.33
