Wavenumber,Intensities
282.29,985.67
284.39,974.67
286.49,978.67
288.59,865.33
290.7,924.0
292.79,851.0
294.89,908.67
296.99,717.67
299.09,658.0
301.18,798.33
303.28,715.0
305.37,686.33
307.47,576.0
309.56,623.0
311.65,718.0
313.74,759.33
315.83,715.67
317.92,688.0
320.0,661.67
322.09,719.33
324.18,790.67
326.26,590.67
328.34,748.67
330.43,648.0
332.51,715.33
334.59,773.33
336.67,711.33
338.75,707.67
340.83,706.33
342.9,676.33
344.98,706.67
347.05,704.0
349.13,640.67
351.2,606.0
353.27,603.67
355.35,633.67
357.42,613.33
359.49,606.33
361.55,511.67
363.62,655.67
365.69,590.0
367.75,641.33
369.82,582.0
371.88,614.0
373.95,566.33
376.01,686.33
378.07,681.0
380.13,740.33
382.19,856.0
384.25,916.67
386.31,808.67
388.36,758.67
390.42,1011.67
392.47,790.0
394.53,950.67
396.58,891.67
398.63,904.67
400.68,1142.67
402.73,1160.0
404.78,1168.67
406.83,1161.0
408.87,1133.33
410.92,1133.67
412.97,999.67
415.01,1004.67
417.05,900.33
419.1,1032.33
421.14,836.33
423.18,827.0
425.22,833.33
427.25,786.0
429.29,786.0
431.33,768.0
433.36,678.67
435.4,637.67
437.43,716.33
439.47,762.67
441.5,674.67
443.53,803.67
445.56,679.0
447.59,555.0
449.62,747.33
451.64,598.33
453.67,586.33
455.7,490.67
457.72,497.0
459.74,449.33
461.77,613.67
463.79,447.0
465.81,365.67
467.83,433.67
469.85,409.67
471.86,538.67
473.88,403.33
475.9,337.0
477.91,406.67
479.93,441.67
481.94,448.0
483.95,432.0
485.96,473.0
487.97,392.33
489.98,495.0
491.99,506.0
494.0,325.0
496.0,318.0
498.01,466.0
500.01,467.0
502.02,315.0
504.02,392.67
506.02,433.0
508.02,479.33
510.02,333.67
512.02,325.67
514.02,427.0
516.01,246.0
518.01,309.0
520.01,459.67
522.0,252.33
523.99,392.33
525.99,421.67
527.98,441.67
529.97,432.67
531.96,516.67
533.94,585.0
535.93,601.67
537.92,641.67
539.9,643.33
541.89,610.0
543.87,636.67
545.85,630.33
547.84,589.0
549.82,662.33
551.8,563.0
553.78,532.67
555.75,536.67
557.73,544.0
559.71,511.67
561.68,454.33
563.66,502.67
565.63,351.33
567.6,580.0
569.57,603.0
571.54,454.33
573.51,443.33
575.48,472.33
577.45,402.67
579.41,389.67
581.38,413.0
583.34,477.33
585.31,361.33
587.27,426.67
589.23,379.0
591.19,322.67
593.15,326.33
595.11,349.67
597.07,390.0
599.03,317.33
600.98,324.0
602.94,176.0
604.89,327.67
606.84,364.67
608.8,412.0
610.75,555.33
612.7,633.0
614.65,1027.67
616.6,1644.67
618.54,2482.67
620.49,3069.67
622.43,2991.33
624.38,2342.67
626.32,1609.0
628.27,1027.67
630.21,710.0
632.15,635.0
634.09,462.33
636.03,336.33
637.96,292.67
639.9,193.0
641.84,261.67
643.77,196.33
645.71,227.0
647.64,175.33
649.57,254.67
651.5,140.67
653.43,166.0
655.36,108.67
657.29,125.0
659.22,155.0
661.14,83.0
663.07,221.67
664.99,116.67
666.92,140.33
668.84,133.67
670.76,273.33
672.68,171.0
674.6,184.67
676.52,132.0
678.44,129.67
680.35,188.67
682.27,202.33
684.19,253.0
686.1,64.67
688.01,129.67
689.92,103.67
691.83,175.67
693.74,166.67
695.65,129.0
697.56,264.67
699.47,201.0
701.38,185.0
703.28,281.0
705.19,156.33
707.09,2.0
708.99,197.33
710.89,11.0
712.79,144.33
714.69,159.33
716.59,158.0
718.49,212.33
720.39,113.0
722.28,158.67
724.18,110.0
726.07,134.0
727.96,250.67
729.85,217.33
731.74,336.0
733.63,450.33
735.52,573.33
737.41,537.33
739.3,625.67
741.18,586.0
743.07,721.0
744.95,861.33
746.84,744.0
748.72,920.0
750.6,1040.67
752.48,1039.67
754.36,1101.67
756.24,1060.67
758.12,1157.33
759.99,1140.67
761.87,1130.0
763.74,969.0
765.62,1057.0
767.49,903.67
