Wavenumber,Intensities
282.29,1868.0
284.39,1819.0
286.49,1804.0
288.59,1560.0
290.7,1644.0
292.79,1555.0
294.89,1545.0
296.99,1372.0
299.09,1291.0
301.18,1372.0
303.28,1265.0
305.37,1219.0
307.47,1136.0
309.56,1192.0
311.65,1284.0
313.74,1352.0
315.83,1276.0
317.92,1294.0
320.0,1295.0
322.09,1379.0
324.18,1450.0
326.26,1264.0
328.34,1417.0
330.43,1340.0
332.51,1431.0
334.59,1439.0
336.67,1337.0
338.75,1413.0
340.83,1375.0
342.9,1326.0
344.98,1371.0
347.05,1276.0
349.13,1242.0
351.2,1150.0
353.27,1177.0
355.35,1190.0
357.42,1135.0
359.49,1151.0
361.55,1037.0
363.62,1207.0
365.69,1168.0
367.75,1245.0
369.82,1196.0
371.88,1340.0
373.95,1299.0
376.01,1443.0
378.07,1477.0
380.13,1557.0
382.19,1777.0
384.25,1894.0
386.31,1815.0
388.36,1821.0
390.42,2165.0
392.47,1971.0
394.53,2168.0
396.58,2199.0
398.63,2232.0
400.68,2566.0
402.73,2703.0
404.78,2822.0
406.83,2757.0
408.87,2727.0
410.92,2669.0
412.97,2402.0
415.01,2293.0
417.05,2062.0
419.1,2065.0
421.14,1800.0
423.18,1774.0
425.22,1732.0
427.25,1636.0
429.29,1534.0
431.33,1541.0
433.36,1432.0
435.4,1291.0
437.43,1409.0
439.47,1397.0
441.5,1253.0
443.53,1386.0
445.56,1213.0
447.59,1085.0
449.62,1226.0
451.64,1029.0
453.67,981.0
455.7,881.0
457.72,820.0
459.74,725.0
461.77,900.0
463.79,719.0
465.81,615.0
467.83,679.0
469.85,647.0
471.86,751.0
473.88,630.0
475.9,574.0
477.91,585.0
479.93,645.0
481.94,638.0
483.95,608.0
485.96,661.0
487.97,600.0
489.98,714.0
491.99,660.0
494.0,501.0
496.0,543.0
498.01,664.0
500.01,672.0
502.02,573.0
504.02,630.0
506.02,683.0
508.02,713.0
510.02,580.0
512.02,604.0
514.02,744.0
516.01,524.0
518.01,653.0
520.01,764.0
522.0,619.0
523.99,782.0
525.99,851.0
527.98,896.0
529.97,919.0
531.96,1086.0
533.94,1268.0
535.93,1333.0
537.92,1401.0
539.9,1435.0
541.89,1378.0
543.87,1458.0
545.85,1416.0
547.84,1345.0
549.82,1351.0
551.8,1249.0
553.78,1215.0
555.75,1254.0
557.73,1230.0
559.71,1118.0
561.68,1089.0
563.66,1109.0
565.63,984.0
567.6,1189.0
569.57,1219.0
571.54,1002.0
573.51,980.0
575.48,991.0
577.45,900.0
579.41,880.0
581.38,851.0
583.34,915.0
585.31,771.0
587.27,803.0
589.23,786.0
591.19,721.0
593.15,740.0
595.11,756.0
597.07,797.0
599.03,740.0
600.98,748.0
602.94,623.0
604.89,786.0
606.84,920.0
608.8,1063.0
610.75,1418.0
612.7,1834.0
614.65,2912.0
616.6,4720.0
618.54,7275.0
620.49,9097.0
622.43,8786.0
624.38,6570.0
626.32,4355.0
628.27,2764.0
630.21,1914.0
632.15,1511.0
634.09,1165.0
636.03,877.0
637.96,732.0
639.9,532.0
641.84,528.0
643.77,425.0
645.71,456.0
647.64,364.0
649.57,456.0
651.5,334.0
653.43,312.0
655.36,247.0
657.29,224.0
659.22,293.0
661.14,197.0
663.07,300.0
664.99,243.0
666.92,262.0
668.84,254.0
670.76,387.0
672.68,303.0
674.6,292.0
676.52,251.0
678.44,232.0
680.35,319.0
682.27,296.0
684.19,361.0
686.1,175.0
688.01,247.0
689.92,258.0
691.83,338.0
693.74,378.0
695.65,334.0
697.56,535.0
699.47,554.0
701.38,543.0
703.28,634.0
705.19,505.0
707.09,316.0
708.99,425.0
710.89,224.0
712.79,353.0
714.69,349.0
716.59,387.0
718.49,413.0
720.39,316.0
722.28,411.0
724.18,357.0
726.07,429.0
727.96,619.0
729.85,679.0
731.74,941.0
733.63,1226.0
735.52,1542.0
737.41,1642.0
739.3,1882.0
741.18,1959.0
743.07,2228.0
744.95,2369.0
746.84,2387.0
748.72,2681.0
750.6,2920.0
752.48,3104.0
754.36,3288.0
756.24,3341.0
758.12,3497.0
759.99,3547.0
761.87,3399.0
763.74,3309.0
765.62,3304.0
767.49,3133.0
769.36,3121.0
771.23,2840.0
773.1,2817.0
774.97,2833.0
776.84,2756.0
778.7,2978.0
780.57,3140.0
782.44,3539.0
784.3,3858.0
786.16,4471.0
788.02,5205.0
789.89,5726.0
791.75,6382.0
793.6,6822.0
795.46,7041.0
797.32,7032.0
799.18,6349.0
801.03,5658.0
802.89,4824.0
804.74,4074.0
806.59,3601.0
808.44,3048.0
810.29,2764.0
812.14,2578.0
813.99,2166.0
815.84,1952.0
817.69,1566.0
819.53,1360.0
821.38,1141.0
823.22,968.0
825.06,1070.0
826.9,1099.0
828.75,1101.0
830.59,1181.0
832.42,1322.0
834.26,1465.0
836.1,1595.0
837.93,1701.0
839.77,1880.0
841.6,1993.0
843.44,1925.0
845.27,1766.0
847.1,1667.0
848.93,1542.0
850.76,1382.0
852.59,1422.0
854.42,1253.0
856.24,1268.0
858.07,1378.0
859.89,1299.0
861.72,1393.0
863.54,1276.0
865.36,1246.0
867.18,1359.0
869.0,1188.0
870.82,1200.0
872.64,1149.0
874.45,1166.0
876.27,1184.0
878.08,1147.0
879.9,1073.0
881.71,1162.0
883.52,1192.0
885.33,1170.0
887.14,1215.0
888.95,1135.0
890.76,1272.0
892.57,1219.0
894.37,1261.0
896.18,1385.0
897.98,1424.0
899.79,1544.0
901.59,1766.0
903.39,1785.0
905.19,1871.0
906.99,1921.0
908.79,1731.0
910.58,1572.0
912.38,1405.0
914.18,851.0
915.97,1090.0
917.76,1040.0
919.56,961.0
921.35,965.0
923.14,907.0
924.93,858.0
926.72,771.0
928.51,736.0
930.29,789.0
932.08,619.0
933.86,752.0
935.65,846.0
937.43,866.0
939.21,964.0
940.99,915.0
942.77,934.0
944.55,1059.0
946.33,983.0
948.11,843.0
949.88,919.0
951.66,1010.0
953.43,949.0
955.21,980.0
956.98,994.0
958.75,1124.0
960.52,1344.0
962.29,1166.0
964.06,1496.0
965.82,1477.0
967.59,1496.0
969.36,1572.0
971.12,1427.0
972.88,1631.0
974.65,1750.0
976.41,1974.0
978.17,2350.0
979.93,2569.0
981.69,2973.0
983.45,3675.0
985.2,4442.0
986.96,5532.0
988.71,6899.0
990.47,8399.0
992.22,10559.0
993.97,14467.0
995.72,21900.0
997.47,34555.0
999.22,49959.0
1000.97,59076.0
1002.72,56725.0
1004.46,43371.0
1006.21,28693.0
1007.95,17344.0
1009.7,10616.0
1011.44,6780.0
1013.18,4853.0
1014.92,3809.0
1016.66,3402.0
1018.4,3478.0
1020.13,3930.0
1021.87,4845.0
1023.61,6273.0
1025.34,8583.0
1027.07,11604.0
1028.81,14248.0
1030.54,16030.0
1032.27,16146.0
1034.0,14265.0
1035.73,12049.0
1037.46,9394.0
1039.18,7058.0
1040.91,5596.0
1042.63,4515.0
1044.36,3687.0
1046.08,3254.0
1047.8,3018.0
1049.52,2694.0
1051.24,2464.0
1052.96,2466.0
