Wavenumber,Intensities
282.29,1762.0
284.39,1739.0
286.49,1667.0
288.59,1583.0
290.7,1530.0
292.79,1517.0
294.89,1496.0
296.99,1336.0
299.09,1287.0
301.18,1355.0
303.28,1276.0
305.37,1219.0
307.47,1227.0
309.56,1234.0
311.65,1257.0
313.74,1314.0
315.83,1352.0
317.92,1260.0
320.0,1257.0
322.09,1352.0
324.18,1401.0
326.26,1294.0
328.34,1394.0
330.43,1329.0
332.51,1378.0
334.59,1401.0
336.67,1363.0
338.75,1375.0
340.83,1352.0
342.9,1272.0
344.98,1303.0
347.05,1344.0
349.13,1249.0
351.2,1207.0
353.27,1215.0
355.35,1202.0
357.42,1226.0
359.49,1173.0
361.55,1117.0
363.62,1204.0
365.69,1219.0
367.75,1279.0
369.82,1226.0
371.88,1280.0
373.95,1318.0
376.01,1420.0
378.07,1443.0
380.13,1515.0
382.19,1641.0
384.25,1667.0
386.31,1712.0
388.36,1684.0
390.42,1880.0
392.47,1796.0
394.53,1910.0
396.58,1933.0
398.63,1932.0
400.68,2164.0
402.73,2251.0
404.78,2328.0
406.83,2362.0
408.87,2267.0
410.92,2221.0
412.97,2037.0
415.01,2008.0
417.05,1846.0
419.1,1890.0
421.14,1690.0
423.18,1625.0
425.22,1580.0
427.25,1507.0
429.29,1515.0
431.33,1477.0
433.36,1417.0
435.4,1359.0
437.43,1428.0
439.47,1401.0
441.5,1306.0
443.53,1370.0
445.56,1300.0
447.59,1184.0
449.62,1245.0
451.64,1142.0
453.67,1103.0
455.7,1059.0
457.72,987.0
459.74,942.0
461.77,1021.0
463.79,917.0
465.81,832.0
467.83,915.0
469.85,900.0
471.86,934.0
473.88,877.0
475.9,839.0
477.91,862.0
479.93,854.0
481.94,840.0
483.95,832.0
485.96,881.0
487.97,831.0
489.98,915.0
491.99,854.0
494.0,748.0
496.0,764.0
498.01,877.0
500.01,812.0
502.02,752.0
504.02,786.0
506.02,820.0
508.02,860.0
510.02,755.0
512.02,756.0
514.02,855.0
516.01,710.0
518.01,779.0
520.01,878.0
522.0,741.0
523.99,862.0
525.99,904.0
527.98,896.0
529.97,953.0
531.96,1075.0
533.94,1155.0
535.93,1223.0
537.92,1245.0
539.9,1257.0
541.89,1280.0
543.87,1249.0
545.85,1280.0
547.84,1215.0
549.82,1245.0
551.8,1154.0
553.78,1127.0
555.75,1160.0
557.73,1112.0
559.71,1054.0
561.68,1029.0
563.66,1029.0
565.63,965.0
567.6,1075.0
569.57,1086.0
571.54,980.0
573.51,980.0
575.48,976.0
577.45,881.0
579.41,892.0
581.38,896.0
583.34,915.0
585.31,794.0
587.27,853.0
589.23,862.0
591.19,786.0
593.15,782.0
595.11,786.0
597.07,828.0
599.03,793.0
600.98,820.0
602.94,725.0
604.89,858.0
606.84,856.0
608.8,1006.0
610.75,1221.0
612.7,1515.0
614.65,2202.0
616.6,3330.0
618.54,5035.0
620.49,6280.0
622.43,5984.0
624.38,4607.0
626.32,3147.0
628.27,2100.0
630.21,1500.0
632.15,1276.0
634.09,1033.0
636.03,881.0
637.96,767.0
639.9,581.0
641.84,619.0
643.77,555.0
645.71,581.0
647.64,516.0
649.57,573.0
651.5,509.0
653.43,486.0
655.36,448.0
657.29,391.0
659.22,437.0
661.14,413.0
663.07,483.0
664.99,406.0
666.92,406.0
668.84,440.0
670.76,539.0
672.68,444.0
674.6,475.0
676.52,437.0
678.44,448.0
680.35,437.0
682.27,467.0
684.19,494.0
686.1,380.0
688.01,418.0
689.92,387.0
691.83,508.0
693.74,469.0
695.65,524.0
697.56,596.0
699.47,600.0
701.38,630.0
703.28,665.0
705.19,554.0
707.09,475.0
708.99,539.0
710.89,391.0
712.79,482.0
714.69,474.0
716.59,489.0
718.49,527.0
720.39,479.0
722.28,490.0
724.18,483.0
726.07,528.0
727.96,645.0
729.85,751.0
731.74,846.0
733.63,1070.0
735.52,1230.0
737.41,1334.0
739.3,1531.0
741.18,1572.0
743.07,1731.0
744.95,1868.0
746.84,1882.0
748.72,2024.0
750.6,2271.0
752.48,2329.0
754.36,2491.0
756.24,2476.0
758.12,2654.0
759.99,2594.0
761.87,2529.0
763.74,2424.0
765.62,2449.0
767.49,2385.0
769.36,2339.0
771.23,2115.0
773.1,2179.0
774.97,2138.0
776.84,2084.0
778.7,2192.0
780.57,2347.0
782.44,2616.0
784.3,2905.0
786.16,3290.0
788.02,3732.0
789.89,4070.0
791.75,4662.0
793.6,4940.0
795.46,5033.0
797.32,4982.0
799.18,4583.0
801.03,4109.0
802.89,3522.0
804.74,2931.0
806.59,2720.0
808.44,2289.0
810.29,2081.0
812.14,1913.0
813.99,1653.0
815.84,1549.0
817.69,1278.0
819.53,1139.0
821.38,985.0
823.22,884.0
825.06,873.0
826.9,930.0
828.75,938.0
830.59,991.0
832.42,1113.0
834.26,1154.0
836.1,1257.0
837.93,1291.0
839.77,1435.0
841.6,1519.0
843.44,1542.0
845.27,1375.0
847.1,1329.0
848.93,1192.0
850.76,1120.0
852.59,1118.0
854.42,1055.0
856.24,1074.0
858.07,1120.0
859.89,1067.0
861.72,1116.0
863.54,1045.0
865.36,1037.0
867.18,1048.0
869.0,937.0
870.82,980.0
872.64,963.0
874.45,957.0
876.27,987.0
878.08,923.0
879.9,906.0
881.71,938.0
883.52,942.0
885.33,919.0
887.14,1014.0
888.95,949.0
890.76,1040.0
892.57,979.0
894.37,1037.0
896.18,1074.0
897.98,1131.0
899.79,1187.0
901.59,1325.0
903.39,1325.0
905.19,1408.0
906.99,1439.0
908.79,1295.0
910.58,1207.0
912.38,1067.0
914.18,726.0
915.97,854.0
917.76,850.0
919.56,832.0
921.35,813.0
923.14,755.0
924.93,737.0
926.72,653.0
928.51,645.0
930.29,657.0
932.08,574.0
933.86,661.0
935.65,732.0
937.43,725.0
939.21,782.0
940.99,721.0
942.77,778.0
944.55,862.0
946.33,763.0
948.11,740.0
949.88,748.0
951.66,866.0
953.43,763.0
955.21,790.0
956.98,850.0
958.75,945.0
960.52,1010.0
962.29,911.0
964.06,1139.0
965.82,1158.0
967.59,1127.0
969.36,1162.0
971.12,1066.0
972.88,1206.0
974.65,1298.0
976.41,1443.0
978.17,1685.0
979.93,1901.0
981.69,2138.0
983.45,2578.0
985.2,3090.0
986.96,3888.0
988.71,4731.0
990.47,5813.0
992.22,7268.0
993.97,9952.0
995.72,14926.0
997.47,23730.0
999.22,34574.0
1000.97,41265.0
1002.72,39077.0
1004.46,29577.0
1006.21,19512.0
1007.95,12014.0
1009.7,7442.0
1011.44,4786.0
1013.18,3448.0
1014.92,2647.0
1016.66,2449.0
1018.4,2446.0
1020.13,2761.0
1021.87,3345.0
1023.61,4306.0
1025.34,5963.0
1027.07,7978.0
1028.81,9855.0
1030.54,10859.0
1032.27,11049.0
1034.0,9861.0
1035.73,8264.0
1037.46,6493.0
1039.18,4936.0
1040.91,3903.0
1042.63,3174.0
1044.36,2574.0
1046.08,2320.0
1047.8,2092.0
1049.52,1939.0
1051.24,1826.0
1052.96,1763.0
1054.68,1708.0
1056.4,1720.0
1058.11,1689.0
1059.83,1650.0
1061.54,1758.0
1063.26,1733.0
1064.97,1884.0
1066.68,1937.0
1068.39,2077.0
1070.1,2093.0
1071.81,2043.0
1073.51,2061.0
1075.22,2032.0
1076.93,1956.0
1078.63,1826.0
1080.33,1761.0
1082.04,1754.0
1083.74,1743.0
1085.44,1675.0
1087.14,1693.0
1088.84,1701.0
1090.53,1694.0
1092.23,1712.0
1093.93,1758.0
1095.62,1747.0
1097.32,1690.0
1099.01,1602.0
1100.7,1580.0
1102.39,1474.0
1104.08,1329.0
1105.77,1184.0
1107.46,1101.0
1109.15,991.0
1110.83,922.0
1112.52,850.0
1114.2,760.0
1115.88,748.0
1117.57,706.0
1119.25,680.0
1120.93,562.0
1122.61,500.0
1124.28,429.0
1125.96,486.0
1127.64,410.0
1129.31,417.0
1130.99,471.0
1132.66,490.0
1134.33,531.0
1136.01,600.0
1137.68,707.0
1139.35,691.0
1141.01,721.0
1142.68,1071.0
1144.35,1244.0
1146.01,1469.0
1147.68,1845.0
1149.34,2449.0
1151.01,3243.0
1152.67,4089.0
1154.33,4537.0
1155.99,4537.0
1157.65,4237.0
1159.3,3597.0
1160.96,3121.0
1162.62,2559.0
1164.27,2222.0
1165.93,2138.0
1167.58,2081.0
1169.23,2138.0
1170.88,2331.0
1172.53,2516.0
1174.18,2924.0
1175.83,3614.0
1177.48,4469.0
1179.12,5437.0
1180.77,6132.0
1182.41,6329.0
1184.06,5969.0
1185.7,5574.0
1187.34,5308.0
1188.98,5220.0
1190.62,5209.0
1192.26,5300.0
1193.9,5589.0
1195.53,5737.0
1197.17,5749.0
1198.8,5927.0
1200.44,5744.0
1202.07,5634.0
1203.7,5293.0
1205.33,4860.0
1206.96,4461.0
1208.59,3846.0
1210.22,3429.0
1211.85,3007.0
1213.47,2658.0
1215.1,2343.0
1216.72,2126.0
1218.34,1898.0
1219.96,1800.0
1221.59,1684.0
1223.21,1576.0
1224.83,1500.0
1226.44,1519.0
1228.06,1371.0
1229.68,1260.0
1231.29,1135.0
1232.91,1120.0
1234.52,1003.0
1236.13,991.0
1237.74,957.0
1239.35,1002.0
1240.96,874.0
1242.57,979.0
1244.18,862.0
1245.78,831.0
1247.39,832.0
1248.99,930.0
1250.6,827.0
1252.2,820.0
1253.8,797.0
1255.4,793.0
1257.0,759.0
1258.6,718.0
1260.2,710.0
1261.8,733.0
1263.39,701.0
1264.99,710.0
1266.58,738.0
1268.17,657.0
1269.77,676.0
1271.36,706.0
1272.95,676.0
1274.54,646.0
1276.12,726.0
1277.71,744.0
1279.3,781.0
1280.88,794.0
1282.47,761.0
1284.05,714.0
1285.63,782.0
1287.21,793.0
1288.79,805.0
1290.37,862.0
1291.95,866.0
1293.53,991.0
1295.1,955.0
1296.68,1051.0
1298.25,1074.0
1299.83,1086.0
1301.4,1162.0
1302.97,1108.0
1304.54,1242.0
1306.11,1214.0
1307.68,1253.0
1309.25,1337.0
1310.81,1226.0
1312.38,1340.0
1313.94,1338.0
1315.51,1534.0
1317.07,1519.0
1318.63,1583.0
1320.19,1656.0
1321.75,1747.0
1323.31,1775.0
1324.87,1818.0
1326.43,1868.0
1327.98,1834.0
1329.54,1887.0
1331.09,1731.0
1332.64,1743.0
1334.2,1628.0
1335.75,1507.0
1337.3,1441.0
1338.85,1287.0
1340.4,1251.0
1341.94,1109.0
1343.49,1063.0
1345.03,1017.0
1346.58,976.0
1348.12,900.0
1349.66,969.0
1351.21,804.0
1352.75,846.0
1354.29,874.0
1355.82,804.0
1357.36,802.0
1358.9,752.0
1360.43,789.0
1361.97,748.0
1363.5,784.0
1365.03,809.0
1366.57,744.0
1368.1,764.0
1369.63,831.0
1371.16,760.0
1372.68,751.0
1374.21,767.0
1375.74,676.0
1377.26,596.0
1378.78,549.0
1380.31,414.0
1381.83,388.0
1383.35,284.0
1384.87,277.0
1386.39,250.0
1387.91,186.0
1389.42,217.0
1390.94,205.0
1392.46,183.0
1393.97,190.0
1395.48,231.0
1397.0,125.0
1398.51,156.0
1400.02,205.0
1401.53,212.0
1403.04,72.0
1404.54,152.0
1406.05,186.0
1407.55,127.0
1409.06,99.0
1410.56,182.0
1412.06,121.0
1413.57,135.0
1415.07,163.0
1416.57,144.0
1418.07,42.0
1419.56,65.0
1421.06,87.0
1422.56,111.0
1424.05,129.0
1425.54,133.0
1427.04,144.0
1428.53,269.0
1430.02,160.0
1431.51,274.0
1433.0,414.0
1434.49,513.0
1435.97,619.0
1437.46,721.0
1438.94,896.0
1440.43,999.0
1441.91,1185.0
1443.39,1337.0
1444.88,1511.0
1446.36,1670.0
1447.83,1766.0
1449.31,1872.0
