Wavenumber,Intensities
282.29,3402.0
284.39,3353.0
286.49,3235.0
288.59,3136.0
290.7,3091.0
292.79,2925.0
294.89,2912.0
296.99,2882.0
299.09,2741.0
301.18,2711.0
303.28,2696.0
305.37,2643.0
307.47,2586.0
309.56,2650.0
311.65,2628.0
313.74,2669.0
315.83,2719.0
317.92,2650.0
320.0,2685.0
322.09,2799.0
324.18,2737.0
326.26,2787.0
328.34,2822.0
330.43,2783.0
332.51,2802.0
334.59,2794.0
336.67,2802.0
338.75,2749.0
340.83,2707.0
342.9,2681.0
344.98,2647.0
347.05,2647.0
349.13,2593.0
351.2,2585.0
353.27,2624.0
355.35,2527.0
357.42,2532.0
359.49,2567.0
361.55,2594.0
363.62,2586.0
365.69,2601.0
367.75,2665.0
369.82,2718.0
371.88,2738.0
373.95,2848.0
376.01,2916.0
378.07,2997.0
380.13,3076.0
382.19,3182.0
384.25,3197.0
386.31,3360.0
388.36,3510.0
390.42,3535.0
392.47,3626.0
394.53,3676.0
396.58,3706.0
398.63,3812.0
400.68,3975.0
402.73,4131.0
404.78,4234.0
406.83,4333.0
408.87,4204.0
410.92,4142.0
412.97,3947.0
415.01,3760.0
417.05,3539.0
419.1,3504.0
421.14,3376.0
423.18,3315.0
425.22,3216.0
427.25,3094.0
429.29,3015.0
431.33,2954.0
433.36,2939.0
435.4,2923.0
437.43,2912.0
439.47,2817.0
441.5,2783.0
443.53,2703.0
445.56,2698.0
447.59,2604.0
449.62,2574.0
451.64,2464.0
453.67,2462.0
455.7,2373.0
457.72,2289.0
459.74,2229.0
461.77,2210.0
463.79,2213.0
465.81,2145.0
467.83,2114.0
469.85,2088.0
471.86,2088.0
473.88,2118.0
475.9,2081.0
477.91,2062.0
479.93,1997.0
481.94,2058.0
483.95,2073.0
485.96,2043.0
487.97,2054.0
489.98,1993.0
491.99,2012.0
494.0,2031.0
496.0,2009.0
498.01,1989.0
500.01,2004.0
502.02,1891.0
504.02,1925.0
506.02,1917.0
508.02,1928.0
510.02,1894.0
512.02,1929.0
514.02,1971.0
516.01,1998.0
518.01,2005.0
520.01,1994.0
522.0,1933.0
523.99,2039.0
525.99,2020.0
527.98,2077.0
529.97,2267.0
531.96,2301.0
533.94,2366.0
535.93,2495.0
537.92,2559.0
539.9,2593.0
541.89,2711.0
543.87,2616.0
545.85,2616.0
547.84,2560.0
549.82,2452.0
551.8,2464.0
553.78,2426.0
555.75,2363.0
557.73,2384.0
559.71,2329.0
561.68,2301.0
563.66,2286.0
565.63,2309.0
567.6,2275.0
569.57,2206.0
571.54,2126.0
573.51,2146.0
575.48,2081.0
577.45,2047.0
579.41,2073.0
581.38,1994.0
583.34,1918.0
585.31,1910.0
587.27,1893.0
589.23,1929.0
591.19,1913.0
593.15,1917.0
595.11,1845.0
597.07,1895.0
599.03,1936.0
600.98,1951.0
602.94,2008.0
604.89,2001.0
606.84,2078.0
608.8,2244.0
610.75,2501.0
612.7,3156.0
614.65,4091.0
616.6,5862.0
618.54,8515.0
620.49,10514.0
622.43,10119.0
624.38,7823.0
626.32,5410.0
628.27,3896.0
630.21,2958.0
632.15,2548.0
634.09,2248.0
636.03,2046.0
637.96,1860.0
639.9,1667.0
641.84,1682.0
643.77,1572.0
645.71,1523.0
647.64,1522.0
649.57,1447.0
651.5,1424.0
653.43,1424.0
655.36,1336.0
657.29,1344.0
659.22,1360.0
661.14,1328.0
663.07,1310.0
664.99,1318.0
666.92,1298.0
668.84,1321.0
670.76,1264.0
672.68,1256.0
674.6,1291.0
676.52,1272.0
678.44,1291.0
680.35,1295.0
682.27,1268.0
684.19,1287.0
686.1,1257.0
688.01,1288.0
689.92,1317.0
691.83,1306.0
693.74,1361.0
695.65,1450.0
697.56,1530.0
699.47,1580.0
701.38,1686.0
703.28,1656.0
705.19,1594.0
707.09,1568.0
708.99,1439.0
710.89,1431.0
712.79,1314.0
714.69,1340.0
716.59,1355.0
718.49,1309.0
720.39,1375.0
722.28,1417.0
724.18,1462.0
726.07,1515.0
727.96,1595.0
729.85,1746.0
731.74,1951.0
733.63,2217.0
735.52,2529.0
737.41,2758.0
739.3,2951.0
741.18,3165.0
743.07,3273.0
744.95,3417.0
746.84,3621.0
748.72,3759.0
750.6,3953.0
752.48,4156.0
754.36,4457.0
756.24,4575.0
758.12,4720.0
759.99,4682.0
761.87,4674.0
763.74,4608.0
765.62,4503.0
767.49,4374.0
769.36,4264.0
771.23,4139.0
773.1,3937.0
774.97,3850.0
776.84,3937.0
778.7,3977.0
780.57,4276.0
782.44,4610.0
784.3,5217.0
786.16,5766.0
788.02,6432.0
789.89,7157.0
791.75,7795.0
793.6,8319.0
795.46,8389.0
797.32,8315.0
799.18,7769.0
801.03,6964.0
802.89,6119.0
804.74,5331.0
806.59,4756.0
808.44,4336.0
810.29,3911.0
812.14,3573.0
813.99,3252.0
815.84,2954.0
817.69,2622.0
819.53,2404.0
821.38,2211.0
823.22,2137.0
825.06,2046.0
826.9,2065.0
828.75,2047.0
830.59,2210.0
832.42,2316.0
834.26,2422.0
836.1,2643.0
837.93,2813.0
839.77,2931.0
841.6,2950.0
843.44,2913.0
845.27,2799.0
847.1,2715.0
848.93,2497.0
850.76,2396.0
852.59,2325.0
854.42,2282.0
856.24,2304.0
858.07,2228.0
859.89,2305.0
861.72,2278.0
863.54,2168.0
865.36,2278.0
867.18,2198.0
869.0,2141.0
870.82,2149.0
872.64,2147.0
874.45,2089.0
876.27,2096.0
878.08,2020.0
879.9,2045.0
881.71,2012.0
883.52,2045.0
885.33,2016.0
887.14,2062.0
888.95,2047.0
890.76,2114.0
892.57,2122.0
894.37,2222.0
896.18,2285.0
897.98,2460.0
899.79,2569.0
901.59,2696.0
903.39,2768.0
905.19,2874.0
906.99,2745.0
908.79,2631.0
910.58,2460.0
912.38,2297.0
914.18,2153.0
915.97,1978.0
917.76,1910.0
919.56,1812.0
921.35,1758.0
923.14,1666.0
924.93,1682.0
926.72,1656.0
928.51,1610.0
930.29,1575.0
932.08,1625.0
933.86,1591.0
935.65,1674.0
937.43,1716.0
939.21,1716.0
940.99,1765.0
942.77,1771.0
944.55,1781.0
946.33,1750.0
948.11,1765.0
949.88,1755.0
951.66,1826.0
953.43,1852.0
955.21,1804.0
956.98,1940.0
958.75,2027.0
960.52,2065.0
962.29,2229.0
964.06,2305.0
965.82,2339.0
967.59,2297.0
969.36,2336.0
971.12,2354.0
972.88,2410.0
974.65,2631.0
976.41,2866.0
978.17,3094.0
979.93,3530.0
981.69,3949.0
983.45,4594.0
985.2,5467.0
986.96,6728.0
988.71,8122.0
990.47,9629.0
992.22,11797.0
993.97,16114.0
995.72,24194.0
997.47,37319.0
999.22,54174.0
1000.97,62523.0
1002.72,60943.0
1004.46,47783.0
1006.21,31009.0
1007.95,19171.0
1009.7,11979.0
1011.44,8002.0
1013.18,5939.0
1014.92,4819.0
1016.66,4423.0
1018.4,4443.0
1020.13,4891.0
1021.87,5882.0
1023.61,7529.0
1025.34,9958.0
1027.07,13176.0
1028.81,16150.0
1030.54,17804.0
1032.27,17822.0
1034.0,16118.0
1035.73,13389.0
1037.46,10670.0
1039.18,8418.0
1040.91,6766.0
1042.63,5475.0
1044.36,4731.0
1046.08,4230.0
1047.8,3865.0
1049.52,3636.0
1051.24,3447.0
1052.96,3316.0
1054.68,3259.0
1056.4,3254.0
1058.11,3292.0
1059.83,3290.0
1061.54,3334.0
1063.26,3468.0
1064.97,3581.0
1066.68,3759.0
1068.39,3843.0
1070.1,3828.0
1071.81,3793.0
1073.51,3728.0
1075.22,3691.0
1076.93,3501.0
1078.63,3451.0
1080.33,3440.0
1082.04,3288.0
1083.74,3258.0
1085.44,3265.0
1087.14,3265.0
1088.84,3258.0
1090.53,3228.0
1092.23,3245.0
1093.93,3254.0
1095.62,3273.0
1097.32,3239.0
1099.01,3182.0
1100.7,3095.0
1102.39,2960.0
1104.08,2692.0
1105.77,2449.0
1107.46,2274.0
1109.15,2156.0
1110.83,2016.0
1112.52,1894.0
1114.2,1849.0
1115.88,1792.0
1117.57,1644.0
1119.25,1534.0
1120.93,1489.0
1122.61,1377.0
1124.28,1367.0
1125.96,1294.0
1127.64,1280.0
