Wavenumber,Intensities
282.29,14730.8
284.39,14465.13
286.49,14180.8
288.59,14260.2
290.7,13846.87
292.79,13738.6
294.89,13410.8
296.99,13620.4
299.09,13641.07
301.18,13138.33
303.28,13260.67
305.37,13178.27
307.47,13336.47
309.56,13122.0
311.65,12861.0
313.74,12619.33
315.83,12697.2
317.92,12802.47
320.0,12784.13
322.09,12699.13
324.18,12564.67
326.26,12939.4
328.34,12619.0
330.43,12868.2
332.51,12688.67
334.59,12572.73
336.67,12695.93
338.75,12572.6
340.83,12586.6
342.9,12699.6
344.98,12526.0
347.05,12598.93
349.13,12667.33
351.2,12791.2
353.27,12819.8
355.35,12687.73
357.42,12732.0
359.49,12734.73
361.55,13116.2
363.62,12700.0
365.69,12925.53
367.75,12763.07
369.82,12992.07
371.88,12912.0
373.95,13093.53
376.01,12878.67
378.07,12885.8
380.13,12885.2
382.19,12684.53
384.25,12629.2
386.31,12880.4
388.36,13159.13
390.42,12482.73
392.47,13114.87
394.53,12861.93
396.58,13031.67
398.63,13136.13
400.68,12713.8
402.73,12644.6
404.78,12751.27
406.83,13058.87
408.87,12957.2
410.92,12913.73
412.97,13206.4
415.01,13088.6
417.05,13154.33
419.1,12915.2
421.14,13252.6
423.18,13204.27
425.22,13210.0
427.25,13249.47
429.29,13151.73
431.33,13147.6
433.36,13278.8
435.4,13493.8
437.43,13252.07
439.47,13019.07
441.5,13272.8
443.53,12819.07
445.56,13123.93
447.59,13286.8
449.62,12805.6
451.64,13070.73
453.67,12998.53
455.7,13137.13
457.72,13048.93
459.74,13069.27
461.77,12576.73
463.79,13020.27
465.81,13054.2
467.83,12785.73
469.85,12651.2
471.86,12293.6
473.88,12712.4
475.9,12781.73
477.91,12561.47
479.93,12446.47
481.94,12457.13
483.95,12580.0
485.96,12456.6
487.97,12584.4
489.98,12212.13
491.99,12204.73
494.0,12494.93
496.0,12331.73
498.01,11899.6
500.01,11698.07
502.02,11824.0
504.02,11628.47
506.02,11346.53
508.02,11223.6
510.02,11338.73
512.02,11246.0
514.02,11078.67
516.01,11371.53
518.01,11276.8
520.01,10752.87
522.0,11114.87
523.99,10887.8
525.99,10759.53
527.98,10697.0
529.97,10859.53
531.96,10642.53
533.94,10503.33
535.93,10603.73
537.92,10483.87
539.9,10405.07
541.89,10667.73
543.87,10410.87
545.85,10486.2
547.84,10415.27
549.82,10148.27
551.8,10413.8
553.78,10436.33
555.75,10336.67
557.73,10188.07
559.71,10124.4
561.68,10286.2
563.66,10134.13
565.63,10357.67
567.6,9824.8
569.57,9683.73
571.54,9984.2
573.51,9983.67
575.48,9778.33
577.45,9891.13
