Wavenumber,Intensities
282.29,4347.0
284.39,4359.0
286.49,4181.0
288.59,4123.0
290.7,3926.0
292.79,3931.0
294.89,3844.0
296.99,3736.0
299.09,3690.0
301.18,3614.0
303.28,3641.0
305.37,3488.0
307.47,3478.0
309.56,3535.0
311.65,3531.0
313.74,3524.0
315.83,3513.0
317.92,3588.0
320.0,3569.0
322.09,3664.0
324.18,3580.0
326.26,3588.0
328.34,3611.0
330.43,3641.0
332.51,3611.0
334.59,3622.0
336.67,3569.0
338.75,3615.0
340.83,3566.0
342.9,3569.0
344.98,3471.0
347.05,3493.0
349.13,3471.0
351.2,3470.0
353.27,3429.0
355.35,3427.0
357.42,3405.0
359.49,3383.0
361.55,3494.0
363.62,3482.0
365.69,3489.0
367.75,3470.0
369.82,3516.0
371.88,3626.0
373.95,3702.0
376.01,3759.0
378.07,3880.0
380.13,3945.0
382.19,4048.0
384.25,4116.0
386.31,4201.0
388.36,4319.0
390.42,4386.0
392.47,4446.0
394.53,4515.0
396.58,4534.0
398.63,4735.0
400.68,4753.0
402.73,4989.0
404.78,5054.0
406.83,5039.0
408.87,5018.0
410.92,4989.0
412.97,4802.0
415.01,4582.0
417.05,4416.0
419.1,4362.0
421.14,4158.0
423.18,4124.0
425.22,4063.0
427.25,3968.0
429.29,3892.0
431.33,3819.0
433.36,3793.0
435.4,3827.0
437.43,3748.0
439.47,3679.0
441.5,3664.0
443.53,3580.0
445.56,3582.0
447.59,3483.0
449.62,3451.0
451.64,3337.0
453.67,3309.0
455.7,3197.0
457.72,3189.0
459.74,3148.0
461.77,3079.0
463.79,3138.0
465.81,3064.0
467.83,3007.0
469.85,2992.0
471.86,2862.0
473.88,2976.0
475.9,2874.0
477.91,2890.0
479.93,2893.0
481.94,2897.0
483.95,2928.0
485.96,2941.0
487.97,2901.0
489.98,2853.0
491.99,2912.0
494.0,2832.0
496.0,2848.0
498.01,2836.0
500.01,2749.0
502.02,2711.0
504.02,2798.0
506.02,2684.0
508.02,2692.0
510.02,2737.0
512.02,2666.0
514.02,2685.0
516.01,2670.0
518.01,2768.0
520.01,2696.0
522.0,2662.0
523.99,2768.0
525.99,2787.0
527.98,2802.0
529.97,2977.0
531.96,3023.0
533.94,3102.0
535.93,3201.0
537.92,3235.0
539.9,3288.0
541.89,3338.0
543.87,3296.0
545.85,3284.0
547.84,3232.0
549.82,3105.0
551.8,3140.0
553.78,3117.0
555.75,3066.0
557.73,3011.0
559.71,2979.0
561.68,2975.0
563.66,2939.0
565.63,2947.0
567.6,2924.0
569.57,2840.0
571.54,2833.0
573.51,2822.0
575.48,2711.0
577.45,2719.0
579.41,2695.0
581.38,2643.0
583.34,2631.0
585.31,2601.0
587.27,2588.0
589.23,2582.0
591.19,2544.0
593.15,2623.0
595.11,2533.0
597.07,2498.0
599.03,2543.0
600.98,2536.0
602.94,2643.0
604.89,2620.0
606.84,2701.0
608.8,2836.0
610.75,3123.0
612.7,3706.0
614.65,4662.0
616.6,6413.0
618.54,8950.0
620.49,10890.0
622.43,10650.0
624.38,8309.0
626.32,5919.0
628.27,4366.0
630.21,3603.0
632.15,3140.0
634.09,2863.0
636.03,2669.0
637.96,2460.0
639.9,2320.0
641.84,2244.0
643.77,2149.0
645.71,2128.0
647.64,2133.0
649.57,2054.0
651.5,2054.0
653.43,2020.0
655.36,1986.0
657.29,1985.0
659.22,1952.0
661.14,2038.0
663.07,1891.0
664.99,1868.0
666.92,1906.0
668.84,1898.0
670.76,1898.0
672.68,1841.0
674.6,1891.0
676.52,1910.0
678.44,1880.0
680.35,1876.0
682.27,1860.0
684.19,1861.0
686.1,1864.0
688.01,1863.0
689.92,1932.0
691.83,1875.0
693.74,1995.0
695.65,2008.0
697.56,2058.0
699.47,2145.0
701.38,2237.0
703.28,2237.0
705.19,2152.0
707.09,2085.0
708.99,2035.0
710.89,2039.0
712.79,1946.0
714.69,1894.0
716.59,1929.0
718.49,1936.0
720.39,1946.0
722.28,1963.0
724.18,1982.0
726.07,2046.0
727.96,2134.0
729.85,2278.0
731.74,2433.0
733.63,2722.0
735.52,3015.0
737.41,3301.0
739.3,3459.0
741.18,3641.0
743.07,3819.0
744.95,3907.0
746.84,4065.0
748.72,4226.0
750.6,4412.0
752.48,4604.0
754.36,4913.0
756.24,5038.0
758.12,5084.0
759.99,5088.0
761.87,5077.0
763.74,4946.0
765.62,4891.0
767.49,4815.0
769.36,4545.0
771.23,4519.0
773.1,4309.0
774.97,4317.0
776.84,4355.0
778.7,4448.0
780.57,4689.0
782.44,5043.0
784.3,5487.0
786.16,6062.0
788.02,6694.0
789.89,7381.0
791.75,7871.0
793.6,8407.0
795.46,8655.0
797.32,8384.0
799.18,7852.0
801.03,7156.0
802.89,6313.0
804.74,5608.0
806.59,5059.0
808.44,4670.0
810.29,4291.0
812.14,3960.0
813.99,3613.0
815.84,3376.0
817.69,3092.0
819.53,2916.0
821.38,2633.0
823.22,2597.0
825.06,2555.0
826.9,2521.0
828.75,2578.0
830.59,2650.0
832.42,2783.0
834.26,2862.0
836.1,3083.0
837.93,3269.0
839.77,3379.0
841.6,3330.0
843.44,3372.0
845.27,3281.0
847.1,3068.0
848.93,2950.0
850.76,2863.0
852.59,2789.0
854.42,2760.0
856.24,2714.0
858.07,2669.0
859.89,2719.0
861.72,2688.0
863.54,2628.0
865.36,2628.0
867.18,2561.0
869.0,2543.0
870.82,2548.0
872.64,2580.0
874.45,2560.0
876.27,2502.0
878.08,2479.0
879.9,2459.0
881.71,2475.0
883.52,2411.0
885.33,2406.0
887.14,2385.0
888.95,2430.0
890.76,2513.0
892.57,2551.0
894.37,2571.0
896.18,2665.0
897.98,2779.0
899.79,3013.0
901.59,3110.0
903.39,3095.0
905.19,3162.0
906.99,3098.0
908.79,3003.0
910.58,2840.0
912.38,2616.0
914.18,2575.0
915.97,2339.0
917.76,2316.0
919.56,2180.0
921.35,2176.0
923.14,2065.0
924.93,2016.0
926.72,2077.0
928.51,2043.0
930.29,1978.0
932.08,2013.0
933.86,2050.0
935.65,2023.0
937.43,2070.0
939.21,2050.0
940.99,2126.0
942.77,2187.0
944.55,2126.0
946.33,2176.0
948.11,2198.0
949.88,2157.0
951.66,2172.0
953.43,2236.0
955.21,2256.0
956.98,2282.0
958.75,2395.0
960.52,2468.0
962.29,2542.0
964.06,2616.0
965.82,2658.0
967.59,2593.0
969.36,2613.0
971.12,2684.0
972.88,2763.0
974.65,2958.0
976.41,3144.0
978.17,3447.0
979.93,3750.0
981.69,4211.0
983.45,4788.0
985.2,5627.0
986.96,6812.0
988.71,8167.0
990.47,9527.0
992.22,11664.0
993.97,15636.0
995.72,23214.0
997.47,35990.0
999.22,51698.0
1000.97,60317.0
1002.72,58506.0
1004.46,45323.0
1006.21,29885.0
1007.95,18833.0
1009.7,11782.0
1011.44,8025.0
1013.18,5977.0
1014.92,5005.0
1016.66,4602.0
1018.4,4644.0
1020.13,5073.0
1021.87,6037.0
1023.61,7594.0
1025.34,9920.0
1027.07,12849.0
1028.81,15706.0
1030.54,17154.0
1032.27,17276.0
1034.0,15677.0
1035.73,13211.0
1037.46,10624.0
1039.18,8463.0
1040.91,6750.0
1042.63,5574.0
1044.36,4898.0
1046.08,4427.0
1047.8,4100.0
1049.52,3879.0
1051.24,3709.0
1052.96,3616.0
1054.68,3512.0
1056.4,3512.0
1058.11,3517.0
1059.83,3499.0
1061.54,3637.0
1063.26,3787.0
1064.97,3813.0
1066.68,3907.0
1068.39,4048.0
1070.1,4124.0
1071.81,4119.0
1073.51,3960.0
1075.22,3873.0
1076.93,3754.0
1078.63,3721.0
1080.33,3686.0
1082.04,3550.0
1083.74,3522.0
1085.44,3501.0
1087.14,3524.0
1088.84,3482.0
1090.53,3490.0
1092.23,3455.0
1093.93,3500.0
1095.62,3471.0
1097.32,3489.0
1099.01,3433.0
1100.7,3304.0
1102.39,3129.0
1104.08,2973.0
1105.77,2764.0
1107.46,2589.0
1109.15,2392.0
1110.83,2312.0
1112.52,2187.0
1114.2,2127.0
1115.88,2031.0
1117.57,1989.0
1119.25,1792.0
1120.93,1789.0
1122.61,1677.0
1124.28,1679.0
1125.96,1591.0
1127.64,1553.0
1129.31,1593.0
1130.99,1583.0
1132.66,1614.0
1134.33,1644.0
1136.01,1762.0
1137.68,1827.0
1139.35,2050.0
1141.01,2213.0
1142.68,2411.0
1144.35,2782.0
1146.01,3166.0
1147.68,3782.0
1149.34,4655.0
1151.01,5817.0
1152.67,7104.0
1154.33,7856.0
1155.99,7985.0
1157.65,7370.0
1159.3,6407.0
1160.96,5540.0
1162.62,4807.0
1164.27,4359.0
1165.93,4215.0
1167.58,4055.0
1169.23,4169.0
1170.88,4336.0
1172.53,4718.0
1174.18,5300.0
1175.83,6287.0
1177.48,7616.0
1179.12,8991.0
1180.77,10062.0
1182.41,10301.0
1184.06,9903.0
1185.7,9420.0
1187.34,8801.0
1188.98,8732.0
1190.62,8759.0
1192.26,8934.0
1193.9,9204.0
1195.53,9462.0
1197.17,9401.0
1198.8,9587.0
1200.44,9473.0
1202.07,9275.0
1203.7,8798.0
1205.33,8220.0
1206.96,7438.0
1208.59,6645.0
1210.22,5916.0
1211.85,5327.0
1213.47,4792.0
1215.1,4382.0
1216.72,3991.0
1218.34,3812.0
1219.96,3565.0
1221.59,3354.0
1223.21,3254.0
1224.83,3155.0
1226.44,2996.0
1228.06,2939.0
1229.68,2772.0
1231.29,2604.0
1232.91,2529.0
1234.52,2419.0
1236.13,2347.0
1237.74,2301.0
1239.35,2285.0
1240.96,2248.0
1242.57,2263.0
1244.18,2187.0
1245.78,2156.0
1247.39,2206.0
1248.99,2099.0
1250.6,2122.0
1252.2,2156.0
1253.8,2107.0
1255.4,2080.0
1257.0,2009.0
1258.6,2046.0
1260.2,2005.0
1261.8,1944.0
1263.39,1969.0
1264.99,1986.0
1266.58,1908.0
1268.17,1906.0
1269.77,1956.0
1271.36,1967.0
1272.95,1970.0
1274.54,1948.0
1276.12,1990.0
1277.71,1951.0
1279.3,2007.0
1280.88,2009.0
1282.47,1980.0
1284.05,1982.0
1285.63,2020.0
1287.21,2092.0
1288.79,2100.0
1290.37,2164.0
1291.95,2236.0
1293.53,2354.0
1295.1,2356.0
1296.68,2399.0
1298.25,2498.0
1299.83,2563.0
1301.4,2571.0
1302.97,2631.0
1304.54,2662.0
1306.11,2672.0
1307.68,2749.0
1309.25,2776.0
1310.81,2836.0
1312.38,2866.0
1313.94,3073.0
1315.51,3083.0
1317.07,3220.0
1318.63,3315.0
1320.19,3516.0
1321.75,3561.0
1323.31,3662.0
1324.87,3660.0
1326.43,3713.0
1327.98,3710.0
1329.54,3651.0
1331.09,3660.0
1332.64,3543.0
1334.2,3383.0
1335.75,3227.0
1337.3,3093.0
1338.85,2862.0
1340.4,2675.0
1341.94,2563.0
1343.49,2494.0
1345.03,2346.0
1346.58,2255.0
1348.12,2244.0
1349.66,2138.0
1351.21,2113.0
1352.75,2107.0
1354.29,2100.0
1355.82,1985.0
1357.36,2036.0
1358.9,2058.0
1360.43,2046.0
1361.97,1997.0
1363.5,2002.0
1365.03,2012.0
1366.57,2012.0
1368.1,2035.0
1369.63,1959.0
1371.16,1952.0
1372.68,1902.0
1374.21,1883.0
1375.74,1724.0
1377.26,1724.0
1378.78,1652.0
1380.31,1477.0
1381.83,1436.0
1383.35,1401.0
1384.87,1272.0
1386.39,1184.0
1387.91,1158.0
1389.42,1154.0
1390.94,1132.0
1392.46,1060.0
1393.97,1029.0
1395.48,1044.0
1397.0,1060.0
1398.51,1067.0
1400.02,1048.0
1401.53,1014.0
1403.04,1029.0
1404.54,991.0
1406.05,1017.0
1407.55,1030.0
1409.06,988.0
1410.56,1025.0
1412.06,983.0
1413.57,978.0
1415.07,949.0
1416.57,941.0
1418.07,957.0
1419.56,957.0
1421.06,976.0
1422.56,980.0
1424.05,938.0
1425.54,968.0
1427.04,991.0
1428.53,1091.0
1430.02,1158.0
1431.51,1268.0
1433.0,1375.0
1434.49,1553.0
1435.97,1758.0
1437.46,1959.0
1438.94,2160.0
1440.43,2381.0
1441.91,2510.0
1443.39,2840.0
1444.88,3066.0
1446.36,3303.0
1447.83,3604.0
1449.31,3564.0
1450.79,3611.0
1452.27,3467.0
1453.74,3212.0
1455.22,2942.0
1456.69,2456.0
1458.16,2084.0
1459.63,1671.0
1461.1,1500.0
1462.57,1306.0
1464.04,1189.0
1465.51,1103.0
1466.98,1036.0
1468.44,1024.0
1469.91,1021.0
1471.37,946.0
1472.83,912.0
1474.3,919.0
1475.76,889.0
1477.22,842.0
1478.67,881.0
1480.13,912.0
1481.59,765.0
1483.05,824.0
1484.5,850.0
1485.95,816.0
1487.41,904.0
1488.86,893.0
1490.31,934.0
1491.76,984.0
1493.21,1052.0
1494.66,1048.0
1496.11,980.0
1497.55,896.0
1499.0,888.0
1500.44,858.0
1501.88,843.0
1503.33,779.0
1504.77,793.0
1506.21,797.0
1507.65,767.0
1509.09,721.0
1510.52,770.0
1511.96,778.0
1513.4,763.0
1514.83,756.0
1516.26,740.0
1517.7,813.0
1519.13,804.0
1520.56,752.0
1521.99,732.0
1523.42,773.0
1524.85,786.0
1526.27,765.0
1527.7,741.0
1529.12,745.0
1530.55,798.0
1531.97,759.0
1533.39,792.0
1534.81,775.0
1536.23,732.0
1537.65,782.0
1539.07,736.0
1540.49,793.0
1541.9,798.0
1543.32,794.0
1544.73,780.0
1546.15,805.0
1547.56,820.0
1548.97,854.0
1550.38,791.0
1551.79,866.0
1553.2,877.0
1554.61,896.0
1556.01,892.0
1557.42,915.0
1558.82,904.0
1560.22,912.0
1561.63,941.0
1563.03,949.0
1564.43,1018.0
1565.83,1028.0
1567.23,1067.0
1568.63,1112.0
1570.02,1231.0
1571.42,1291.0
1572.81,1450.0
1574.21,1610.0
1575.6,1850.0
1576.99,2194.0
1578.38,2673.0
1579.77,3311.0
1581.16,3945.0
1582.55,4668.0
1583.94,4708.0
1585.32,4450.0
1586.71,3816.0
1588.09,3336.0
1589.47,2992.0
1590.86,2878.0
1592.24,3072.0
1593.62,3329.0
1595.0,3998.0
1596.38,4780.0
1597.75,5904.0
1599.13,7104.0
1600.51,8236.0
1601.88,9033.0
1603.25,9131.0
1604.63,8501.0
1606.0,7303.0
1607.37,6147.0
1608.74,4905.0
1610.11,3903.0
1611.47,3071.0
1612.84,2521.0
1614.21,2179.0
1615.57,1929.0
1616.93,1720.0
1618.3,1557.0
1619.66,1477.0
1621.02,1405.0
1622.38,1340.0
1623.74,1246.0
1625.1,1192.0
1626.45,1167.0
1627.81,1160.0
1629.16,1069.0
1630.52,1107.0
1631.87,1017.0
1633.22,1010.0
1634.57,984.0
1635.92,926.0
1637.27,964.0
1638.62,988.0
1639.97,900.0
1641.32,915.0
1642.66,915.0
1644.01,877.0
1645.35,861.0
1646.69,869.0
1648.03,878.0
1649.37,839.0
1650.71,858.0
1652.05,854.0
1653.39,858.0
1654.73,863.0
1656.06,866.0
1657.4,767.0
1658.73,831.0
1660.06,851.0
1661.39,793.0
1662.72,834.0
1664.05,782.0
1665.38,763.0
1666.71,763.0
1668.04,760.0
1669.36,741.0
1670.69,798.0
1672.01,736.0
1673.34,763.0
1674.66,763.0
1675.98,763.0
1677.3,729.0
1678.62,703.0
1679.94,744.0
1681.25,710.0
1682.57,695.0
1683.88,714.0
1685.2,634.0
1686.51,645.0
1687.82,680.0
1689.14,638.0
1690.45,676.0
1691.76,622.0
1693.06,612.0
1694.37,628.0
1695.68,577.0
1696.98,587.0
1698.29,596.0
1699.59,578.0
1700.89,569.0
1702.2,539.0
1703.5,467.0
1704.8,478.0
1706.1,509.0
1707.39,520.0
1708.69,517.0
1709.99,528.0
1711.28,494.0
1712.57,478.0
1713.87,471.0
1715.16,493.0
1716.45,425.0
1717.74,483.0
1719.03,459.0
1720.32,494.0
1721.6,498.0
1722.89,425.0
1724.18,383.0
1725.46,433.0
1726.74,459.0
1728.03,460.0
1729.31,440.0
1730.59,471.0
1731.87,406.0
1733.15,410.0
1734.42,429.0
1735.7,438.0
1736.97,406.0
1738.25,431.0
1739.52,414.0
1740.79,436.0
1742.07,387.0
1743.34,402.0
1744.61,448.0
1745.88,437.0
1747.14,452.0
1748.41,376.0
1749.68,391.0
1750.94,356.0
1752.2,406.0
1753.47,406.0
1754.73,359.0
1755.99,353.0
1757.25,372.0
1758.51,378.0
1759.77,357.0
1761.02,349.0
1762.28,353.0
1763.54,361.0
1764.79,387.0
1766.04,403.0
1767.29,379.0
1768.55,387.0
1769.8,364.0
1771.05,380.0
1772.29,353.0
1773.54,361.0
1774.79,319.0
1776.03,355.0
1777.28,296.0
1778.52,326.0
1779.76,334.0
1781.01,346.0
1782.25,330.0
1783.49,342.0
1784.72,307.0
1785.96,338.0
1787.2,340.0
1788.43,330.0
1789.67,378.0
1790.9,311.0
1792.14,321.0
1793.37,326.0
1794.6,327.0
1795.83,319.0
1797.06,363.0
1798.28,357.0
1799.51,326.0
1800.74,300.0
1801.96,292.0
1803.19,380.0
1804.41,327.0
1805.63,330.0
1806.85,337.0
1808.07,357.0
1809.29,345.0
1810.51,323.0
1811.73,311.0
1812.94,323.0
1814.16,319.0
1815.37,353.0
1816.59,322.0
1817.8,297.0
1819.01,308.0
1820.22,277.0
1821.43,311.0
1822.64,323.0
1823.85,281.0
1825.05,317.0
1826.26,323.0
1827.46,366.0
1828.67,300.0
1829.87,277.0
1831.07,315.0
1832.27,266.0
1833.47,285.0
1834.67,292.0
1835.87,281.0
1837.07,296.0
1838.26,285.0
1839.46,309.0
1840.65,296.0
1841.85,304.0
1843.04,281.0
1844.23,266.0
1845.42,254.0
1846.61,307.0
1847.8,293.0
1848.98,268.0
1850.17,304.0
1851.35,267.0
1852.54,251.0
1853.72,243.0
1854.9,308.0
1856.09,269.0
1857.27,267.0
1858.45,292.0
1859.62,285.0
1860.8,277.0
1861.98,342.0
1863.15,255.0
1864.33,266.0
1865.5,271.0
1866.68,243.0
1867.85,255.0
1869.02,247.0
1870.19,270.0
1871.36,258.0
1872.52,250.0
1873.69,228.0
1874.86,228.0
1876.02,247.0
1877.19,241.0
1878.35,250.0
1879.51,281.0
1880.67,281.0
1881.83,250.0
1882.99,243.0
1884.15,251.0
1885.31,269.0
1886.46,272.0
1887.62,239.0
1888.77,213.0
1889.92,266.0
1891.08,228.0
1892.23,269.0
1893.38,224.0
