Wavenumber,Intensities
282.29,7618.33
284.39,7457.67
286.49,7248.67
288.59,7295.67
290.69,7026.67
292.79,7017.33
294.89,6791.67
296.99,6941.33
299.08,6944.0
301.18,6665.67
303.28,6762.0
305.37,6653.0
307.46,6865.33
309.55,6725.0
311.65,6504.67
313.74,6427.67
315.83,6592.33
317.91,6621.33
320.0,6683.0
322.09,6620.0
324.17,6506.0
326.26,6847.67
328.34,6573.33
330.42,6756.67
332.51,6626.33
334.59,6530.33
336.67,6573.33
338.75,6528.33
340.82,6506.0
342.9,6601.0
344.98,6503.67
347.05,6455.33
349.13,6505.0
351.2,6549.0
353.27,6554.33
355.34,6494.33
357.41,6444.0
359.48,6500.0
361.55,6782.0
363.62,6522.67
365.69,6716.33
367.75,6587.0
369.82,6767.0
371.88,6769.33
373.94,6935.33
376.01,6835.33
378.07,6897.33
380.13,7012.33
382.19,6918.67
384.24,6909.67
386.3,7132.33
388.36,7422.0
390.41,6969.0
392.47,7464.0
394.52,7310.0
396.58,7470.67
398.63,7622.33
400.68,7347.33
402.73,7441.33
404.78,7580.33
406.82,7722.33
408.87,7692.0
410.92,7513.67
412.96,7537.67
415.01,7361.67
417.05,7270.67
419.09,7073.33
421.13,7159.0
423.17,7065.67
425.21,7005.0
427.25,7022.33
429.29,6851.67
431.33,6839.0
433.36,6927.0
435.4,7008.67
437.43,6875.67
439.46,6689.67
441.5,6798.33
443.53,6527.67
445.56,6658.0
447.59,6761.67
449.61,6442.67
451.64,6516.33
453.67,6486.0
455.69,6544.33
457.72,6488.33
459.74,6461.67
461.76,6104.33
463.78,6436.33
465.81,6486.0
467.82,6288.67
469.84,6254.0
471.86,5973.0
473.88,6314.0
475.89,6325.0
477.91,6192.67
479.92,6088.33
481.94,6112.67
483.95,6204.67
485.96,6159.33
487.97,6234.0
489.98,6012.0
491.99,5977.33
493.99,6251.67
496.0,6185.67
498.01,5885.67
500.01,5782.33
502.01,5961.67
504.02,5854.33
506.02,5731.33
508.02,5613.67
510.02,5764.67
512.02,5778.33
514.02,5648.0
516.01,5874.33
518.01,5880.67
520.0,5551.0
522.0,5803.67
523.99,5683.67
525.98,5629.0
527.97,5648.0
529.96,5807.67
531.95,5742.0
533.94,5734.33
535.93,5871.67
537.92,5858.33
539.9,5877.33
541.89,6042.67
543.87,5859.33
545.85,5895.33
547.83,5858.0
549.81,5636.33
551.79,5852.67
553.77,5815.0
555.75,5690.0
557.73,5656.33
559.7,5634.0
561.68,5751.67
563.65,5620.33
565.63,5767.0
567.6,5404.67
569.57,5298.67
571.54,5497.67
573.51,5496.0
575.48,5321.33
577.44,5411.67
579.41,5417.67
581.38,5331.67
583.34,5149.33
585.3,5286.33
587.27,5207.0
589.23,5269.33
591.19,5325.0
593.15,5279.67
595.11,5269.67
597.07,5158.0
599.02,5285.33
600.98,5316.33
602.93,5660.67
604.89,5305.0
606.84,5361.67
608.79,5464.33
610.74,5592.67
612.7,6073.33
614.64,6584.33
616.59,7730.0
618.54,9532.33
620.49,11087.67
622.43,10818.0
624.38,9131.0
626.32,7319.67
628.26,6374.33
630.2,5784.67
632.15,5329.0
634.08,5328.0
636.02,5243.33
637.96,5083.33
639.9,5104.67
641.83,4920.33
643.77,4817.67
645.7,4714.0
647.64,4836.33
649.57,4619.0
651.5,4771.0
653.43,4663.33
655.36,4770.0
657.29,4710.0
659.21,4663.0
661.14,4815.33
663.07,4512.67
664.99,4606.67
666.91,4538.33
668.84,4616.67
670.76,4368.67
672.68,4486.0
674.6,4492.67
676.52,4529.33
678.43,4491.0
680.35,4454.33
682.27,4389.0
684.18,4313.0
686.1,4645.67
688.01,4519.0
689.92,4526.67
691.83,4447.0
693.74,4542.0
695.65,4666.0
