Wavenumber,Intensities
282.29,7398.33
284.39,7265.33
286.49,7045.0
288.59,7052.67
290.69,6813.67
292.79,6821.0
294.89,6602.33
296.99,6779.33
299.08,6809.67
301.18,6462.0
303.28,6538.0
305.37,6516.33
307.46,6673.0
309.55,6568.67
311.65,6358.33
313.74,6248.67
315.83,6385.67
317.91,6460.33
320.0,6484.0
322.09,6478.33
324.17,6328.0
326.26,6703.0
328.34,6394.67
330.42,6635.0
332.51,6466.67
334.59,6351.67
336.67,6404.0
338.75,6406.33
340.82,6403.0
342.9,6425.0
344.98,6298.33
347.05,6324.0
349.13,6372.0
351.2,6419.67
353.27,6414.67
355.34,6311.33
357.41,6317.33
359.48,6394.33
361.55,6636.67
363.62,6339.0
365.69,6482.0
367.75,6432.67
369.82,6625.0
371.88,6649.0
373.94,6821.33
376.01,6649.0
378.07,6800.0
380.13,6844.67
382.19,6759.67
384.24,6736.33
386.3,6992.33
388.36,7284.33
390.41,6796.0
392.47,7298.33
394.52,7118.67
396.58,7337.67
398.63,7456.67
400.68,7205.0
402.73,7287.0
404.78,7419.67
406.82,7563.0
408.87,7523.67
410.92,7367.0
412.96,7399.67
415.01,7222.67
417.05,7130.0
419.09,6902.33
421.13,7054.33
423.17,6907.33
425.21,6849.0
427.25,6812.33
429.29,6756.67
431.33,6654.33
433.36,6781.0
435.4,6864.33
437.43,6688.67
439.46,6540.33
441.5,6624.0
443.53,6317.67
445.56,6487.0
447.59,6607.33
449.61,6241.67
451.64,6411.33
453.67,6344.0
455.69,6404.67
457.72,6291.0
459.74,6334.33
461.76,5996.0
463.78,6260.67
465.81,6322.33
467.82,6164.33
469.84,6068.33
471.86,5816.33
473.88,6122.33
475.89,6177.67
477.91,6012.67
479.92,5973.33
481.94,5940.0
483.95,6008.67
485.96,5954.33
487.97,6041.67
489.98,5827.67
491.99,5799.67
493.99,6117.33
496.0,6060.33
498.01,5788.67
500.01,5652.0
502.01,5819.0
504.02,5725.33
506.02,5550.33
508.02,5491.0
510.02,5669.33
512.02,5681.0
514.02,5539.33
516.01,5776.67
518.01,5724.0
520.0,5414.0
522.0,5661.0
523.99,5523.0
525.98,5482.33
527.97,5507.33
529.96,5701.0
531.95,5578.33
533.94,5619.0
535.93,5752.0
537.92,5718.67
539.9,5723.0
541.89,5895.0
543.87,5749.33
545.85,5754.33
547.83,5766.0
549.81,5498.67
551.79,5702.33
553.77,5682.0
555.75,5579.67
557.73,5562.0
559.7,5471.33
561.68,5595.0
563.65,5535.67
565.63,5651.67
567.6,5259.67
569.57,5169.67
571.54,5361.33
573.51,5375.67
575.48,5226.33
577.44,5334.67
579.41,5297.0
581.38,5163.33
583.34,5040.0
585.3,5163.33
587.27,5095.0
589.23,5174.33
591.19,5193.67
593.15,5171.0
595.11,5158.33
597.07,5046.67
599.02,5159.0
600.98,5214.0
602.93,5579.67
604.89,5200.0
606.84,5276.0
608.79,5345.67
610.74,5470.67
612.7,6005.0
614.64,6561.0
616.59,7663.0
618.54,9475.33
620.49,11089.0
622.43,10819.33
624.38,9033.33
626.32,7255.33
628.26,6293.33
630.2,5678.33
632.15,5258.0
634.08,5207.67
636.02,5130.33
637.96,4973.33
639.9,5002.67
641.83,4812.67
643.77,4731.67
645.7,4612.67
647.64,4720.33
649.57,4565.67
651.5,4662.0
653.43,4589.67
655.36,4662.33
657.29,4600.33
659.21,4554.33
661.14,4677.0
663.07,4398.67
664.99,4533.67
666.91,4440.67
668.84,4504.0
670.76,4268.33
672.68,4357.33
674.6,4361.0
676.52,4433.0
678.43,4415.33
680.35,4366.0
682.27,4345.0
684.18,4226.67
686.1,4537.67
688.01,4444.33
689.92,4455.67
691.83,4349.67
693.74,4502.67
695.65,4588.0
697.56,4440.33
699.47,4647.33
701.37,4820.33
703.28,4592.33
705.18,4722.67
707.09,4903.67
708.99,4406.33
710.89,4761.0
712.79,4458.33
714.69,4349.33
716.59,4318.0
718.49,4248.0
720.38,4459.33
722.28,4387.67
724.17,4497.33
726.07,4513.0
727.96,4415.33
729.85,4656.0
731.74,4668.33
733.63,4744.67
735.52,4956.67
737.41,5259.67
739.3,5398.33
741.18,5654.0
743.07,5647.67
744.95,5492.33
746.83,5880.0
748.72,5822.67
750.6,5845.33
752.48,6039.33
754.36,6260.33
756.24,6475.67
758.11,6492.33
759.99,6441.67
761.87,6415.0
763.74,6542.67
765.61,6347.67
767.49,6468.33
769.36,6059.67
771.23,6361.67
773.1,5899.67
774.97,5800.0
776.83,5957.0
778.7,5843.0
780.57,6063.0
782.43,6200.0
784.3,6787.33
786.16,7151.67
788.02,7358.0
789.88,7988.0
791.74,8155.0
793.6,8552.33
795.46,8707.0
797.32,8586.0
799.17,8288.0
801.03,7758.0
802.88,7266.67
804.74,6907.33
806.59,6383.33
808.44,6306.0
810.29,5900.0
812.14,5602.33
813.99,5421.33
815.84,5169.33
817.68,5073.33
819.53,4924.0
821.37,4911.33
823.22,4917.67
825.06,4654.67
826.9,4578.67
828.74,4558.33
830.58,4657.0
832.42,4688.67
834.26,4803.0
836.1,5026.33
837.93,5301.33
839.77,5189.67
841.6,5107.33
843.43,5105.0
845.27,5167.0
847.1,5063.0
848.93,4898.67
850.76,4814.0
852.59,4679.67
854.41,4782.33
856.24,4748.67
858.06,4514.0
859.89,4599.0
861.71,4504.0
863.54,4528.0
865.36,4590.0
867.18,4366.67
869.0,4558.33
870.82,4542.0
872.63,4544.33
874.45,4472.0
876.27,4431.67
878.08,4420.33
879.89,4471.0
881.71,4295.0
883.52,4259.33
885.33,4264.33
887.14,4235.67
888.95,4386.0
890.76,4239.33
892.56,4335.33
894.37,4428.67
896.18,4406.33
897.98,4693.67
899.78,4912.67
901.59,4771.0
903.39,4963.33
905.19,4878.33
906.99,4607.33
908.78,4667.33
910.58,4577.0
912.38,4396.33
914.17,5081.0
915.97,4274.67
917.76,4163.33
919.55,4056.0
921.35,3978.33
923.14,3929.33
924.93,3898.33
926.71,4031.0
928.5,4022.33
930.29,3815.33
932.08,4181.67
933.86,3972.0
935.64,3853.67
937.43,3967.33
939.21,3801.67
940.99,4042.0
942.77,3990.0
944.55,3752.33
946.33,3950.67
948.1,4237.0
949.88,4112.67
951.66,3912.67
953.43,4112.33
955.2,4077.33
956.98,4108.33
958.75,4133.0
960.52,4092.67
962.29,4600.0
964.05,4133.67
965.82,4311.33
967.59,4228.33
969.35,4080.0
971.12,4508.67
972.88,4307.67
974.64,4481.33
976.41,4612.67
978.17,4640.33
979.93,5029.0
981.69,5448.0
983.44,5740.33
985.2,6360.33
986.96,7099.67
988.71,8076.67
990.46,8933.33
992.22,10267.33
993.97,12919.33
995.72,17915.33
997.47,26426.0
999.22,37412.67
1000.97,44237.0
1002.71,42472.33
1004.46,33215.67
1006.21,22390.67
1007.95,15102.33
1009.69,10458.33
1011.44,7956.67
1013.18,6527.67
1014.92,5942.0
1016.66,5562.0
1018.39,5605.0
1020.13,6026.33
1021.87,6492.33
1023.6,7717.33
1025.34,9180.67
1027.07,11040.33
1028.8,12912.67
1030.54,14097.0
1032.27,13829.0
1034.0,13185.33
1035.73,11262.33
1037.45,9517.0
1039.18,8314.67
1040.91,7008.67
1042.63,6188.0
1044.35,5907.33
1046.08,5488.33
1047.8,5131.67
1049.52,5098.67
1051.24,5061.0
1052.96,4903.67
1054.68,4921.67
1056.39,4746.67
1058.11,4888.33
1059.83,5055.0
1061.54,4920.0
1063.25,5376.0
1064.97,5084.67
1066.68,5359.33
1068.39,5174.33
1070.1,5225.33
1071.8,5225.0
1073.51,5083.67
1075.22,5068.33
1076.92,4903.67
1078.63,5043.0
1080.33,5160.67
1082.03,4910.33
1083.74,4859.67
1085.44,4809.0
1087.14,4894.67
1088.83,4870.67
1090.53,4783.33
1092.23,4755.67
1093.92,4649.33
1095.62,4718.67
1097.31,4804.0
1099.01,4856.0
1100.7,4579.67
1102.39,4561.0
1104.08,4468.33
1105.77,4412.0
1107.46,4139.33
1109.14,4005.33
1110.83,3986.33
1112.51,3911.33
1114.2,3974.67
1115.88,3885.67
1117.56,3765.0
1119.24,3496.67
1120.92,3581.33
1122.6,3619.0
1124.28,3715.33
1125.96,3438.33
1127.64,3509.0
1129.31,3586.33
1130.99,3452.0
1132.66,3373.67
1134.33,3434.33
1136.0,3509.0
1137.67,3495.0
1139.34,3958.33
1141.01,4349.33
1142.68,3938.33
1144.35,4306.67
1146.01,4458.33
1147.68,5062.0
1149.34,5597.33
1151.0,6409.33
1152.66,7037.33
1154.33,7882.33
1155.99,8044.0
1157.64,7392.0
1159.3,6899.67
1160.96,6178.33
1162.61,5659.67
1164.27,5427.67
1165.92,5268.33
1167.58,5154.33
1169.23,5221.0
1170.88,5114.0
1172.53,5603.0
1174.18,6069.33
1175.83,6622.0
1177.47,7568.0
1179.12,8448.67
1180.77,8974.0
1182.41,9269.0
1184.05,9259.67
1185.7,8893.33
1187.34,8316.0
1188.98,8305.67
1190.62,8350.0
1192.26,8455.0
1193.89,8532.33
1195.53,8512.33
1197.17,8719.67
1198.8,8618.33
1200.43,8798.33
1202.07,8584.0
1203.7,8312.0
1205.33,7916.0
1206.96,7292.0
1208.59,6902.0
1210.22,6336.33
1211.84,5806.0
1213.47,5331.67
1215.09,5246.67
1216.72,5088.67
1218.34,4811.33
1219.96,4660.67
1221.58,4672.67
1223.2,4633.67
1224.82,4538.33
1226.44,4119.0
1228.06,4278.67
1229.67,4135.67
1231.29,4106.67
1232.9,4031.67
1234.52,4062.33
1236.13,3944.33
1237.74,3815.33
1239.35,3700.67
1240.96,3886.33
1242.57,3647.0
1244.18,3796.33
1245.78,3838.0
1247.39,3837.0
1248.99,3654.67
1250.6,3771.0
1252.2,3823.0
1253.8,3744.33
1255.4,3741.67
1257.0,3618.0
1258.6,3890.67
1260.2,3737.0
1261.79,3612.0
1263.39,3540.0
1264.98,3518.0
1266.58,3569.0
1268.17,3629.33
1269.76,3712.67
1271.35,3659.33
1272.94,3668.33
1274.53,3755.0
1276.12,3630.67
1277.71,3462.33
1279.29,3599.67
1280.88,3656.0
1282.46,3665.33
1284.05,3788.67
1285.63,3594.0
1287.21,3696.0
1288.79,3720.0
1290.37,3787.33
1291.95,3889.0
1293.52,3731.33
1295.1,3941.67
1296.68,3866.0
1298.25,3988.67
1299.82,4200.33
1301.4,3971.0
1302.97,4281.0
1304.54,3957.0
1306.11,4209.0
1307.68,4171.0
1309.24,3942.67
1310.81,4429.0
1312.38,4181.0
1313.94,4441.67
1315.51,4169.67
1317.07,4411.67
1318.63,4630.33
1320.19,4681.0
1321.75,4778.0
