Wavenumber,Intensities
282.29,3432.0
284.39,3388.33
286.49,3317.33
288.59,3231.0
290.7,3162.67
292.79,3116.33
294.89,3055.0
296.99,3030.0
299.09,2964.33
301.18,2929.0
303.28,2890.67
305.37,2893.33
307.47,2855.33
309.56,2819.67
311.65,2849.0
313.74,2811.0
315.83,2828.67
317.92,2844.33
320.0,2895.67
322.09,2856.67
324.18,2882.67
326.26,2863.33
328.34,2910.0
330.43,2890.0
332.51,2882.0
334.59,2855.33
336.67,2889.33
338.75,2823.33
340.83,2852.67
342.9,2844.67
344.98,2824.67
347.05,2795.33
349.13,2798.0
351.2,2807.33
353.27,2776.67
355.35,2772.0
357.42,2757.67
359.49,2751.33
361.55,2778.0
363.62,2752.33
365.69,2798.33
367.75,2865.33
369.82,2871.67
371.88,2893.33
373.95,2915.0
376.01,2979.33
378.07,2983.33
380.13,3052.33
382.19,3103.67
384.25,3150.0
386.31,3205.67
388.36,3264.0
390.42,3328.67
392.47,3356.67
394.53,3403.0
396.58,3444.0
398.63,3527.33
400.68,3587.0
402.73,3658.0
404.78,3737.33
406.83,3718.67
408.87,3723.33
410.92,3630.0
412.97,3589.33
415.01,3456.33
417.05,3389.33
419.1,3321.0
421.14,3241.33
423.18,3177.0
425.22,3151.67
427.25,3113.0
429.29,3047.33
431.33,3045.0
433.36,3041.33
435.4,2992.33
437.43,2981.67
439.47,2934.0
441.5,2964.0
443.53,2907.0
445.56,2911.33
447.59,2860.0
449.62,2815.0
451.64,2741.33
453.67,2699.33
455.7,2666.33
457.72,2636.0
459.74,2627.67
461.77,2587.0
463.79,2549.33
465.81,2525.0
467.83,2491.0
469.85,2488.33
471.86,2444.0
473.88,2469.67
475.9,2451.67
477.91,2428.67
479.93,2439.0
481.94,2418.67
483.95,2421.33
485.96,2443.67
487.97,2445.33
489.98,2471.67
491.99,2427.67
494.0,2392.0
496.0,2388.33
498.01,2351.67
500.01,2340.0
502.02,2323.67
504.02,2271.0
506.02,2259.33
508.02,2213.33
510.02,2241.33
512.02,2220.0
514.02,2208.67
516.01,2196.0
518.01,2188.33
520.01,2185.67
522.0,2186.67
523.99,2199.67
525.99,2198.0
527.98,2224.0
529.97,2278.0
531.96,2314.67
533.94,2394.33
535.93,2446.33
537.92,2474.0
539.9,2492.0
541.89,2510.0
543.87,2475.33
545.85,2488.33
547.84,2421.33
549.82,2411.0
551.8,2371.67
553.78,2386.0
555.75,2356.67
557.73,2323.33
559.71,2311.33
561.68,2278.33
563.66,2264.33
565.63,2239.33
567.6,2224.67
569.57,2203.67
571.54,2181.67
573.51,2127.67
575.48,2093.33
577.45,2097.0
579.41,2073.0
581.38,2039.0
583.34,2030.0
585.31,2036.0
587.27,2008.33
589.23,1995.67
591.19,2002.33
593.15,1986.0
595.11,1992.33
597.07,1982.0
599.03,2008.67
600.98,1998.0
602.94,2021.67
604.89,2017.67
606.84,2076.67
608.8,2143.0
610.75,2327.33
612.7,2624.67
614.65,3207.0
616.6,4208.33
618.54,5718.0
620.49,6956.0
622.43,6764.67
624.38,5379.33
626.32,3951.67
628.27,3051.33
630.21,2540.33
632.15,2232.33
634.09,2128.67
636.03,1936.33
637.96,1883.33
639.9,1828.67
641.84,1760.67
643.77,1739.0
645.71,1691.0
647.64,1670.67
649.57,1652.0
651.5,1621.0
653.43,1616.67
655.36,1604.0
657.29,1596.0
659.22,1574.67
661.14,1556.67
663.07,1592.0
664.99,1535.33
666.92,1536.33
668.84,1545.33
670.76,1521.67
672.68,1520.0
674.6,1511.0
676.52,1525.33
678.44,1473.33
680.35,1518.0
682.27,1470.67
684.19,1482.0
686.1,1505.0
688.01,1506.0
689.92,1528.33
691.83,1506.0
693.74,1570.33
695.65,1589.67
697.56,1627.33
699.47,1712.67
701.38,1736.0
703.28,1705.33
705.19,1667.33
707.09,1635.33
708.99,1607.33
710.89,1559.33
712.79,1536.67
714.69,1512.33
716.59,1500.0
718.49,1507.33
720.39,1496.0
722.28,1540.33
724.18,1556.33
726.07,1558.0
727.96,1621.0
729.85,1721.0
731.74,1848.0
733.63,1947.67
735.52,2097.0
737.41,2252.67
739.3,2387.0
741.18,2504.67
743.07,2553.67
744.95,2604.33
746.84,2710.67
748.72,2832.33
750.6,2930.0
752.48,3018.67
754.36,3166.67
756.24,3253.67
758.12,3323.67
759.99,3271.67
761.87,3241.33
763.74,3225.0
765.62,3165.33
767.49,3135.0
769.36,3021.33
771.23,2936.33
773.1,2893.33
774.97,2845.67
776.84,2832.67
778.7,2903.33
780.57,3059.0
782.44,3255.33
784.3,3528.33
786.16,3803.67
788.02,4190.33
789.89,4541.0
791.75,4905.67
793.6,5153.67
795.46,5245.67
797.32,5152.67
799.18,4887.33
801.03,4470.33
802.89,3990.33
804.74,3599.67
806.59,3256.67
808.44,3012.33
810.29,2808.33
812.14,2607.0
813.99,2444.0
815.84,2305.33
817.69,2156.67
819.53,2017.67
821.38,1888.0
823.22,1845.0
825.06,1793.0
