Wavenumber,Intensities
282.29,6481.0
284.39,6398.0
286.49,6296.0
288.59,6211.0
290.7,6048.0
292.79,5978.0
294.89,5836.0
296.99,5748.0
299.09,5661.0
301.18,5672.0
303.28,5574.0
305.37,5529.0
307.47,5487.0
309.56,5536.0
311.65,5460.0
313.74,5346.0
315.83,5400.0
317.92,5380.0
320.0,5426.0
322.09,5438.0
324.18,5418.0
326.26,5384.0
328.34,5422.0
330.43,5452.0
332.51,5308.0
334.59,5441.0
336.67,5450.0
338.75,5381.0
340.83,5303.0
342.9,5381.0
344.98,5342.0
347.05,5342.0
349.13,5320.0
351.2,5361.0
353.27,5276.0
355.35,5230.0
357.42,5201.0
359.49,5232.0
361.55,5354.0
363.62,5312.0
365.69,5274.0
367.75,5342.0
369.82,5361.0
371.88,5411.0
373.95,5445.0
376.01,5562.0
378.07,5528.0
380.13,5623.0
382.19,5684.0
384.25,5733.0
386.31,5817.0
388.36,5914.0
390.42,5886.0
392.47,6003.0
394.53,6007.0
396.58,6011.0
398.63,6155.0
400.68,6215.0
402.73,6291.0
404.78,6349.0
406.83,6470.0
408.87,6417.0
410.92,6340.0
412.97,6252.0
415.01,6185.0
417.05,6003.0
419.1,5987.0
421.14,5863.0
423.18,5829.0
425.22,5783.0
427.25,5790.0
429.29,5661.0
431.33,5668.0
433.36,5597.0
435.4,5612.0
437.43,5597.0
439.47,5585.0
441.5,5585.0
443.53,5543.0
445.56,5500.0
447.59,5421.0
449.62,5380.0
451.64,5270.0
453.67,5295.0
455.7,5179.0
457.72,5228.0
459.74,5130.0
461.77,5156.0
463.79,5055.0
465.81,5038.0
467.83,5011.0
469.85,4898.0
471.86,4909.0
473.88,4951.0
475.9,4944.0
477.91,4879.0
479.93,4879.0
481.94,4879.0
483.95,4906.0
485.96,4853.0
487.97,4892.0
489.98,4811.0
491.99,4780.0
494.0,4841.0
496.0,4758.0
498.01,4727.0
500.01,4666.0
502.02,4598.0
504.02,4556.0
506.02,4469.0
508.02,4487.0
510.02,4468.0
512.02,4465.0
514.02,4408.0
516.01,4405.0
518.01,4454.0
520.01,4344.0
522.0,4299.0
523.99,4408.0
525.99,4317.0
527.98,4351.0
529.97,4469.0
531.96,4522.0
533.94,4572.0
535.93,4640.0
537.92,4689.0
539.9,4647.0
541.89,4792.0
543.87,4697.0
545.85,4628.0
547.84,4606.0
549.82,4529.0
551.8,4507.0
553.78,4564.0
555.75,4470.0
557.73,4465.0
559.71,4292.0
561.68,4347.0
563.66,4370.0
565.63,4310.0
567.6,4306.0
569.57,4257.0
571.54,4268.0
573.51,4226.0
575.48,4139.0
577.45,4055.0
579.41,4024.0
581.38,4014.0
583.34,3991.0
585.31,3942.0
587.27,3974.0
589.23,4010.0
591.19,3981.0
593.15,3926.0
595.11,3915.0
597.07,3952.0
599.03,3903.0
600.98,3933.0
602.94,3956.0
604.89,3858.0
606.84,4007.0
608.8,4100.0
610.75,4236.0
612.7,4701.0
614.65,5321.0
616.6,6459.0
618.54,8228.0
620.49,9435.0
622.43,9177.0
624.38,7618.0
626.32,6048.0
628.27,4989.0
630.21,4435.0
632.15,4165.0
634.09,4006.0
636.03,3804.0
637.96,3717.0
639.9,3634.0
641.84,3576.0
643.77,3463.0
645.71,3497.0
647.64,3455.0
649.57,3410.0
651.5,3478.0
653.43,3421.0
655.36,3360.0
657.29,3318.0
659.22,3380.0
661.14,3345.0
663.07,3323.0
664.99,3326.0
666.92,3261.0
668.84,3246.0
670.76,3281.0
672.68,3246.0
674.6,3185.0
676.52,3220.0
678.44,3201.0
680.35,3201.0
682.27,3212.0
684.19,3129.0
686.1,3174.0
688.01,3171.0
689.92,3170.0
691.83,3212.0
693.74,3252.0
695.65,3284.0
697.56,3277.0
699.47,3383.0
701.38,3417.0
703.28,3349.0
705.19,3318.0
707.09,3319.0
708.99,3216.0
710.89,3193.0
712.79,3155.0
714.69,3162.0
716.59,3162.0
718.49,3162.0
720.39,3148.0
722.28,3125.0
724.18,3121.0
726.07,3163.0
727.96,3288.0
729.85,3333.0
731.74,3443.0
733.63,3561.0
735.52,3732.0
737.41,3928.0
739.3,4154.0
741.18,4139.0
743.07,4233.0
744.95,4317.0
746.84,4422.0
748.72,4537.0
750.6,4613.0
752.48,4759.0
754.36,4947.0
756.24,5035.0
758.12,5126.0
759.99,5096.0
761.87,4955.0
763.74,4976.0
765.62,4921.0
767.49,4868.0
769.36,4757.0
771.23,4625.0
773.1,4503.0
774.97,4439.0
776.84,4453.0
778.7,4531.0
780.57,4705.0
782.44,4864.0
784.3,5263.0
786.16,5606.0
788.02,5911.0
789.89,6417.0
791.75,6732.0
793.6,7044.0
795.46,7125.0
797.32,7089.0
799.18,6668.0
801.03,6246.0
802.89,5698.0
804.74,5228.0
806.59,4896.0
808.44,4681.0
810.29,4473.0
812.14,4222.0
813.99,3970.0
815.84,3755.0
817.69,3624.0
819.53,3471.0
821.38,3305.0
823.22,3322.0
825.06,3276.0
826.9,3204.0
828.75,3246.0
830.59,3224.0
832.42,3372.0
834.26,3451.0
836.1,3577.0
837.93,3649.0
839.77,3668.0
841.6,3744.0
843.44,3653.0
845.27,3657.0
847.1,3550.0
848.93,3417.0
850.76,3372.0
852.59,3324.0
854.42,3250.0
856.24,3269.0
858.07,3185.0
859.89,3205.0
861.72,3140.0
863.54,3114.0
865.36,3140.0
867.18,3094.0
869.0,3109.0
870.82,3053.0
872.64,3047.0
874.45,3027.0
876.27,3053.0
878.08,3015.0
879.9,2956.0
881.71,2973.0
883.52,2946.0
885.33,2916.0
887.14,2935.0
888.95,2939.0
890.76,2961.0
892.57,2935.0
894.37,3011.0
896.18,3048.0
897.98,3110.0
899.79,3249.0
901.59,3296.0
903.39,3311.0
905.19,3318.0
906.99,3284.0
908.79,3227.0
910.58,3106.0
912.38,2950.0
914.18,2905.0
915.97,2726.0
917.76,2741.0
919.56,2655.0
921.35,2616.0
923.14,2600.0
924.93,2620.0
926.72,2597.0
928.51,2585.0
930.29,2521.0
932.08,2525.0
933.86,2506.0
935.65,2509.0
937.43,2559.0
939.21,2464.0
940.99,2536.0
942.77,2536.0
944.55,2510.0
946.33,2563.0
948.11,2589.0
949.88,2559.0
951.66,2570.0
953.43,2566.0
955.21,2597.0
956.98,2650.0
958.75,2654.0
960.52,2654.0
962.29,2772.0
964.06,2791.0
965.82,2829.0
967.59,2806.0
969.36,2825.0
971.12,2836.0
972.88,2854.0
974.65,2996.0
976.41,3094.0
978.17,3223.0
979.93,3507.0
