Wavenumber,Intensities
282.29,2752.0
284.39,2741.0
286.49,2559.0
288.59,2710.0
290.69,2585.0
292.79,2635.0
294.89,2490.0
296.99,2771.0
299.08,2805.0
301.18,2555.0
303.28,2684.0
305.37,2680.0
307.46,2893.0
309.55,2805.0
311.65,2646.0
313.74,2536.0
315.83,2642.0
317.91,2726.0
320.0,2767.0
322.09,2710.0
324.17,2600.0
326.26,2950.0
328.34,2676.0
330.42,2870.0
332.51,2733.0
334.59,2669.0
336.67,2688.0
338.75,2695.0
340.82,2676.0
342.9,2767.0
344.98,2635.0
347.05,2665.0
349.13,2748.0
351.2,2775.0
353.27,2813.0
355.34,2733.0
357.41,2752.0
359.48,2767.0
361.55,3007.0
363.62,2741.0
365.69,2870.0
367.75,2794.0
369.82,2908.0
371.88,2889.0
373.94,3064.0
376.01,2885.0
378.07,2961.0
380.13,2950.0
382.19,2802.0
384.24,2745.0
386.3,2961.0
388.36,3117.0
390.41,2654.0
392.47,3136.0
394.52,2912.0
396.58,3064.0
398.63,3143.0
400.68,2836.0
402.73,2779.0
404.78,2897.0
406.82,2995.0
408.87,2957.0
410.92,2889.0
412.96,3052.0
415.01,2889.0
417.05,2953.0
419.09,2710.0
421.13,2923.0
423.17,2878.0
425.21,2847.0
427.25,2923.0
429.29,2843.0
431.33,2832.0
433.36,2897.0
435.4,3014.0
437.43,2866.0
439.46,2745.0
441.5,2874.0
443.53,2578.0
445.56,2760.0
447.59,2927.0
449.61,2619.0
451.64,2805.0
453.67,2764.0
455.69,2870.0
457.72,2862.0
459.74,2881.0
461.76,2551.0
463.78,2843.0
465.81,2980.0
467.82,2805.0
469.84,2771.0
471.86,2505.0
473.88,2794.0
475.89,2908.0
477.91,2767.0
479.92,2688.0
481.94,2726.0
483.95,2764.0
485.96,2729.0
487.97,2794.0
489.98,2551.0
491.99,2559.0
493.99,2874.0
496.0,2790.0
498.01,2540.0
500.01,2441.0
502.01,2661.0
504.02,2585.0
506.02,2422.0
508.02,2392.0
510.02,2509.0
512.02,2585.0
514.02,2433.0
516.01,2699.0
518.01,2661.0
520.0,2338.0
522.0,2585.0
523.99,2448.0
525.98,2388.0
527.97,2357.0
529.96,2505.0
531.95,2369.0
533.94,2293.0
535.93,2411.0
537.92,2361.0
539.9,2346.0
541.89,2513.0
543.87,2308.0
545.85,2418.0
547.83,2426.0
549.81,2213.0
551.79,2395.0
553.77,2445.0
555.75,2354.0
557.73,2354.0
559.7,2331.0
561.68,2437.0
563.65,2365.0
565.63,2581.0
567.6,2198.0
569.57,2122.0
571.54,2354.0
573.51,2365.0
575.48,2270.0
577.44,2342.0
579.41,2384.0
581.38,2293.0
583.34,2171.0
585.3,2316.0
587.27,2228.0
589.23,2316.0
591.19,2373.0
593.15,2335.0
595.11,2350.0
597.07,2266.0
599.02,2354.0
600.98,2430.0
602.93,2741.0
604.89,2418.0
606.84,2392.0
608.79,2376.0
610.74,2350.0
612.7,2585.0
614.64,2574.0
616.59,2733.0
618.54,3010.0
620.49,3447.0
622.43,3367.0
624.38,3026.0
626.32,2589.0
628.26,2475.0
630.2,2346.0
632.15,2202.0
634.08,2361.0
636.02,2418.0
637.96,2342.0
639.9,2407.0
641.83,2266.0
643.77,2232.0
645.7,2209.0
647.64,2289.0
649.57,2114.0
651.5,2251.0
653.43,2221.0
655.36,2316.0
657.29,2270.0
659.21,2198.0
661.14,2346.0
663.07,2095.0
664.99,2217.0
666.91,2145.0
668.84,2209.0
670.76,1985.0
672.68,2076.0
674.6,2107.0
676.52,2168.0
678.43,2190.0
680.35,2114.0
682.27,2092.0
684.18,1981.0
686.1,2300.0
688.01,2202.0
689.92,2194.0
691.83,2122.0
693.74,2213.0
695.65,2274.0
697.56,2073.0
699.47,2281.0
701.37,2376.0
703.28,2160.0
705.18,2350.0
707.09,2532.0
708.99,2133.0
710.89,2494.0
712.79,2198.0
714.69,2145.0
716.59,2130.0
718.49,2019.0
720.38,2259.0
722.28,2175.0
724.17,2247.0
726.07,2266.0
727.96,2141.0
729.85,2293.0
731.74,2209.0
733.63,2137.0
735.52,2160.0
737.41,2384.0
739.3,2395.0
741.18,2543.0
743.07,2479.0
744.95,2243.0
746.83,2574.0
748.72,2437.0
750.6,2335.0
752.48,2448.0
754.36,2483.0
756.24,2691.0
758.11,2631.0
759.99,2581.0
761.87,2543.0
763.74,2779.0
765.61,2597.0
767.49,2794.0
769.36,2452.0
771.23,2870.0
773.1,2464.0
774.97,2430.0
776.83,2574.0
778.7,2361.0
780.57,2532.0
782.43,2452.0
784.3,2786.0
786.16,2889.0
788.02,2775.0
789.88,3010.0
791.74,2870.0
793.6,3083.0
795.46,3022.0
797.32,3086.0
799.17,3018.0
801.03,2897.0
802.88,2809.0
