Wavenumber,Intensities
282.29,8186.67
284.39,8000.33
286.49,7795.67
288.59,7803.33
290.69,7580.67
292.79,7521.0
294.89,7298.33
296.99,7499.0
299.08,7490.67
301.18,7156.67
303.28,7195.0
305.37,7132.33
307.46,7334.0
309.55,7183.33
311.65,7023.67
313.74,6881.33
315.83,7007.33
317.91,7073.33
320.0,7087.0
322.09,7074.33
324.17,6893.0
326.26,7248.0
328.34,6947.67
330.42,7173.0
332.51,6986.0
334.59,6933.67
336.67,6941.33
338.75,6988.33
340.82,6931.67
342.9,7028.67
344.98,6889.67
347.05,6866.67
349.13,6892.0
351.2,7022.67
353.27,7043.0
355.34,6916.0
357.41,6927.67
359.48,6931.33
361.55,7226.33
363.62,6970.67
365.69,7113.67
367.75,7052.67
369.82,7183.0
371.88,7174.33
373.94,7388.33
376.01,7284.33
378.07,7322.0
380.13,7364.33
382.19,7284.33
384.24,7217.33
386.3,7517.33
388.36,7712.33
390.41,7284.33
392.47,7753.0
394.52,7570.33
396.58,7728.67
398.63,7813.67
400.68,7594.33
402.73,7675.0
404.78,7779.0
406.82,7922.67
408.87,7819.67
410.92,7720.0
412.96,7835.0
415.01,7665.33
417.05,7617.0
419.09,7365.67
421.13,7527.33
423.17,7435.0
425.21,7376.67
427.25,7423.67
429.29,7303.33
431.33,7316.33
433.36,7335.0
435.4,7460.67
437.43,7321.33
439.46,7130.33
441.5,7269.0
443.53,6968.0
445.56,7142.33
447.59,7248.0
449.61,6896.0
451.64,7057.67
453.67,7020.33
455.69,7080.67
457.72,6940.0
459.74,7032.67
461.76,6636.0
463.78,6899.67
465.81,7014.67
467.82,6821.33
469.84,6764.33
471.86,6495.33
473.88,6804.67
475.89,6856.33
477.91,6706.33
479.92,6640.0
481.94,6627.33
483.95,6684.67
485.96,6648.0
487.97,6736.67
489.98,6513.67
491.99,6514.67
493.99,6777.0
496.0,6668.0
498.01,6365.67
500.01,6295.0
502.01,6441.67
504.02,6363.0
506.02,6184.33
508.02,6105.0
510.02,6256.67
512.02,6216.33
514.02,6137.67
516.01,6370.67
518.01,6345.67
520.0,5988.33
522.0,6229.33
523.99,6122.67
525.98,6080.0
527.97,6049.0
529.96,6234.33
531.95,6108.67
533.94,6099.33
535.93,6255.67
537.92,6177.0
539.9,6198.67
541.89,6338.33
543.87,6196.0
545.85,6217.67
547.83,6154.0
549.81,5980.67
