Wavenumber,Intensities
282.29,12974.6
284.39,12796.33
286.49,12484.4
288.59,12576.0
290.7,12154.27
292.79,12091.6
294.89,11806.4
296.99,12084.0
299.09,11991.87
301.18,11554.13
303.28,11671.47
305.37,11578.47
307.47,11792.47
309.56,11578.2
311.65,11286.2
313.74,11044.53
315.83,11180.8
317.92,11249.47
320.0,11245.13
322.09,11160.73
324.18,10987.27
326.26,11460.6
328.34,11064.2
330.43,11296.8
332.51,11112.27
334.59,11032.73
336.67,11107.33
338.75,11092.0
340.83,11044.8
342.9,11191.2
344.98,11034.6
347.05,11038.53
349.13,11205.13
351.2,11287.2
353.27,11242.6
355.35,11183.13
357.42,11192.0
359.49,11263.93
361.55,11620.8
363.62,11249.4
365.69,11448.53
367.75,11330.47
369.82,11494.07
371.88,11433.2
373.95,11650.13
376.01,11419.87
378.07,11458.4
380.13,11485.6
382.19,11275.93
384.25,11167.4
386.31,11461.0
388.36,11693.53
390.42,11070.13
392.47,11658.47
394.53,11372.93
396.58,11570.87
398.63,11702.93
400.68,11240.2
402.73,11251.0
404.78,11305.87
406.83,11505.67
408.87,11506.8
410.92,11436.13
412.97,11715.6
415.01,11540.8
417.05,11641.93
419.1,11402.0
421.14,11735.0
423.18,11725.47
425.22,11680.8
427.25,11785.27
429.29,11680.73
431.33,11645.4
433.36,11854.0
435.4,11991.0
437.43,11785.27
439.47,11534.27
441.5,11703.8
443.53,11331.67
445.56,11601.13
447.59,11786.2
449.62,11343.4
451.64,11540.53
453.67,11475.73
455.7,11632.73
457.72,11558.73
459.74,11526.87
461.77,11076.13
463.79,11597.87
465.81,11564.4
467.83,11344.53
469.85,11219.2
471.86,10863.4
473.88,11274.0
475.9,11368.73
477.91,11166.67
479.93,11041.07
481.94,11026.53
483.95,11157.6
485.96,11050.8
487.97,11177.8
489.98,10849.73
491.99,10767.93
494.0,11088.73
496.0,10954.33
498.01,10509.2
500.01,10343.27
502.02,10495.6
504.02,10271.67
506.02,10045.73
508.02,9872.0
510.02,10092.53
512.02,9982.2
514.02,9783.07
516.01,10082.33
518.01,10023.8
520.01,9507.87
522.0,9823.27
523.99,9588.8
525.99,9484.53
527.98,9462.4
529.97,9589.13
531.96,9326.53
533.94,9262.73
535.93,9346.33
537.92,9231.27
539.9,9149.27
541.89,9398.13
543.87,9164.67
545.85,9240.8
547.84,9175.07
549.82,8902.27
551.8,9170.8
553.78,9190.13
555.75,9068.47
557.73,8955.87
559.71,8956.6
561.68,9045.2
563.66,8876.53
565.63,9170.07
567.6,8600.0
569.57,8448.73
571.54,8790.0
573.51,8792.07
575.48,8568.33
577.45,8690.13
579.41,8676.07
581.38,8554.4
583.34,8360.2
585.31,8528.13
587.27,8408.93
589.23,8527.13
591.19,8572.8
593.15,8524.53
595.11,8548.33
597.07,8349.47
599.03,8512.67
600.98,8494.4
602.94,8917.0
604.89,8386.4
606.84,8395.87
608.8,8304.73
610.75,8193.33
612.7,8399.73
614.65,8136.87
616.6,8011.33
618.54,8000.07
620.49,8219.27
622.43,8174.8
624.38,7959.73
626.32,7721.87
628.27,7889.4
630.21,7867.87
632.15,7664.87
634.09,7920.6
636.03,8048.87
637.96,8017.4
639.9,8147.47
641.84,7955.73
643.77,7963.73
645.71,7855.07
647.64,7984.13
649.57,7719.13
651.5,7962.4
653.43,7844.67
655.36,7908.47
657.29,7837.73
659.22,7790.13
661.14,7965.87
663.07,7546.53
664.99,7746.6
666.92,7600.47
668.84,7665.13
670.76,7330.07
672.68,7493.6
674.6,7490.0
676.52,7566.93
678.44,7535.73
680.35,7430.67
682.27,7353.6
684.19,7198.13
686.1,7630.13
688.01,7481.4
689.92,7454.13
691.83,7321.8
693.74,7426.33
695.65,7499.13
697.56,7195.2
699.47,7381.33
701.38,7571.07
703.28,7202.27
705.19,7452.93
707.09,7725.27
708.99,7136.2
710.89,7635.6
712.79,7197.47
714.69,7103.87
716.59,7023.6
718.49,6968.47
720.39,7252.73
722.28,7071.8
724.18,7174.87
726.07,7195.27
727.96,6903.4
729.85,7114.6
731.74,6943.67
733.63,6826.33
735.52,6771.67
737.41,6995.4
739.3,6945.33
741.18,7166.67
743.07,7017.13
744.95,6665.8
746.84,7110.73
748.72,6849.93
750.6,6655.8
752.48,6708.2
754.36,6872.67
756.24,7036.47
758.12,6903.0
759.99,6777.6
761.87,6801.4
763.74,7079.93
765.62,6826.53
767.49,7010.4
769.36,6609.73
771.23,7081.8
773.1,6580.47
774.97,6539.87
776.84,6757.6
778.7,6450.27
780.57,6587.33
782.44,6430.07
784.3,6828.2
786.16,6818.07
788.02,6533.53
789.89,6752.2
791.75,6458.2
793.6,6612.07
795.46,6555.2
797.32,6545.47
799.18,6561.2
801.03,6530.47
802.89,6504.13
804.74,6683.8
806.59,6451.87
808.44,6734.13
810.29,6529.6
812.14,6376.4
813.99,6386.33
815.84,6289.87
817.69,6418.33
819.53,6358.73
821.38,6513.2
823.22,6636.0
825.06,6333.4
826.9,6216.53
828.75,6152.0
830.59,6226.93
832.42,6082.73
834.26,6098.2
836.1,6226.4
837.93,6439.93
839.77,6187.8
841.6,5919.13
843.44,5998.0
845.27,6166.8
847.1,6127.07
848.93,6038.33
850.76,6016.6
852.59,5868.73
854.42,6033.53
856.24,6043.07
858.07,5681.53
859.89,5824.13
861.72,5620.73
863.54,5687.6
865.36,5746.07
867.18,5448.87
869.0,5728.73
870.82,5653.13
872.64,5689.47
874.45,5648.2
876.27,5607.93
878.08,5593.0
879.9,5632.47
881.71,5430.47
883.52,5306.6
885.33,5327.87
887.14,5212.6
888.95,5400.87
890.76,5146.33
892.57,5241.53
894.37,5284.6
896.18,5163.6
897.98,5460.47
899.79,5539.8
901.59,5219.27
903.39,5348.2
905.19,5188.33
906.99,4845.87
908.79,5016.67
910.58,5054.8
912.38,4936.07
914.18,6004.13
915.97,5023.53
917.76,4995.8
919.56,4929.33
921.35,4845.47
923.14,4813.07
924.93,4907.07
926.72,5093.93
928.51,5098.93
